stage,scenario,iteration,hero_ms,preview_ms,canvas_ms,map_ready_ms,settle_ms,total_transfer_bytes,preview_transfer_bytes,failed_requests
native-lazy-noop,home-direct-cold,1,946.4,5874.4,,,6864,955836,885431,0
native-lazy-noop,home-direct-cold,2,996.3,5861.0,,,6817,955836,885431,0
native-lazy-noop,home-direct-cold,3,974.0,5828.2,,,6859,955836,885431,0
native-lazy-noop,home-direct-cold,4,953.3,5840.1,,,6871,955836,885431,0
native-lazy-noop,home-direct-cold,5,966.8,5827.7,,,6863,955836,885431,0
native-lazy-noop,home-direct-cold,6,986.0,5823.4,,,6844,955836,885431,0
native-lazy-noop,home-direct-cold,7,942.5,5804.2,,,6745,955836,885431,0
native-lazy-noop,home-direct-warm,1,523.6,692.4,,,1568,1800,300,0
native-lazy-noop,home-direct-warm,2,542.2,711.1,,,1589,1800,300,0
native-lazy-noop,home-direct-warm,3,530.1,698.3,,,1579,1800,300,0
native-lazy-noop,home-direct-warm,4,557.1,744.4,,,1582,1800,300,0
native-lazy-noop,home-direct-warm,5,548.6,717.3,,,1588,1800,300,0
native-lazy-noop,home-direct-warm,6,534.4,707.2,,,1564,1800,300,0
native-lazy-noop,home-direct-warm,7,535.0,704.1,,,1564,1800,300,0
viewport-deferred,home-direct-cold,1,2990.3,,,,6733,70529,,0
viewport-deferred,home-direct-cold,2,972.2,,,,2357,70529,,0
viewport-deferred,home-direct-cold,3,968.2,,,,2397,70529,,0
viewport-deferred,home-direct-cold,4,967.3,,,,2370,70529,,0
viewport-deferred,home-direct-cold,5,969.4,,,,2390,70529,,0
viewport-deferred,home-direct-cold,6,988.0,,,,2406,70529,,0
viewport-deferred,home-direct-cold,7,950.8,,,,2379,70529,,0
viewport-deferred,home-direct-warm,1,537.2,,,,1564,1500,,0
viewport-deferred,home-direct-warm,2,538.9,,,,1567,1500,,0
viewport-deferred,home-direct-warm,3,539.2,,,,1564,1500,,0
viewport-deferred,home-direct-warm,4,539.0,,,,1572,1500,,0
viewport-deferred,home-direct-warm,5,532.4,,,,1560,1500,,0
viewport-deferred,home-direct-warm,6,536.4,,,,1490,1500,,0
viewport-deferred,home-direct-warm,7,536.5,,,,1563,1500,,0
corrected-map,map-direct-cold,1,,,2421.4,5649.3,13534,296928,,20
corrected-map,map-direct-cold,2,,,2387.7,5623.7,13520,296928,,20
corrected-map,map-direct-cold,3,,,2349.6,5599.3,13491,296928,,20
corrected-map,map-direct-cold,4,,,2375.7,5652.1,13508,296928,,20
corrected-map,map-direct-cold,5,,,2358.0,5634.5,13540,296928,,20
corrected-map,map-direct-cold,6,,,2333.1,6138.4,14022,296928,,20
corrected-map,map-direct-cold,7,,,2377.1,5637.3,13516,296928,,20
corrected-map,map-direct-warm,1,,,604.7,747.1,4403,2400,,20
corrected-map,map-direct-warm,2,,,569.6,698.0,4379,2400,,20
corrected-map,map-direct-warm,3,,,594.9,728.7,4414,2400,,20
corrected-map,map-direct-warm,4,,,575.1,703.8,4376,2400,,20
corrected-map,map-direct-warm,5,,,587.9,733.6,4380,2400,,20
corrected-map,map-direct-warm,6,,,593.7,722.2,1509,2400,,0
corrected-map,map-direct-warm,7,,,594.8,739.3,1528,2400,,0
corrected-map,home-to-map-spa-cold,1,,,1382.6,4600.0,12526,232500,,20
corrected-map,home-to-map-spa-cold,2,,,1377.2,4559.8,12501,232500,,20
corrected-map,home-to-map-spa-cold,3,,,1387.2,4685.1,12535,232500,,20
corrected-map,home-to-map-spa-cold,4,,,1368.6,4582.8,12509,232500,,20
corrected-map,home-to-map-spa-cold,5,,,1370.6,4609.4,12537,232500,,20
corrected-map,home-to-map-spa-cold,6,,,1388.0,4614.1,12529,232500,,20
corrected-map,home-to-map-spa-cold,7,,,1387.9,4606.3,12456,232500,,20
corrected-map,home-to-map-spa-warm,1,,,21.5,124.1,3798,300,,20
corrected-map,home-to-map-spa-warm,2,,,17.7,121.3,3783,300,,20
corrected-map,home-to-map-spa-warm,3,,,16.6,107.2,3783,300,,20
corrected-map,home-to-map-spa-warm,4,,,16.4,128.4,3791,300,,20
corrected-map,home-to-map-spa-warm,5,,,17.2,119.6,3792,300,,20
corrected-map,home-to-map-spa-warm,6,,,18.4,131.0,3805,300,,20
corrected-map,home-to-map-spa-warm,7,,,18.1,116.4,3802,300,,20
