chunk_id,south,west,north,east
4,17.8,-66.15,18.0,-65.85
5,17.8,-65.85,18.0,-65.55
6,17.8,-65.55,18.0,-65.25
7,17.8,-65.25,18.0,-65.2
13,18.0,-65.85,18.2,-65.55
14,18.0,-65.55,18.2,-65.25
15,18.0,-65.25,18.2,-65.2
18,18.2,-66.75,18.4,-66.45
23,18.2,-65.25,18.4,-65.2
26,18.4,-66.75,18.6,-66.45
27,18.4,-66.45,18.6,-66.15
30,18.4,-65.55,18.6,-65.25
31,18.4,-65.25,18.6,-65.2
32,18.6,-67.35,18.6,-67.05
33,18.6,-67.05,18.6,-66.75
34,18.6,-66.75,18.6,-66.45
35,18.6,-66.45,18.6,-66.15
36,18.6,-66.15,18.6,-65.85
37,18.6,-65.85,18.6,-65.55
38,18.6,-65.55,18.6,-65.25
39,18.6,-65.25,18.6,-65.2
