id,category,type,lat,lon,name,city,tags,source
hifld/5/7,core_energy,plant,18.48042400012912,-66.69602099996507,Arecibo,"Arecibo, PR","{""addr:city"": ""Arecibo, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Arecibo"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/22,core_energy,plant,18.455701999970472,-66.14865799978071,Central Palo Seco,"Catano, PR","{""addr:city"": ""Catano, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Central Palo Seco"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/107,core_energy,plant,18.4280909997384,-66.10443399996853,San Juan Plant,"Catano, PR","{""addr:city"": ""Catano, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""San Juan Plant"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/3,core_energy,plant,17.94928499957979,-66.23156400024459,Aguirre,"Central Aguirre, PR","{""addr:city"": ""Central Aguirre, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Aguirre"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/94,core_energy,plant,18.263118999760252,-66.20769599988222,Planta de Hydroelectrica Comerio Num 1,"Comerio, PR","{""addr:city"": ""Comerio, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Planta de Hydroelectrica Comerio Num 1"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/74,core_energy,plant,18.06300000020383,-66.57425000030634,Martino Phase 1 Solar,"Coto Laurel, PR","{""addr:city"": ""Coto Laurel, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Martino Phase 1 Solar"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/129,core_energy,plant,18.064999999766826,-66.55599999990977,Vista Alegre Solar Farm,"Coto Laurel, PR","{""addr:city"": ""Coto Laurel, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Vista Alegre Solar Farm"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/35,core_energy,plant,18.328999999638654,-65.3069999998757,Culebra Wind Farm,"Culebra, PR","{""addr:city"": ""Culebra, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Culebra Wind Farm"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/98,core_energy,plant,18.199657999919623,-65.69803300004884,Punta Lima Wind,"Daguao, PR","{""addr:city"": ""Daguao, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Punta Lima Wind"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/45,core_energy,plant,17.982344000035198,-66.38333100035845,Finca de Viento Santa Isabel,"El Ojo, PR","{""addr:city"": ""El Ojo, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Finca de Viento Santa Isabel"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/121,core_energy,plant,18.101293000011083,-66.4903590003027,Toro Negro 1,"Guayabal, PR","{""addr:city"": ""Guayabal, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Toro Negro 1"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/13,core_energy,plant,18.434999999859713,-66.55899999970393,Blue Beetle III,"Imbery, PR","{""addr:city"": ""Imbery, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Blue Beetle III"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/99,core_energy,plant,17.969222000399554,-66.81789399982904,Punta Ventana Wind Farm,"Indios, PR","{""addr:city"": ""Indios, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Punta Ventana Wind Farm"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/100,core_energy,plant,17.97499999964697,-66.79199999960446,Punta Verraco Wind Farm,"Indios, PR","{""addr:city"": ""Indios, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Punta Verraco Wind Farm"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/108,core_energy,plant,17.990999999748226,-66.83599999988286,Santa Rosa Solar Farm,"Indios, PR","{""addr:city"": ""Indios, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Santa Rosa Solar Farm"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/69,core_energy,plant,18.459000000011542,-66.2359999996836,LA Julia Wind Farm,"Ingenio, PR","{""addr:city"": ""Ingenio, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""LA Julia Wind Farm"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/2,core_energy,plant,17.958850999871913,-66.1411340000883,AES IIumina,"Jobos, PR","{""addr:city"": ""Jobos, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""AES IIumina"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/8,core_energy,plant,17.946265999809157,-66.14955199962225,Aurora (PR),"Jobos, PR","{""addr:city"": ""Jobos, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Aurora (PR)"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/134,core_energy,plant,18.053464000395252,-66.8840899998387,Yauco 2,"Lluveras, PR","{""addr:city"": ""Lluveras, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Yauco 2"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/33,core_energy,plant,17.999907000239602,-66.75333000040524,Costa Sur,"Magas Arriba, PR","{""addr:city"": ""Magas Arriba, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Costa Sur"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/19,core_energy,plant,18.458929000336013,-67.0119169998685,Carite No 1 Hydroelectric Plant,"Mora, PR","{""addr:city"": ""Mora, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Carite No 1 Hydroelectric Plant"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/95,core_energy,plant,18.277282999764452,-66.20724000044589,Planta Hydroelectrica Comerio Num 2,"Naranjito, PR","{""addr:city"": ""Naranjito, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Planta Hydroelectrica Comerio Num 2"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/20,core_energy,plant,18.04473099983079,-66.1058440002135,Central Hydroelectrica de Cante Num 1,"Olimpo, PR","{""addr:city"": ""Olimpo, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Central Hydroelectrica de Cante Num 1"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/21,core_energy,plant,18.01217199994062,-66.11615000044287,Central Hydroelectrica de Caride Num 3,"Olimpo, PR","{""addr:city"": ""Olimpo, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Central Hydroelectrica de Caride Num 3"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/49,core_energy,plant,18.072722999639154,-66.73002700000711,Garzas 2,"Penuelas, PR","{""addr:city"": ""Penuelas, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Garzas 2"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/105,core_energy,plant,18.24342600029553,-65.78512900030319,Rio Blanco,"Rio Blanco, PR","{""addr:city"": ""Rio Blanco, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Rio Blanco"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/38,core_energy,plant,18.428000000040242,-66.19100000007336,Dorado Solar Farm,"Sabana Seca, PR","{""addr:city"": ""Sabana Seca, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Dorado Solar Farm"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/41,core_energy,plant,18.146176999670047,-65.93762699993937,El Gigante Verde de San Lorenzo,"San Lorenzo, PR","{""addr:city"": ""San Lorenzo, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""El Gigante Verde de San Lorenzo"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/48,core_energy,plant,18.094136000149035,-66.73478699999225,Garzas 1,"Santo Domingo, PR","{""addr:city"": ""Santo Domingo, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Garzas 1"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/40,core_energy,plant,17.99321400018266,-66.72826299963174,EcoElectrica,"Tallaboa, PR","{""addr:city"": ""Tallaboa, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""EcoElectrica"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
hifld/5/18,core_energy,plant,18.277339999693993,-66.65535899977294,Caonillas 1,"Utuado, PR","{""addr:city"": ""Utuado, PR"", ""category_hint"": ""core_energy"", ""layer_id"": 5, ""name"": ""Caonillas 1"", ""source"": ""HIFLD"", ""type_hint"": ""plant""}",hifld
