id,category,type,lat,lon,name,city,tags,source
node/11965854938,communications,tower,17.95638,-66.112733,,Puerto Rico,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",osm_retry
node/5591128065,communications,mast,17.968871,-66.1379769,,Puerto Rico,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",osm_retry
node/5147174568,core_energy,generator,17.9645436,-66.1145198,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/5164338142,healthcare,clinic,17.9753243,-66.1203697,Fresenius Medical Care - Guayama Dialysis -,Puerto Rico,"{""amenity"": ""clinic"", ""name"": ""Fresenius Medical Care - Guayama Dialysis -""}",osm_retry
node/5145539641,healthcare,clinic,17.97472,-66.11308,Dispensario Corporación del Fondo de Seguro del Estado,Puerto Rico,"{""amenity"": ""clinic"", ""name"": ""Dispensario Corporación del Fondo de Seguro del Estado""}",osm_retry
node/10616801172,healthcare,clinic,17.9767898,-66.1185753,Precision Health Center,Guayama,"{""addr:city"": ""Guayama"", ""amenity"": ""clinic"", ""name"": ""Precision Health Center""}",osm_retry
node/10616801179,supply_chain,supermarket,17.9764838,-66.1176884,Supermercados Selectos,Guayama,"{""addr:city"": ""Guayama"", ""name"": ""Supermercados Selectos"", ""shop"": ""supermarket""}",osm_retry
node/11216220333,communications,tower,17.9674286,-66.111057,,Puerto Rico,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",osm_retry
node/5118275100,communications,tower,17.9702221,-66.085119,,Puerto Rico,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",osm_retry
node/1917813561,communications,tower,17.9814058,-66.1123886,,Puerto Rico,"{""man_made"": ""tower"", ""tower:type"": ""communication""}",osm_retry
node/5145539639,healthcare,clinic,17.981751,-66.104453,Clinica Santa Rosa,Puerto Rico,"{""amenity"": ""clinic"", ""name"": ""Clinica Santa Rosa""}",osm_retry
node/11579847995,communications,mast,17.9780134,-66.0948759,,Puerto Rico,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",osm_retry
node/9181002921,core_energy,generator,17.9779601,-66.0873379,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002922,core_energy,generator,17.9777885,-66.0870463,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002923,core_energy,generator,17.9781577,-66.0876498,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002924,core_energy,generator,17.9784587,-66.0877396,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002925,core_energy,generator,17.9781985,-66.0886073,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002926,core_energy,generator,17.9790787,-66.0887884,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002927,core_energy,generator,17.9791845,-66.0885376,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002928,core_energy,generator,17.9787623,-66.0894053,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002929,core_energy,generator,17.9791335,-66.0895581,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002930,core_energy,generator,17.9784374,-66.0869524,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002931,core_energy,generator,17.9762714,-66.087293,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002932,core_energy,generator,17.9749983,-66.0881004,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002933,core_energy,generator,17.9750901,-66.0880977,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002934,core_energy,generator,17.9752177,-66.0880816,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002935,core_energy,generator,17.975483,-66.0883552,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002936,core_energy,generator,17.9751411,-66.0874325,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002937,core_energy,generator,17.9749957,-66.08747,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002938,core_energy,generator,17.9747993,-66.0875371,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002939,core_energy,generator,17.9746666,-66.0875451,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002940,core_energy,generator,17.9745339,-66.0881782,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002941,core_energy,generator,17.9754396,-66.0889694,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002942,core_energy,generator,17.9758147,-66.0889131,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002943,core_energy,generator,17.9760647,-66.0888702,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002944,core_energy,generator,17.9763785,-66.0884759,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002945,core_energy,generator,17.9755468,-66.0895461,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/9181002946,core_energy,generator,17.97558,-66.0899296,,Puerto Rico,"{""generator:source"": ""solar"", ""power"": ""generator""}",osm_retry
node/920527309,supply_chain,supermarket,17.9807491,-66.0994988,Supermercados Econo,Puerto Rico,"{""name"": ""Supermercados Econo"", ""shop"": ""supermarket""}",osm_retry
node/921511197,supply_chain,supermarket,17.9799634,-66.0965092,Pueblo,Guayama,"{""addr:city"": ""Guayama"", ""name"": ""Pueblo"", ""shop"": ""supermarket""}",osm_retry
node/1917813604,communications,mast,17.9907592,-66.1067831,,Puerto Rico,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",osm_retry
node/11561522148,communications,mast,17.9911408,-66.1065098,,Puerto Rico,"{""man_made"": ""mast"", ""tower:type"": ""communication""}",osm_retry
node/357271633,healthcare,clinic,17.9688019,-66.060166,Centro de Salud Familiar Dr. Julio Palmieri Ferri,Arroyo,"{""addr:city"": ""Arroyo"", ""amenity"": ""clinic"", ""name"": ""Centro de Salud Familiar Dr. Julio Palmieri Ferri""}",osm_retry
