fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
4025,Arizona,Yavapai,2018-03-30 23:00:00,153.0,817.0,3188.0,832.2973856209151,2018,eaglei_outages_2018_merged.csv,153.0
4021,Arizona,Pinal,2021-06-07 19:30:00,99.25,201.0,255.0,209.36523929471036,2021,eaglei_outages_2021_merged.csv,99.25
4015,Arizona,Mohave,2022-09-07 06:15:00,83.25,674.0,808.0,737.033033033033,2022,eaglei_outages_2022_merged.csv,83.25
4005,Arizona,Coconino,2018-04-29 21:45:00,74.25,1599.0,2115.0,1691.040404040404,2018,eaglei_outages_2018_merged.csv,74.25
4013,Arizona,Maricopa,2022-07-16 21:30:00,73.25,210.0,48316.0,5839.723549488054,2022,eaglei_outages_2022_merged.csv,73.25
4025,Arizona,Yavapai,2019-11-29 07:00:00,65.75,204.0,15581.0,3146.3346007604564,2019,eaglei_outages_2019_merged.csv,65.75
4021,Arizona,Pinal,2021-11-12 19:00:00,65.5,231.0,1268.0,239.96564885496184,2021,eaglei_outages_2021_merged.csv,65.5
4017,Arizona,Navajo,2019-11-21 04:15:00,62.5,204.0,9160.0,2654.268,2019,eaglei_outages_2019_merged.csv,62.5
4021,Arizona,Pinal,2022-07-18 03:00:00,59.0,521.0,10905.0,7768.822033898305,2022,eaglei_outages_2022_merged.csv,59.0
4013,Arizona,Maricopa,2018-06-12 20:30:00,58.25,343.0,1896.0,545.0600858369098,2018,eaglei_outages_2018_merged.csv,58.25
4015,Arizona,Mohave,2022-09-05 00:00:00,52.75,302.0,7822.0,2226.099526066351,2022,eaglei_outages_2022_merged.csv,52.75
4019,Arizona,Pima,2023-07-29 01:15:00,50.5,267.0,54076.0,11872.430693069307,2023,eaglei_outages_2023_merged.csv,50.5
4003,Arizona,Cochise,2022-07-20 02:00:00,49.75,221.0,479.0,343.3467336683417,2022,eaglei_outages_2022_merged.csv,49.75
4019,Arizona,Pima,2023-02-24 01:00:00,49.5,222.0,4896.0,369.6666666666667,2023,eaglei_outages_2023_merged.csv,49.5
4005,Arizona,Coconino,2019-11-29 10:30:00,49.0,308.0,11440.0,3300.551020408164,2019,eaglei_outages_2019_merged.csv,49.0
4015,Arizona,Mohave,2021-08-29 23:15:00,48.75,543.0,4434.0,2777.6769230769232,2021,eaglei_outages_2021_merged.csv,48.75
4025,Arizona,Yavapai,2017-06-28 00:00:00,47.5,297.0,3823.0,829.4631578947368,2017,eaglei_outages_2017_merged.csv,47.5
4025,Arizona,Yavapai,2020-03-19 04:00:00,46.0,324.0,10260.0,2004.2119565217392,2020,eaglei_outages_2020_merged.csv,46.0
4019,Arizona,Pima,2023-09-01 01:15:00,46.0,445.0,8113.0,1902.1032608695648,2023,eaglei_outages_2023_merged.csv,46.0
4013,Arizona,Maricopa,2017-09-27 23:00:00,42.5,255.0,2912.0,670.0117647058823,2017,eaglei_outages_2017_merged.csv,42.5
4019,Arizona,Pima,2023-02-22 06:15:00,42.5,522.0,4707.0,1024.5823529411764,2023,eaglei_outages_2023_merged.csv,42.5
4005,Arizona,Coconino,2023-02-22 07:00:00,42.5,449.0,10604.0,4064.0117647058814,2023,eaglei_outages_2023_merged.csv,42.5
4013,Arizona,Maricopa,2022-08-19 01:45:00,42.25,248.0,17521.0,4136.591715976331,2022,eaglei_outages_2022_merged.csv,42.25
4013,Arizona,Maricopa,2022-10-15 14:30:00,41.25,345.0,15016.0,2210.551515151515,2022,eaglei_outages_2022_merged.csv,41.25
4012,Arizona,La Paz,2019-05-13 01:45:00,41.0,529.0,572.0,539.75,2019,eaglei_outages_2019_merged.csv,41.0
4013,Arizona,Maricopa,2023-09-13 03:00:00,40.0,220.0,43095.0,6172.8125,2023,eaglei_outages_2023_merged.csv,40.0
4027,Arizona,Yuma,2023-12-23 00:45:00,38.5,206.0,1155.0,337.95454545454544,2023,eaglei_outages_2023_merged.csv,38.5
4019,Arizona,Pima,2023-07-17 22:15:00,37.25,360.0,20224.0,4765.476510067114,2023,eaglei_outages_2023_merged.csv,37.25
4027,Arizona,Yuma,2019-09-24 02:15:00,37.0,384.0,14152.0,1794.0608108108108,2019,eaglei_outages_2019_merged.csv,37.0
4019,Arizona,Pima,2023-07-24 02:15:00,36.0,236.0,13034.0,3498.097222222222,2023,eaglei_outages_2023_merged.csv,36.0
