fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
5119,Arkansas,Pulaski,2023-03-31 19:30:00,234.25,471.0,62194.0,10361.790821771612,2023,eaglei_outages_2023_merged.csv,234.25
5037,Arkansas,Cross,2023-03-31 22:00:00,148.0,237.0,7125.0,2036.2601351351352,2023,eaglei_outages_2023_merged.csv,148.0
5123,Arkansas,St. Francis,2022-02-24 06:15:00,132.75,218.0,11814.0,3825.661016949152,2022,eaglei_outages_2022_merged.csv,132.75
5119,Arkansas,Pulaski,2019-06-20 02:15:00,124.0,259.0,36802.0,9315.790322580646,2019,eaglei_outages_2019_merged.csv,124.0
5035,Arkansas,Crittenden,2022-02-24 04:30:00,115.25,216.0,7850.0,2171.373101952277,2022,eaglei_outages_2022_merged.csv,115.25
5131,Arkansas,Sebastian,2019-05-31 02:15:00,115.0,379.0,2922.0,420.204347826087,2019,eaglei_outages_2019_merged.csv,115.0
5133,Arkansas,Sevier,2023-06-18 05:30:00,112.75,203.0,4647.0,2224.6674057649666,2023,eaglei_outages_2023_merged.csv,112.75
5107,Arkansas,Phillips,2020-04-16 01:30:00,98.75,210.0,2783.0,1375.318987341772,2020,eaglei_outages_2020_merged.csv,98.75
5119,Arkansas,Pulaski,2019-01-15 15:00:00,97.5,251.0,1345.0,402.425641025641,2019,eaglei_outages_2019_merged.csv,97.5
5139,Arkansas,Union,2020-08-28 02:00:00,95.25,333.0,7303.0,3763.346456692913,2020,eaglei_outages_2020_merged.csv,95.25
5069,Arkansas,Jefferson,2020-04-16 01:30:00,92.75,210.0,14639.0,6474.409703504043,2020,eaglei_outages_2020_merged.csv,92.75
5103,Arkansas,Ouachita,2019-06-20 02:00:00,91.75,234.0,6327.0,2658.9128065395093,2019,eaglei_outages_2019_merged.csv,91.75
5069,Arkansas,Jefferson,2019-06-08 06:15:00,91.0,313.0,334.0,313.88461538461536,2019,eaglei_outages_2019_merged.csv,91.0
5007,Arkansas,Benton,2019-10-21 05:45:00,90.0,452.0,21340.0,7484.902777777777,2019,eaglei_outages_2019_merged.csv,90.0
5057,Arkansas,Hempstead,2023-06-18 05:15:00,90.0,259.0,2432.0,1018.6305555555556,2023,eaglei_outages_2023_merged.csv,90.0
5037,Arkansas,Cross,2022-02-24 08:45:00,88.75,235.0,8892.0,1872.9859154929577,2022,eaglei_outages_2022_merged.csv,88.75
5061,Arkansas,Howard,2023-06-18 06:30:00,88.5,202.0,3615.0,1191.7570621468926,2023,eaglei_outages_2023_merged.csv,88.5
5003,Arkansas,Ashley,2023-06-18 09:30:00,88.0,206.0,5090.0,2437.767045454545,2023,eaglei_outages_2023_merged.csv,88.0
5001,Arkansas,Arkansas,2020-04-16 01:30:00,87.75,261.0,9394.0,5659.586894586894,2020,eaglei_outages_2020_merged.csv,87.75
5095,Arkansas,Monroe,2022-02-24 10:15:00,87.75,236.0,2825.0,1014.6809116809115,2022,eaglei_outages_2022_merged.csv,87.75
5027,Arkansas,Columbia,2019-06-20 01:30:00,86.5,203.0,4001.0,1685.407514450867,2019,eaglei_outages_2019_merged.csv,86.5
5091,Arkansas,Miller,2017-06-18 01:30:00,82.25,265.0,395.0,274.3951367781155,2017,eaglei_outages_2017_merged.csv,82.25
5093,Arkansas,Mississippi,2022-02-24 08:30:00,81.75,214.0,1869.0,869.7981651376147,2022,eaglei_outages_2022_merged.csv,81.75
5115,Arkansas,Pope,2023-06-18 09:00:00,81.25,271.0,14094.0,4967.156923076923,2023,eaglei_outages_2023_merged.csv,81.25
5107,Arkansas,Phillips,2022-02-03 11:45:00,78.5,232.0,6375.0,1765.5668789808915,2022,eaglei_outages_2022_merged.csv,78.5
5117,Arkansas,Prairie,2022-02-24 10:30:00,78.0,204.0,3175.0,1011.897435897436,2022,eaglei_outages_2022_merged.csv,78.0
5083,Arkansas,Logan,2020-03-12 17:30:00,77.5,237.0,247.0,237.4193548387097,2020,eaglei_outages_2020_merged.csv,77.5
5103,Arkansas,Ouachita,2021-04-09 20:15:00,75.0,321.0,6727.0,3244.0533333333333,2021,eaglei_outages_2021_merged.csv,75.0
5119,Arkansas,Pulaski,2020-08-27 19:45:00,74.25,210.0,7866.0,2081.936026936027,2020,eaglei_outages_2020_merged.csv,74.25
5043,Arkansas,Drew,2020-04-16 01:30:00,73.75,365.0,3528.0,1835.5661016949152,2020,eaglei_outages_2020_merged.csv,73.75
