fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
6037,California,Los Angeles,2022-12-06 14:15:00,609.75,318.0,15451.0,2034.6621566215665,2022,eaglei_outages_2022_merged.csv,609.75
6063,California,Plumas,2021-07-21 05:30:00,570.5,267.0,8302.0,2212.1415425065734,2021,eaglei_outages_2021_merged.csv,570.5
6019,California,Fresno,2020-11-27 07:00:00,426.0,215.0,6124.0,333.63732394366195,2020,eaglei_outages_2020_merged.csv,426.0
6037,California,Los Angeles,2023-10-01 09:00:00,332.75,393.0,39481.0,3728.7746055597295,2023,eaglei_outages_2023_merged.csv,332.75
6093,California,Siskiyou,2022-07-30 05:45:00,325.5,224.0,7415.0,402.3233486943165,2022,eaglei_outages_2022_merged.csv,325.5
6051,California,Mono,2023-07-26 07:45:00,314.5,744.0,1399.0,751.4252782193959,2023,eaglei_outages_2023_merged.csv,314.5
6019,California,Fresno,2020-09-15 16:45:00,297.25,526.0,3589.0,1163.5483599663582,2020,eaglei_outages_2020_merged.csv,297.25
6037,California,Los Angeles,2022-08-31 14:00:00,287.25,303.0,31866.0,5524.145343777198,2022,eaglei_outages_2022_merged.csv,287.25
6037,California,Los Angeles,2022-11-24 12:00:00,266.75,251.0,8628.0,1000.1433926897844,2022,eaglei_outages_2022_merged.csv,266.75
6037,California,Los Angeles,2020-08-13 11:15:00,266.25,252.0,29629.0,4056.0788732394367,2020,eaglei_outages_2020_merged.csv,266.25
6037,California,Los Angeles,2023-02-28 03:45:00,253.0,201.0,24667.0,4339.479249011858,2023,eaglei_outages_2023_merged.csv,253.0
6025,California,Imperial,2020-05-16 19:15:00,246.5,1897.0,2513.0,1904.6176470588236,2020,eaglei_outages_2020_merged.csv,246.5
6093,California,Siskiyou,2020-09-08 17:30:00,244.75,219.0,2929.0,583.1491317671093,2020,eaglei_outages_2020_merged.csv,244.75
6089,California,Shasta,2018-08-02 22:30:00,244.0,243.0,6150.0,1622.546106557377,2018,eaglei_outages_2018_merged.csv,244.0
6065,California,Riverside,2020-03-30 20:45:00,243.5,786.0,31487.0,1054.9979466119096,2020,eaglei_outages_2020_merged.csv,243.5
6037,California,Los Angeles,2023-10-20 14:15:00,236.75,385.0,9858.0,2805.6177402323124,2023,eaglei_outages_2023_merged.csv,236.75
6017,California,El Dorado,2021-09-21 00:15:00,235.25,1112.0,6285.0,1480.0138150903294,2021,eaglei_outages_2021_merged.csv,235.25
6063,California,Plumas,2021-09-21 00:15:00,235.25,368.0,600.0,414.221041445271,2021,eaglei_outages_2021_merged.csv,235.25
6023,California,Humboldt,2023-02-24 00:45:00,235.0,381.0,10069.0,2826.1127659574468,2023,eaglei_outages_2023_merged.csv,235.0
6065,California,Riverside,2020-08-30 04:45:00,233.25,643.0,8185.0,1758.9271168274383,2020,eaglei_outages_2020_merged.csv,233.25
6037,California,Los Angeles,2015-10-10 12:00:00,223.5,386.0,14251.0,3241.8489932885905,2015,eaglei_outages_2015_merged.csv,223.5
6037,California,Los Angeles,2022-11-15 04:45:00,223.0,223.0,20480.0,1962.329596412556,2022,eaglei_outages_2022_merged.csv,223.0
6107,California,Tulare,2020-09-24 23:30:00,221.75,252.0,2499.0,403.8850056369786,2020,eaglei_outages_2020_merged.csv,221.75
6037,California,Los Angeles,2015-10-22 16:45:00,221.25,633.0,24139.0,4246.11186440678,2015,eaglei_outages_2015_merged.csv,221.25
6055,California,Napa,2020-08-21 05:45:00,221.25,537.0,4583.0,1771.0271186440675,2020,eaglei_outages_2020_merged.csv,221.25
6087,California,Santa Cruz,2020-08-21 05:45:00,221.25,2320.0,10467.0,6066.557062146892,2020,eaglei_outages_2020_merged.csv,221.25
6037,California,Los Angeles,2020-09-25 03:15:00,218.25,263.0,53143.0,2599.506300114548,2020,eaglei_outages_2020_merged.csv,218.25
6017,California,El Dorado,2021-09-11 01:15:00,216.5,1153.0,4335.0,1502.4353348729792,2021,eaglei_outages_2021_merged.csv,216.5
6063,California,Plumas,2021-09-11 01:15:00,216.5,396.0,4540.0,1125.0300230946882,2021,eaglei_outages_2021_merged.csv,216.5
6051,California,Mono,2023-03-13 22:15:00,214.25,319.0,513.0,325.85180863477245,2023,eaglei_outages_2023_merged.csv,214.25
