fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
9001,Connecticut,Fairfield,2020-08-04 11:15:00,204.0,206.0,190956.0,87583.41544117648,2020,eaglei_outages_2020_merged.csv,204.0
9005,Connecticut,Litchfield,2020-08-04 17:45:00,181.5,515.0,66462.0,34946.41873278237,2020,eaglei_outages_2020_merged.csv,181.5
9009,Connecticut,New Haven,2020-08-04 17:15:00,177.25,213.0,140925.0,57412.89421720734,2020,eaglei_outages_2020_merged.csv,177.25
9003,Connecticut,Hartford,2020-08-04 18:00:00,173.75,216.0,179370.0,73335.01151079137,2020,eaglei_outages_2020_merged.csv,173.75
9007,Connecticut,Middlesex,2020-08-04 18:30:00,171.5,251.0,50926.0,22243.120991253643,2020,eaglei_outages_2020_merged.csv,171.5
9009,Connecticut,New Haven,2018-05-15 21:15:00,154.75,210.0,50262.0,7420.053311793215,2018,eaglei_outages_2018_merged.csv,154.75
9011,Connecticut,New London,2020-08-04 18:30:00,151.0,202.0,37902.0,15964.049668874171,2020,eaglei_outages_2020_merged.csv,151.0
9015,Connecticut,Windham,2020-08-04 19:00:00,150.5,210.0,38276.0,18671.92026578073,2020,eaglei_outages_2020_merged.csv,150.5
9013,Connecticut,Tolland,2020-08-04 19:15:00,148.25,227.0,40984.0,20033.681281618887,2020,eaglei_outages_2020_merged.csv,148.25
9001,Connecticut,Fairfield,2018-03-07 20:45:00,110.25,223.0,64829.0,15827.585034013606,2018,eaglei_outages_2018_merged.csv,110.25
9001,Connecticut,Fairfield,2018-05-18 18:00:00,102.5,201.0,21493.0,8374.258536585367,2018,eaglei_outages_2018_merged.csv,102.5
9009,Connecticut,New Haven,2018-03-07 22:00:00,95.0,201.0,38525.0,8655.15,2018,eaglei_outages_2018_merged.csv,95.0
9007,Connecticut,Middlesex,2018-03-07 23:00:00,93.75,228.0,34101.0,13372.029333333334,2018,eaglei_outages_2018_merged.csv,93.75
9001,Connecticut,Fairfield,2018-03-02 14:30:00,82.5,218.0,22736.0,10542.639393939397,2018,eaglei_outages_2018_merged.csv,82.5
9011,Connecticut,New London,2018-03-07 23:45:00,72.25,235.0,22920.0,8040.235294117647,2018,eaglei_outages_2018_merged.csv,72.25
9015,Connecticut,Windham,2018-03-08 00:30:00,70.25,209.0,12488.0,5970.316725978648,2018,eaglei_outages_2018_merged.csv,70.25
9009,Connecticut,New Haven,2020-08-27 20:15:00,70.0,343.0,50268.0,15216.557142857142,2020,eaglei_outages_2020_merged.csv,70.0
9005,Connecticut,Litchfield,2018-03-07 23:15:00,66.0,210.0,3388.0,1247.6666666666667,2018,eaglei_outages_2018_merged.csv,66.0
9005,Connecticut,Litchfield,2018-05-18 18:00:00,65.75,209.0,1673.0,454.2167300380228,2018,eaglei_outages_2018_merged.csv,65.75
9015,Connecticut,Windham,2023-12-18 05:45:00,65.5,228.0,16334.0,8123.442748091603,2023,eaglei_outages_2023_merged.csv,65.5
9001,Connecticut,Fairfield,2022-12-23 08:45:00,65.25,215.0,19111.0,5328.91570881226,2022,eaglei_outages_2022_merged.csv,65.25
9013,Connecticut,Tolland,2018-03-08 00:15:00,64.75,204.0,10474.0,4268.656370656371,2018,eaglei_outages_2018_merged.csv,64.75
9005,Connecticut,Litchfield,2022-12-23 09:45:00,64.5,204.0,19088.0,6611.038759689923,2022,eaglei_outages_2022_merged.csv,64.5
9011,Connecticut,New London,2018-03-02 13:15:00,63.75,224.0,15129.0,4613.117647058823,2018,eaglei_outages_2018_merged.csv,63.75
9003,Connecticut,Hartford,2018-03-08 00:00:00,63.5,201.0,9004.0,3323.0905511811025,2018,eaglei_outages_2018_merged.csv,63.5
9001,Connecticut,Fairfield,2016-02-25 00:30:00,63.25,211.0,17699.0,5592.0,2016,eaglei_outages_2016_merged.csv,63.25
9005,Connecticut,Litchfield,2018-03-02 18:00:00,62.75,215.0,6884.0,2407.0478087649403,2018,eaglei_outages_2018_merged.csv,62.75
9003,Connecticut,Hartford,2018-03-02 18:00:00,59.5,218.0,14500.0,2064.8865546218485,2018,eaglei_outages_2018_merged.csv,59.5
9009,Connecticut,New Haven,2019-01-20 11:45:00,59.0,237.0,22382.0,7720.512711864407,2019,eaglei_outages_2019_merged.csv,59.0
9003,Connecticut,Hartford,2022-12-23 10:15:00,59.0,257.0,21699.0,4332.436440677966,2022,eaglei_outages_2022_merged.csv,59.0
