fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
10003,Delaware,New Castle,2020-08-07 22:00:00,94.25,226.0,16291.0,4462.122015915119,2020,eaglei_outages_2020_merged.csv,94.25
10003,Delaware,New Castle,2018-03-02 15:00:00,81.5,236.0,44559.0,7143.751533742331,2018,eaglei_outages_2018_merged.csv,81.5
10003,Delaware,New Castle,2023-08-08 10:30:00,61.75,277.0,6494.0,2753.684210526316,2023,eaglei_outages_2023_merged.csv,61.75
10003,Delaware,New Castle,2017-03-14 10:15:00,61.25,221.0,33074.0,10041.677551020408,2017,eaglei_outages_2017_merged.csv,61.25
10003,Delaware,New Castle,2020-08-04 12:30:00,61.25,208.0,28933.0,8993.50612244898,2020,eaglei_outages_2020_merged.csv,61.25
10003,Delaware,New Castle,2019-05-29 22:45:00,38.5,237.0,6438.0,1934.564935064935,2019,eaglei_outages_2019_merged.csv,38.5
10005,Delaware,Sussex,2016-01-23 06:00:00,35.25,247.0,15234.0,2502.113475177305,2016,eaglei_outages_2016_merged.csv,35.25
10005,Delaware,Sussex,2020-08-04 12:00:00,34.25,201.0,34852.0,8414.649635036496,2020,eaglei_outages_2020_merged.csv,34.25
10001,Delaware,Kent,2020-08-04 12:45:00,31.25,467.0,6646.0,1963.328,2020,eaglei_outages_2020_merged.csv,31.25
10003,Delaware,New Castle,2018-03-21 15:00:00,30.25,205.0,4737.0,1413.256198347107,2018,eaglei_outages_2018_merged.csv,30.25
10003,Delaware,New Castle,2016-06-08 15:30:00,27.25,218.0,13913.0,2723.9266055045878,2016,eaglei_outages_2016_merged.csv,27.25
10003,Delaware,New Castle,2016-07-18 20:15:00,25.75,256.0,16832.0,4326.058252427184,2016,eaglei_outages_2016_merged.csv,25.75
10003,Delaware,New Castle,2017-01-23 09:45:00,25.25,206.0,2544.0,1185.7920792079208,2017,eaglei_outages_2017_merged.csv,25.25
10003,Delaware,New Castle,2020-12-17 00:30:00,25.25,210.0,4284.0,1697.6435643564355,2020,eaglei_outages_2020_merged.csv,25.25
10003,Delaware,New Castle,2019-07-22 21:15:00,24.0,235.0,16080.0,3231.239583333333,2019,eaglei_outages_2019_merged.csv,24.0
10003,Delaware,New Castle,2016-09-29 20:00:00,23.75,234.0,2907.0,775.8105263157895,2016,eaglei_outages_2016_merged.csv,23.75
10003,Delaware,New Castle,2016-04-03 06:00:00,23.5,201.0,12219.0,2264.86170212766,2016,eaglei_outages_2016_merged.csv,23.5
10003,Delaware,New Castle,2023-09-23 08:15:00,23.5,208.0,6294.0,1008.9574468085108,2023,eaglei_outages_2023_merged.csv,23.5
10003,Delaware,New Castle,2023-06-27 02:00:00,23.0,200.0,5264.0,1298.6521739130435,2023,eaglei_outages_2023_merged.csv,23.0
10003,Delaware,New Castle,2015-06-24 17:45:00,22.75,1372.0,15759.0,4992.593406593406,2015,eaglei_outages_2015_merged.csv,22.75
10003,Delaware,New Castle,2017-04-06 18:30:00,22.25,221.0,12777.0,3399.0224719101125,2017,eaglei_outages_2017_merged.csv,22.25
10003,Delaware,New Castle,2020-12-25 15:00:00,21.75,213.0,2486.0,686.7931034482758,2020,eaglei_outages_2020_merged.csv,21.75
10003,Delaware,New Castle,2019-06-02 23:00:00,21.25,226.0,6802.0,957.1882352941176,2019,eaglei_outages_2019_merged.csv,21.25
10003,Delaware,New Castle,2015-06-23 22:00:00,19.5,12956.0,45881.0,21861.615384615383,2015,eaglei_outages_2015_merged.csv,19.5
10003,Delaware,New Castle,2015-06-27 22:15:00,18.5,402.0,6972.0,1634.1216216216217,2015,eaglei_outages_2015_merged.csv,18.5
10001,Delaware,Kent,2018-03-02 16:00:00,18.5,495.0,7777.0,2669.6486486486488,2018,eaglei_outages_2018_merged.csv,18.5
10003,Delaware,New Castle,2021-09-01 21:00:00,18.25,203.0,3338.0,764.3287671232877,2021,eaglei_outages_2021_merged.csv,18.25
10003,Delaware,New Castle,2019-04-20 02:30:00,18.0,333.0,2018.0,444.43055555555554,2019,eaglei_outages_2019_merged.csv,18.0
10003,Delaware,New Castle,2016-11-19 23:45:00,17.25,304.0,3725.0,805.6811594202899,2016,eaglei_outages_2016_merged.csv,17.25
10005,Delaware,Sussex,2015-10-02 21:15:00,16.25,232.0,7586.0,2834.723076923077,2015,eaglei_outages_2015_merged.csv,16.25
