fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
12005,Florida,Bay,2018-10-10 12:45:00,532.75,350.0,100592.0,34583.152041295165,2018,eaglei_outages_2018_merged.csv,532.75
12071,Florida,Lee,2022-09-28 01:30:00,501.75,236.0,456573.0,131453.7264573991,2022,eaglei_outages_2022_merged.csv,501.75
12063,Florida,Jackson,2018-10-23 22:30:00,360.0,219.0,9421.0,4309.569444444444,2018,eaglei_outages_2018_merged.csv,360.0
12021,Florida,Collier,2022-09-28 00:15:00,347.75,326.0,212911.0,47173.58087706686,2022,eaglei_outages_2022_merged.csv,347.75
12097,Florida,Osceola,2022-09-28 19:15:00,307.5,247.0,29713.0,3310.588617886179,2022,eaglei_outages_2022_merged.csv,307.5
12105,Florida,Polk,2017-09-10 14:15:00,266.0,201.0,130427.0,49370.58176691729,2017,eaglei_outages_2017_merged.csv,266.0
12103,Florida,Pinellas,2023-04-20 11:30:00,265.25,221.0,6350.0,450.9142318567389,2023,eaglei_outages_2023_merged.csv,265.25
12015,Florida,Charlotte,2022-09-28 02:30:00,258.0,482.0,125744.0,65116.732558139534,2022,eaglei_outages_2022_merged.csv,258.0
12081,Florida,Manatee,2017-09-10 13:45:00,247.25,216.0,225195.0,39149.03437815976,2017,eaglei_outages_2017_merged.csv,247.25
12121,Florida,Suwannee,2023-08-30 09:45:00,247.0,204.0,24384.0,9799.52935222672,2023,eaglei_outages_2023_merged.csv,247.0
12095,Florida,Orange,2017-09-10 18:00:00,246.75,226.0,331670.0,109333.68591691996,2017,eaglei_outages_2017_merged.csv,246.75
12117,Florida,Seminole,2017-09-10 18:45:00,243.0,219.0,198450.0,64040.05041152264,2017,eaglei_outages_2017_merged.csv,243.0
12097,Florida,Osceola,2017-09-10 17:00:00,242.5,246.0,67476.0,13473.638144329896,2017,eaglei_outages_2017_merged.csv,242.5
12127,Florida,Volusia,2017-09-10 19:45:00,238.75,210.0,318854.0,74581.7780104712,2017,eaglei_outages_2017_merged.csv,238.75
12027,Florida,DeSoto,2017-09-10 17:45:00,237.25,223.0,29686.0,5313.560590094837,2017,eaglei_outages_2017_merged.csv,237.25
12055,Florida,Highlands,2017-09-10 13:15:00,231.0,218.0,52875.0,36616.89502164503,2017,eaglei_outages_2017_merged.csv,231.0
12103,Florida,Pinellas,2017-09-10 11:30:00,228.75,208.0,417553.0,181118.2174863388,2017,eaglei_outages_2017_merged.csv,228.75
12069,Florida,Lake,2017-09-10 16:00:00,227.25,255.0,144324.0,40488.98679867987,2017,eaglei_outages_2017_merged.csv,227.25
12083,Florida,Marion,2017-09-10 15:15:00,227.0,206.0,177207.0,52406.60572687224,2017,eaglei_outages_2017_merged.csv,227.0
12087,Florida,Monroe,2017-09-14 16:45:00,225.25,2277.0,36080.0,13921.022197558268,2017,eaglei_outages_2017_merged.csv,225.25
12001,Florida,Alachua,2017-09-10 13:45:00,218.0,343.0,67722.0,14652.381880733945,2017,eaglei_outages_2017_merged.csv,218.0
12089,Florida,Nassau,2017-09-11 01:00:00,216.0,205.0,48802.0,9341.810185185184,2017,eaglei_outages_2017_merged.csv,216.0
12061,Florida,Indian River,2017-09-09 21:00:00,213.0,200.0,120679.0,16706.49530516432,2017,eaglei_outages_2017_merged.csv,213.0
12127,Florida,Volusia,2022-09-28 14:15:00,209.75,218.0,224435.0,59049.039332538734,2022,eaglei_outages_2022_merged.csv,209.75
12049,Florida,Hardee,2017-09-10 21:00:00,207.75,221.0,15438.0,3973.4091456077017,2017,eaglei_outages_2017_merged.csv,207.75
12129,Florida,Wakulla,2018-10-09 17:15:00,207.75,265.0,19209.0,5295.072202166065,2018,eaglei_outages_2018_merged.csv,207.75
12067,Florida,Lafayette,2023-08-30 10:30:00,203.0,204.0,4916.0,2503.8066502463053,2023,eaglei_outages_2023_merged.csv,203.0
12107,Florida,Putnam,2017-09-10 16:30:00,202.5,208.0,55456.0,13644.64074074074,2017,eaglei_outages_2017_merged.csv,202.5
12017,Florida,Citrus,2017-09-10 16:15:00,202.0,266.0,58209.0,20011.76732673267,2017,eaglei_outages_2017_merged.csv,202.0
12047,Florida,Hamilton,2023-08-30 12:45:00,200.75,235.0,7855.0,3923.031133250312,2023,eaglei_outages_2023_merged.csv,200.75
