fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
13087,Georgia,Decatur,2018-10-10 15:15:00,269.75,283.0,13136.0,6217.39202965709,2018,eaglei_outages_2018_merged.csv,269.75
13311,Georgia,White,2017-09-11 21:15:00,166.5,338.0,11671.0,5602.405405405405,2017,eaglei_outages_2017_merged.csv,166.5
13241,Georgia,Rabun,2017-09-11 22:00:00,163.75,261.0,10574.0,4804.763358778626,2017,eaglei_outages_2017_merged.csv,163.75
13253,Georgia,Seminole,2018-10-10 19:30:00,163.75,377.0,1692.0,1477.4274809160306,2018,eaglei_outages_2018_merged.csv,163.75
13185,Georgia,Lowndes,2023-08-30 12:45:00,158.75,285.0,60581.0,23724.63779527559,2023,eaglei_outages_2023_merged.csv,158.75
13191,Georgia,McIntosh,2017-09-11 05:30:00,154.5,215.0,4177.0,2145.812297734628,2017,eaglei_outages_2017_merged.csv,154.5
13051,Georgia,Chatham,2016-10-08 22:30:00,153.0,214.0,114943.0,46272.7091503268,2016,eaglei_outages_2016_merged.csv,153.0
13137,Georgia,Habersham,2017-09-11 19:30:00,151.25,203.0,18799.0,7405.485950413223,2017,eaglei_outages_2017_merged.csv,151.25
13037,Georgia,Calhoun,2018-10-10 19:30:00,147.5,238.0,3401.0,2421.084745762712,2018,eaglei_outages_2018_merged.csv,147.5
13255,Georgia,Spalding,2023-01-12 21:30:00,146.25,250.0,7797.0,1879.4410256410256,2023,eaglei_outages_2023_merged.csv,146.25
13027,Georgia,Brooks,2023-08-30 11:45:00,143.5,212.0,8123.0,2922.200348432056,2023,eaglei_outages_2023_merged.csv,143.5
13205,Georgia,Mitchell,2018-10-10 20:45:00,142.0,202.0,2810.0,1599.7904929577464,2018,eaglei_outages_2018_merged.csv,142.0
13039,Georgia,Camden,2017-09-10 23:15:00,141.25,202.0,22838.0,7944.486725663717,2017,eaglei_outages_2017_merged.csv,141.25
13127,Georgia,Glynn,2017-09-11 00:30:00,140.0,200.0,46361.0,21838.930357142857,2017,eaglei_outages_2017_merged.csv,140.0
13187,Georgia,Lumpkin,2017-09-11 20:30:00,140.0,226.0,12962.0,5923.739285714286,2017,eaglei_outages_2017_merged.csv,140.0
13159,Georgia,Jasper,2023-01-12 22:00:00,140.0,214.0,2449.0,701.3285714285714,2023,eaglei_outages_2023_merged.csv,140.0
13121,Georgia,Fulton,2023-11-11 22:45:00,134.25,202.0,1213.0,310.6070763500931,2023,eaglei_outages_2023_merged.csv,134.25
13169,Georgia,Jones,2017-09-11 10:30:00,132.5,264.0,13155.0,5892.907547169812,2017,eaglei_outages_2017_merged.csv,132.5
13021,Georgia,Bibb,2017-09-11 10:30:00,130.0,221.0,43998.0,17889.465384615385,2017,eaglei_outages_2017_merged.csv,130.0
13201,Georgia,Miller,2018-10-10 19:30:00,126.5,269.0,1135.0,1127.1146245059288,2018,eaglei_outages_2018_merged.csv,126.5
13069,Georgia,Coffee,2017-09-11 07:30:00,126.25,229.0,13791.0,6018.269306930693,2017,eaglei_outages_2017_merged.csv,126.25
13051,Georgia,Chatham,2017-09-11 07:15:00,125.75,200.0,76043.0,24206.86878727634,2017,eaglei_outages_2017_merged.csv,125.75
13139,Georgia,Hall,2017-09-11 16:15:00,125.75,246.0,49235.0,17325.504970178925,2017,eaglei_outages_2017_merged.csv,125.75
13095,Georgia,Dougherty,2018-10-10 20:15:00,124.5,358.0,4667.0,3147.6425702811243,2018,eaglei_outages_2018_merged.csv,124.5
13151,Georgia,Henry,2023-01-12 21:45:00,123.5,237.0,21828.0,3146.2591093117408,2023,eaglei_outages_2023_merged.csv,123.5
13011,Georgia,Banks,2017-09-11 17:00:00,122.5,201.0,7511.0,3496.7795918367347,2017,eaglei_outages_2017_merged.csv,122.5
13243,Georgia,Randolph,2018-10-10 19:45:00,122.25,209.0,4423.0,2876.282208588957,2018,eaglei_outages_2018_merged.csv,122.25
13273,Georgia,Terrell,2018-10-10 20:45:00,122.25,220.0,5810.0,2950.047034764826,2018,eaglei_outages_2018_merged.csv,122.25
13237,Georgia,Putnam,2017-09-11 14:00:00,122.0,254.0,14823.0,6422.038934426229,2017,eaglei_outages_2017_merged.csv,122.0
13191,Georgia,McIntosh,2016-10-08 22:30:00,121.25,211.0,4103.0,1549.6329896907216,2016,eaglei_outages_2016_merged.csv,121.25
