fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
15009,Hawaii,Maui,2023-09-04 17:15:00,1177.0,309.0,1702.0,656.6365760407816,2023,eaglei_outages_2023_merged.csv,1177.0
15009,Hawaii,Maui,2021-04-02 00:00:00,319.75,2000.0,2000.0,2000.0,2021,eaglei_outages_2021_merged.csv,319.75
15009,Hawaii,Maui,2023-08-24 17:45:00,247.0,896.0,3229.0,1192.6902834008097,2023,eaglei_outages_2023_merged.csv,247.0
15001,Hawaii,Hawaii,2021-03-23 17:45:00,219.75,312.0,2338.0,962.7133105802048,2021,eaglei_outages_2021_merged.csv,219.75
15009,Hawaii,Maui,2023-10-31 01:45:00,169.0,215.0,437.0,218.8476331360947,2023,eaglei_outages_2023_merged.csv,169.0
15009,Hawaii,Maui,2023-08-16 01:30:00,160.5,1870.0,4155.0,2060.3115264797507,2023,eaglei_outages_2023_merged.csv,160.5
15001,Hawaii,Hawaii,2023-09-09 05:15:00,160.5,253.0,1795.0,285.4470404984424,2023,eaglei_outages_2023_merged.csv,160.5
15009,Hawaii,Maui,2023-10-23 18:30:00,150.25,340.0,711.0,356.7104825291181,2023,eaglei_outages_2023_merged.csv,150.25
15009,Hawaii,Maui,2023-08-10 00:00:00,93.75,4498.0,12627.0,7918.472,2023,eaglei_outages_2023_merged.csv,93.75
15001,Hawaii,Hawaii,2021-07-03 00:15:00,92.25,370.0,14109.0,510.4037940379404,2021,eaglei_outages_2021_merged.csv,92.25
15009,Hawaii,Maui,2023-08-22 18:15:00,47.25,1869.0,3739.0,1889.2857142857144,2023,eaglei_outages_2023_merged.csv,47.25
15007,Hawaii,Kauai,2019-12-21 20:45:00,44.5,248.0,2885.0,1038.9831460674156,2019,eaglei_outages_2019_merged.csv,44.5
15009,Hawaii,Maui,2021-03-23 11:45:00,41.0,200.0,1662.0,244.5731707317073,2021,eaglei_outages_2021_merged.csv,41.0
15009,Hawaii,Maui,2023-08-08 15:00:00,32.75,1398.0,14114.0,12533.763358778626,2023,eaglei_outages_2023_merged.csv,32.75
15003,Hawaii,Honolulu,2023-08-08 10:30:00,30.75,266.0,6238.0,1796.0487804878048,2023,eaglei_outages_2023_merged.csv,30.75
15001,Hawaii,Hawaii,2023-04-17 18:45:00,30.25,827.0,827.0,827.0,2023,eaglei_outages_2023_merged.csv,30.25
15001,Hawaii,Hawaii,2021-04-12 19:15:00,28.5,318.0,2664.0,1049.0877192982457,2021,eaglei_outages_2021_merged.csv,28.5
15007,Hawaii,Kauai,2022-02-17 23:15:00,28.0,601.0,620.0,602.3035714285714,2022,eaglei_outages_2022_merged.csv,28.0
15003,Hawaii,Honolulu,2023-03-08 20:30:00,28.0,352.0,35085.0,7442.8125,2023,eaglei_outages_2023_merged.csv,28.0
15001,Hawaii,Hawaii,2023-04-27 19:00:00,27.0,956.0,956.0,956.0,2023,eaglei_outages_2023_merged.csv,27.0
15001,Hawaii,Hawaii,2023-11-13 10:30:00,25.75,396.0,2640.0,853.6213592233009,2023,eaglei_outages_2023_merged.csv,25.75
15007,Hawaii,Kauai,2023-10-12 19:15:00,25.25,352.0,373.0,371.0,2023,eaglei_outages_2023_merged.csv,25.25
15003,Hawaii,Honolulu,2021-01-19 00:00:00,23.25,210.0,13023.0,5426.580645161291,2021,eaglei_outages_2021_merged.csv,23.25
15003,Hawaii,Honolulu,2019-02-10 18:15:00,22.75,348.0,32353.0,10589.494505494506,2019,eaglei_outages_2019_merged.csv,22.75
15003,Hawaii,Honolulu,2019-12-25 16:00:00,21.75,502.0,25846.0,8804.459770114943,2019,eaglei_outages_2019_merged.csv,21.75
15003,Hawaii,Honolulu,2021-12-07 08:00:00,21.25,222.0,2180.0,839.3411764705883,2021,eaglei_outages_2021_merged.csv,21.25
15009,Hawaii,Maui,2021-12-07 08:00:00,19.5,2702.0,2702.0,2702.0,2021,eaglei_outages_2021_merged.csv,19.5
15003,Hawaii,Honolulu,2023-02-10 14:15:00,18.0,224.0,5413.0,1301.8055555555557,2023,eaglei_outages_2023_merged.csv,18.0
15003,Hawaii,Honolulu,2019-03-09 02:30:00,17.75,467.0,3581.0,1798.5915492957747,2019,eaglei_outages_2019_merged.csv,17.75
15007,Hawaii,Kauai,2022-07-13 09:30:00,17.5,533.0,12536.0,1426.8285714285714,2022,eaglei_outages_2022_merged.csv,17.5
