fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
18173,Indiana,Warrick,2018-08-02 22:30:00,372.5,945.0,1506.0,946.7523489932886,2018,eaglei_outages_2018_merged.csv,372.5
18173,Indiana,Warrick,2018-08-18 13:15:00,293.0,945.0,946.0,945.037542662116,2018,eaglei_outages_2018_merged.csv,293.0
18163,Indiana,Vanderburgh,2018-07-12 00:45:00,166.5,961.0,961.0,961.0,2018,eaglei_outages_2018_merged.csv,166.5
18163,Indiana,Vanderburgh,2018-06-30 23:30:00,143.75,945.0,1029.0,951.3791304347826,2018,eaglei_outages_2018_merged.csv,143.75
18119,Indiana,Owen,2023-06-29 19:30:00,140.25,208.0,6802.0,2460.684491978609,2023,eaglei_outages_2023_merged.csv,140.25
18173,Indiana,Warrick,2018-07-23 04:15:00,114.0,945.0,946.0,945.0087719298244,2018,eaglei_outages_2018_merged.csv,114.0
18035,Indiana,Delaware,2016-06-01 21:00:00,111.5,526.0,780.0,534.0403587443947,2016,eaglei_outages_2016_merged.csv,111.5
18097,Indiana,Marion,2023-06-30 17:45:00,110.75,206.0,38491.0,11902.25959367946,2023,eaglei_outages_2023_merged.csv,110.75
18063,Indiana,Hendricks,2021-04-21 21:15:00,110.25,3303.0,4264.0,3313.249433106576,2021,eaglei_outages_2021_merged.csv,110.25
18105,Indiana,Monroe,2023-06-29 19:45:00,107.75,203.0,29767.0,4686.406032482599,2023,eaglei_outages_2023_merged.csv,107.75
18013,Indiana,Brown,2023-06-29 20:00:00,107.25,201.0,3941.0,1665.7296037296037,2023,eaglei_outages_2023_merged.csv,107.25
18167,Indiana,Vigo,2023-06-30 16:45:00,104.5,282.0,39807.0,22555.803827751195,2023,eaglei_outages_2023_merged.csv,104.5
18133,Indiana,Putnam,2023-06-29 19:30:00,102.5,224.0,9273.0,2922.1560975609755,2023,eaglei_outages_2023_merged.csv,102.5
18109,Indiana,Morgan,2023-06-29 19:45:00,100.0,205.0,9739.0,2349.19,2023,eaglei_outages_2023_merged.csv,100.0
18003,Indiana,Allen,2022-06-14 02:30:00,93.75,224.0,31766.0,12873.728,2022,eaglei_outages_2022_merged.csv,93.75
18119,Indiana,Owen,2023-04-01 02:15:00,93.0,201.0,7520.0,2057.545698924732,2023,eaglei_outages_2023_merged.csv,93.0
18089,Indiana,Lake,2020-08-11 20:30:00,85.75,257.0,22877.0,7166.5597667638485,2020,eaglei_outages_2020_merged.csv,85.75
18109,Indiana,Morgan,2023-04-01 03:15:00,84.75,203.0,12304.0,4532.831858407079,2023,eaglei_outages_2023_merged.csv,84.75
18097,Indiana,Marion,2016-08-26 12:30:00,84.5,206.0,20119.0,6373.458579881657,2016,eaglei_outages_2016_merged.csv,84.5
18025,Indiana,Crawford,2018-11-15 05:45:00,84.0,206.0,3768.0,1816.547619047619,2018,eaglei_outages_2018_merged.csv,84.0
18165,Indiana,Vermillion,2023-06-30 16:45:00,80.25,205.0,4010.0,2396.5919003115264,2023,eaglei_outages_2023_merged.csv,80.25
18021,Indiana,Clay,2023-06-30 16:45:00,79.5,259.0,7811.0,4363.003144654088,2023,eaglei_outages_2023_merged.csv,79.5
18121,Indiana,Parke,2023-06-30 16:45:00,77.25,211.0,852.0,600.1165048543689,2023,eaglei_outages_2023_merged.csv,77.25
18067,Indiana,Howard,2016-08-25 13:30:00,77.0,204.0,12600.0,3916.133116883117,2016,eaglei_outages_2016_merged.csv,77.0
18127,Indiana,Porter,2020-08-11 20:30:00,73.5,239.0,5701.0,2018.265306122449,2020,eaglei_outages_2020_merged.csv,73.5
18077,Indiana,Jefferson,2018-11-15 06:15:00,73.25,229.0,8597.0,4213.464163822526,2018,eaglei_outages_2018_merged.csv,73.25
18127,Indiana,Porter,2022-03-29 18:45:00,73.25,506.0,955.0,525.3856655290102,2022,eaglei_outages_2022_merged.csv,73.25
18097,Indiana,Marion,2018-10-20 22:15:00,73.0,210.0,37089.0,8177.188356164384,2018,eaglei_outages_2018_merged.csv,73.0
18083,Indiana,Knox,2020-04-09 01:30:00,72.25,215.0,10907.0,6411.560553633218,2020,eaglei_outages_2020_merged.csv,72.25
18107,Indiana,Montgomery,2023-06-30 16:45:00,72.0,225.0,2070.0,1418.5347222222222,2023,eaglei_outages_2023_merged.csv,72.0
