fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
19015,Iowa,Boone,2020-08-10 15:45:00,213.25,200.0,9757.0,2535.4689331770223,2020,eaglei_outages_2020_merged.csv,213.25
19049,Iowa,Dallas,2020-08-10 15:45:00,213.25,431.0,19149.0,3245.3751465416176,2020,eaglei_outages_2020_merged.csv,213.25
19169,Iowa,Story,2020-08-10 16:30:00,212.5,313.0,35836.0,8953.629411764707,2020,eaglei_outages_2020_merged.csv,212.5
19099,Iowa,Jasper,2020-08-10 16:45:00,212.25,270.0,14954.0,7837.705535924617,2020,eaglei_outages_2020_merged.csv,212.25
19127,Iowa,Marshall,2020-08-10 16:45:00,212.25,1452.0,16662.0,10040.975265017669,2020,eaglei_outages_2020_merged.csv,212.25
19157,Iowa,Poweshiek,2020-08-10 17:15:00,211.75,261.0,8164.0,4528.517119244392,2020,eaglei_outages_2020_merged.csv,211.75
19171,Iowa,Tama,2020-08-10 17:15:00,211.75,732.0,6848.0,4046.190082644628,2020,eaglei_outages_2020_merged.csv,211.75
19011,Iowa,Benton,2020-08-10 17:30:00,211.5,1133.0,10178.0,5522.158392434988,2020,eaglei_outages_2020_merged.csv,211.5
19113,Iowa,Linn,2020-08-10 17:45:00,211.25,1074.0,109389.0,68867.34674556213,2020,eaglei_outages_2020_merged.csv,211.25
19031,Iowa,Cedar,2020-08-10 18:15:00,210.75,289.0,6196.0,3275.635824436536,2020,eaglei_outages_2020_merged.csv,210.75
19045,Iowa,Clinton,2020-08-10 18:45:00,210.25,254.0,21264.0,8611.112960760998,2020,eaglei_outages_2020_merged.csv,210.25
19105,Iowa,Jones,2020-08-10 18:30:00,185.75,237.0,5250.0,1824.8304172274563,2020,eaglei_outages_2020_merged.csv,185.75
19103,Iowa,Johnson,2020-08-10 17:45:00,175.0,216.0,51777.0,12959.462857142857,2020,eaglei_outages_2020_merged.csv,175.0
19163,Iowa,Scott,2020-08-10 18:30:00,154.75,202.0,56299.0,22789.28432956381,2020,eaglei_outages_2020_merged.csv,154.75
19113,Iowa,Linn,2020-08-19 13:15:00,149.0,206.0,22718.0,8563.080536912752,2020,eaglei_outages_2020_merged.csv,149.0
19153,Iowa,Polk,2020-08-10 16:00:00,144.75,208.0,114873.0,38560.25388601036,2020,eaglei_outages_2020_merged.csv,144.75
19139,Iowa,Muscatine,2020-08-10 18:15:00,126.25,443.0,3045.0,853.8237623762376,2020,eaglei_outages_2020_merged.csv,126.25
19075,Iowa,Grundy,2020-08-11 13:45:00,107.0,468.0,1304.0,832.7056074766355,2020,eaglei_outages_2020_merged.csv,107.0
19127,Iowa,Marshall,2020-08-19 13:15:00,100.5,259.0,4023.0,1126.7164179104475,2020,eaglei_outages_2020_merged.csv,100.5
19095,Iowa,Iowa,2020-08-10 17:30:00,99.25,212.0,6828.0,2152.214105793451,2020,eaglei_outages_2020_merged.csv,99.25
19181,Iowa,Warren,2020-08-10 16:15:00,96.75,221.0,2549.0,1007.0232558139536,2020,eaglei_outages_2020_merged.csv,96.75
19155,Iowa,Pottawattamie,2021-07-10 05:30:00,83.75,498.0,12888.0,2232.253731343284,2021,eaglei_outages_2021_merged.csv,83.75
19011,Iowa,Benton,2020-08-19 13:15:00,82.25,200.0,1210.0,406.35258358662617,2020,eaglei_outages_2020_merged.csv,82.25
19127,Iowa,Marshall,2018-07-19 21:45:00,78.25,717.0,8657.0,4502.977635782748,2018,eaglei_outages_2018_merged.csv,78.25
19073,Iowa,Greene,2020-08-10 15:45:00,74.75,200.0,3392.0,891.0434782608696,2020,eaglei_outages_2020_merged.csv,74.75
19083,Iowa,Hardin,2020-08-11 13:45:00,74.75,273.0,2893.0,773.0702341137123,2020,eaglei_outages_2020_merged.csv,74.75
19077,Iowa,Guthrie,2020-08-11 13:45:00,72.5,219.0,1057.0,495.07241379310346,2020,eaglei_outages_2020_merged.csv,72.5
19189,Iowa,Winnebago,2019-04-11 08:30:00,70.75,200.0,2116.0,1307.3321554770318,2019,eaglei_outages_2019_merged.csv,70.75
19073,Iowa,Greene,2021-12-16 00:00:00,66.5,243.0,3361.0,1868.165413533835,2021,eaglei_outages_2021_merged.csv,66.5
19195,Iowa,Worth,2019-04-11 08:00:00,64.0,299.0,3772.0,1262.4375,2019,eaglei_outages_2019_merged.csv,64.0
