fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
20109,Kansas,Logan,2017-04-30 09:30:00,108.0,222.0,3319.0,1284.9699074074074,2017,eaglei_outages_2017_merged.csv,108.0
20185,Kansas,Stafford,2017-01-16 09:45:00,104.25,205.0,1293.0,754.7122302158274,2017,eaglei_outages_2017_merged.csv,104.25
20091,Kansas,Johnson,2019-01-12 16:45:00,104.25,203.0,26850.0,10307.247002398082,2019,eaglei_outages_2019_merged.csv,104.25
20091,Kansas,Johnson,2023-07-14 20:45:00,100.25,235.0,64696.0,17916.81795511222,2023,eaglei_outages_2023_merged.csv,100.25
20209,Kansas,Wyandotte,2023-07-14 20:45:00,94.25,252.0,34178.0,6118.066312997347,2023,eaglei_outages_2023_merged.csv,94.25
20047,Kansas,Edwards,2017-01-16 04:45:00,93.0,200.0,1998.0,1314.989247311828,2017,eaglei_outages_2017_merged.csv,93.0
20145,Kansas,Pawnee,2017-01-16 05:00:00,92.25,307.0,1928.0,1048.8753387533875,2017,eaglei_outages_2017_merged.csv,92.25
20009,Kansas,Barton,2017-01-16 08:00:00,88.5,202.0,2613.0,1107.5677966101696,2017,eaglei_outages_2017_merged.csv,88.5
20179,Kansas,Sheridan,2017-04-30 10:30:00,87.75,206.0,1826.0,689.8831908831909,2017,eaglei_outages_2017_merged.csv,87.75
20091,Kansas,Johnson,2017-06-17 05:45:00,79.0,237.0,17011.0,5052.354430379747,2017,eaglei_outages_2017_merged.csv,79.0
20121,Kansas,Miami,2019-01-12 16:45:00,79.0,202.0,5332.0,1979.21835443038,2019,eaglei_outages_2019_merged.csv,79.0
20009,Kansas,Barton,2021-12-15 19:45:00,79.0,314.0,5364.0,1616.977848101266,2021,eaglei_outages_2021_merged.csv,79.0
20051,Kansas,Ellis,2021-12-15 19:30:00,77.75,201.0,9661.0,1544.8585209003215,2021,eaglei_outages_2021_merged.csv,77.75
20091,Kansas,Johnson,2017-07-23 02:15:00,74.5,233.0,48945.0,15667.154362416108,2017,eaglei_outages_2017_merged.csv,74.5
20155,Kansas,Reno,2015-11-29 06:30:00,73.25,214.0,6214.0,2078.542662116041,2015,eaglei_outages_2015_merged.csv,73.25
20009,Kansas,Barton,2023-07-16 22:30:00,71.75,216.0,10807.0,2609.2160278745646,2023,eaglei_outages_2023_merged.csv,71.75
20209,Kansas,Wyandotte,2019-01-12 16:45:00,71.25,255.0,3207.0,1139.6105263157897,2019,eaglei_outages_2019_merged.csv,71.25
20177,Kansas,Shawnee,2023-07-14 19:30:00,71.25,221.0,17644.0,4537.115789473684,2023,eaglei_outages_2023_merged.csv,71.25
20015,Kansas,Butler,2022-04-30 01:30:00,69.75,278.0,5574.0,1182.5125448028673,2022,eaglei_outages_2022_merged.csv,69.75
20169,Kansas,Saline,2021-12-16 02:45:00,69.5,256.0,20493.0,3820.0575539568345,2021,eaglei_outages_2021_merged.csv,69.5
20209,Kansas,Wyandotte,2017-06-17 05:30:00,68.0,211.0,13764.0,4124.757352941177,2017,eaglei_outages_2017_merged.csv,68.0
20083,Kansas,Hodgeman,2017-01-16 09:30:00,61.75,290.0,585.0,414.3481781376518,2017,eaglei_outages_2017_merged.csv,61.75
20193,Kansas,Thomas,2017-04-30 16:45:00,60.75,318.0,1575.0,1064.6502057613168,2017,eaglei_outages_2017_merged.csv,60.75
20085,Kansas,Jackson,2018-06-02 09:15:00,60.75,205.0,50275.0,10259.308641975307,2018,eaglei_outages_2018_merged.csv,60.75
20039,Kansas,Decatur,2017-04-30 12:00:00,59.0,667.0,667.0,667.0,2017,eaglei_outages_2017_merged.csv,59.0
20177,Kansas,Shawnee,2021-12-16 02:45:00,58.25,268.0,21005.0,4527.429184549356,2021,eaglei_outages_2021_merged.csv,58.25
20155,Kansas,Reno,2021-12-15 18:15:00,55.75,229.0,9129.0,1914.291479820628,2021,eaglei_outages_2021_merged.csv,55.75
20145,Kansas,Pawnee,2022-03-22 10:30:00,55.0,370.0,1300.0,759.2,2022,eaglei_outages_2022_merged.csv,55.0
20167,Kansas,Russell,2021-12-15 20:30:00,53.75,362.0,904.0,590.3255813953489,2021,eaglei_outages_2021_merged.csv,53.75
20165,Kansas,Rush,2022-03-22 10:00:00,53.75,205.0,974.0,404.8511627906977,2022,eaglei_outages_2022_merged.csv,53.75
