fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
22051,Louisiana,Jefferson,2021-09-07 22:15:00,1035.75,1912.0,131523.0,7538.054308472122,2021,eaglei_outages_2021_merged.csv,1035.75
22057,Louisiana,Lafourche,2021-09-07 22:15:00,1035.75,283.0,43658.0,9549.187303886072,2021,eaglei_outages_2021_merged.csv,1035.75
22019,Louisiana,Calcasieu,2020-08-26 18:00:00,845.25,262.0,103022.0,56602.82194616977,2020,eaglei_outages_2020_merged.csv,845.25
22105,Louisiana,Tangipahoa,2021-09-24 11:45:00,638.25,208.0,5717.0,385.4915785350568,2021,eaglei_outages_2021_merged.csv,638.25
22053,Louisiana,Jefferson Davis,2020-08-27 03:15:00,601.25,269.0,21012.0,2994.7297297297296,2020,eaglei_outages_2020_merged.csv,601.25
22105,Louisiana,Tangipahoa,2021-08-29 23:15:00,577.0,261.0,68621.0,28354.216204506065,2021,eaglei_outages_2021_merged.csv,577.0
22023,Louisiana,Cameron,2020-08-29 01:45:00,543.5,301.0,1997.0,1754.033118675253,2020,eaglei_outages_2020_merged.csv,543.5
22109,Louisiana,Terrebonne,2021-09-07 22:15:00,492.25,229.0,27188.0,10794.80751650584,2021,eaglei_outages_2021_merged.csv,492.25
22063,Louisiana,Livingston,2021-08-30 18:45:00,462.25,217.0,62365.0,26924.548404542995,2021,eaglei_outages_2021_merged.csv,462.25
22091,Louisiana,St. Helena,2021-08-30 18:45:00,407.75,206.0,8648.0,6000.002452483139,2021,eaglei_outages_2021_merged.csv,407.75
22005,Louisiana,Ascension,2021-08-30 18:45:00,404.75,9787.0,51521.0,21324.481161210624,2021,eaglei_outages_2021_merged.csv,404.75
22033,Louisiana,East Baton Rouge,2021-08-30 18:45:00,404.75,2069.0,153064.0,32836.395305744285,2021,eaglei_outages_2021_merged.csv,404.75
22011,Louisiana,Beauregard,2020-08-27 05:00:00,404.0,255.0,18972.0,15012.844678217822,2020,eaglei_outages_2020_merged.csv,404.0
22079,Louisiana,Rapides,2020-08-27 04:30:00,396.5,252.0,42112.0,15233.877049180328,2020,eaglei_outages_2020_merged.csv,396.5
22115,Louisiana,Vernon,2020-08-27 05:45:00,373.25,215.0,24749.0,12857.012726054923,2020,eaglei_outages_2020_merged.csv,373.25
22043,Louisiana,Grant,2020-08-27 07:15:00,337.0,204.0,10278.0,6053.273738872404,2020,eaglei_outages_2020_merged.csv,337.0
22095,Louisiana,St. John the Baptist,2021-09-07 22:15:00,336.25,207.0,19001.0,8686.17472118959,2021,eaglei_outages_2021_merged.csv,336.25
22057,Louisiana,Lafourche,2021-10-29 20:45:00,313.25,245.0,11248.0,322.42857142857144,2021,eaglei_outages_2021_merged.csv,313.25
22103,Louisiana,St. Tammany,2021-08-29 23:15:00,292.25,213.0,130114.0,54032.49016253208,2021,eaglei_outages_2021_merged.csv,292.25
22089,Louisiana,St. Charles,2021-09-07 22:15:00,290.0,319.0,22166.0,13221.911206896551,2021,eaglei_outages_2021_merged.csv,290.0
22085,Louisiana,Sabine,2020-08-26 22:45:00,287.25,203.0,15100.0,8577.669277632724,2020,eaglei_outages_2020_merged.csv,287.25
22069,Louisiana,Natchitoches,2020-08-27 07:45:00,280.5,313.0,13109.0,8254.886809269163,2020,eaglei_outages_2020_merged.csv,280.5
22003,Louisiana,Allen,2020-08-27 05:00:00,276.75,858.0,11805.0,8035.011743450767,2020,eaglei_outages_2020_merged.csv,276.75
22019,Louisiana,Calcasieu,2020-10-09 15:00:00,272.75,202.0,85666.0,15857.565536205317,2020,eaglei_outages_2020_merged.csv,272.75
22075,Louisiana,Plaquemines,2021-09-07 22:15:00,256.75,213.0,7915.0,2193.489776046738,2021,eaglei_outages_2021_merged.csv,256.75
22117,Louisiana,Washington,2021-08-29 23:15:00,255.75,473.0,19709.0,7341.55522971652,2021,eaglei_outages_2021_merged.csv,255.75
22127,Louisiana,Winn,2020-08-27 10:00:00,254.75,264.0,5963.0,3860.0,2020,eaglei_outages_2020_merged.csv,254.75
22009,Louisiana,Avoyelles,2018-03-16 05:45:00,250.75,213.0,228.0,213.83150548354936,2018,eaglei_outages_2018_merged.csv,250.75
22037,Louisiana,East Feliciana,2021-09-06 07:30:00,248.0,1439.0,2554.0,1448.761088709677,2021,eaglei_outages_2021_merged.csv,248.0
22125,Louisiana,West Feliciana,2021-09-06 07:30:00,248.0,684.0,777.0,769.1885080645161,2021,eaglei_outages_2021_merged.csv,248.0
