fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
23019,Maine,Penobscot,2023-12-18 13:15:00,153.25,240.0,59742.0,23396.809135399675,2023,eaglei_outages_2023_merged.csv,153.25
23009,Maine,Hancock,2023-12-18 10:45:00,149.75,219.0,35012.0,10388.525876460768,2023,eaglei_outages_2023_merged.csv,149.75
23009,Maine,Hancock,2020-04-09 23:15:00,146.0,264.0,21854.0,6188.0,2020,eaglei_outages_2020_merged.csv,146.0
23027,Maine,Waldo,2017-10-30 04:00:00,144.0,280.0,22738.0,10041.244791666666,2017,eaglei_outages_2017_merged.csv,144.0
23019,Maine,Penobscot,2020-04-09 22:00:00,144.0,350.0,65190.0,19120.446180555555,2020,eaglei_outages_2020_merged.csv,144.0
23021,Maine,Piscataquis,2020-04-09 22:45:00,142.25,241.0,10663.0,4627.193321616872,2020,eaglei_outages_2020_merged.csv,142.25
23009,Maine,Hancock,2017-10-30 06:00:00,139.75,305.0,32670.0,8529.237924865833,2017,eaglei_outages_2017_merged.csv,139.75
23027,Maine,Waldo,2023-12-18 13:45:00,133.25,236.0,17309.0,5420.333958724203,2023,eaglei_outages_2023_merged.csv,133.25
23005,Maine,Cumberland,2017-10-30 16:15:00,131.75,3190.0,109526.0,38416.474383301706,2017,eaglei_outages_2017_merged.csv,131.75
23011,Maine,Kennebec,2017-10-30 16:15:00,131.75,3401.0,49159.0,23295.6660341556,2017,eaglei_outages_2017_merged.csv,131.75
23013,Maine,Knox,2017-10-30 16:15:00,131.75,277.0,14527.0,4748.176470588235,2017,eaglei_outages_2017_merged.csv,131.75
23015,Maine,Lincoln,2017-10-30 16:15:00,131.75,4308.0,23663.0,12897.711574952562,2017,eaglei_outages_2017_merged.csv,131.75
23017,Maine,Oxford,2017-10-30 16:15:00,131.75,240.0,16714.0,6042.944971537002,2017,eaglei_outages_2017_merged.csv,131.75
23023,Maine,Sagadahoc,2017-10-30 16:15:00,131.75,740.0,17971.0,9221.721062618595,2017,eaglei_outages_2017_merged.csv,131.75
23025,Maine,Somerset,2017-10-30 16:45:00,131.25,585.0,21116.0,9418.091428571428,2017,eaglei_outages_2017_merged.csv,131.25
23001,Maine,Androscoggin,2017-10-30 16:15:00,129.5,436.0,28333.0,7557.681467181467,2017,eaglei_outages_2017_merged.csv,129.5
23019,Maine,Penobscot,2017-10-30 08:30:00,126.75,218.0,61301.0,19606.698224852076,2017,eaglei_outages_2017_merged.csv,126.75
23031,Maine,York,2017-10-30 16:15:00,125.5,221.0,74835.0,25837.392430278884,2017,eaglei_outages_2017_merged.csv,125.5
23009,Maine,Hancock,2022-12-23 13:15:00,122.5,283.0,26662.0,9886.6306122449,2022,eaglei_outages_2022_merged.csv,122.5
23027,Maine,Waldo,2020-04-09 22:00:00,122.0,264.0,22013.0,10323.16393442623,2020,eaglei_outages_2020_merged.csv,122.0
23007,Maine,Franklin,2017-10-30 21:45:00,121.5,361.0,8308.0,2612.8271604938277,2017,eaglei_outages_2017_merged.csv,121.5
23025,Maine,Somerset,2020-04-09 22:00:00,120.75,219.0,23402.0,10497.443064182196,2020,eaglei_outages_2020_merged.csv,120.75
23013,Maine,Knox,2020-04-09 23:15:00,118.25,223.0,11010.0,4198.881606765328,2020,eaglei_outages_2020_merged.csv,118.25
23029,Maine,Washington,2023-12-18 14:00:00,116.5,222.0,11268.0,3495.015021459228,2023,eaglei_outages_2023_merged.csv,116.5
23011,Maine,Kennebec,2020-04-09 21:15:00,115.0,354.0,42773.0,13194.563043478262,2020,eaglei_outages_2020_merged.csv,115.0
23029,Maine,Washington,2022-12-23 19:15:00,112.75,200.0,10230.0,2189.487804878049,2022,eaglei_outages_2022_merged.csv,112.75
23031,Maine,York,2022-12-23 11:00:00,106.5,270.0,48991.0,19387.309859154928,2022,eaglei_outages_2022_merged.csv,106.5
23021,Maine,Piscataquis,2023-12-18 15:00:00,106.5,201.0,9628.0,3971.62441314554,2023,eaglei_outages_2023_merged.csv,106.5
23007,Maine,Franklin,2020-04-09 21:30:00,103.75,203.0,17176.0,6632.640963855421,2020,eaglei_outages_2020_merged.csv,103.75
23017,Maine,Oxford,2022-12-23 11:00:00,103.25,224.0,15647.0,5561.334140435835,2022,eaglei_outages_2022_merged.csv,103.25
