fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
24013,Maryland,Carroll,2022-07-12 20:30:00,119.5,207.0,29736.0,5528.334728033473,2022,eaglei_outages_2022_merged.csv,119.5
24025,Maryland,Harford,2022-07-12 21:00:00,115.75,232.0,31551.0,6827.697624190065,2022,eaglei_outages_2022_merged.csv,115.75
24033,Maryland,Prince George's,2022-07-12 22:15:00,105.75,256.0,64522.0,9321.8085106383,2022,eaglei_outages_2022_merged.csv,105.75
24017,Maryland,Charles,2022-01-03 13:30:00,104.25,208.0,17414.0,4625.410071942446,2022,eaglei_outages_2022_merged.csv,104.25
24031,Maryland,Montgomery,2018-03-02 05:30:00,91.0,221.0,108677.0,21313.17857142857,2018,eaglei_outages_2018_merged.csv,91.0
24033,Maryland,Prince George's,2018-03-02 06:30:00,90.0,263.0,85071.0,21140.422222222223,2018,eaglei_outages_2018_merged.csv,90.0
24023,Maryland,Garrett,2019-12-17 00:30:00,90.0,238.0,8670.0,2830.136111111111,2019,eaglei_outages_2019_merged.csv,90.0
24031,Maryland,Montgomery,2023-07-28 22:30:00,85.0,211.0,55999.0,8235.320588235294,2023,eaglei_outages_2023_merged.csv,85.0
24013,Maryland,Carroll,2023-08-08 10:30:00,82.75,207.0,23546.0,6571.894259818731,2023,eaglei_outages_2023_merged.csv,82.75
24017,Maryland,Charles,2018-03-02 09:30:00,79.25,201.0,12269.0,4181.681388012618,2018,eaglei_outages_2018_merged.csv,79.25
24001,Maryland,Allegany,2019-02-12 13:45:00,77.75,236.0,6327.0,1822.8938906752408,2019,eaglei_outages_2019_merged.csv,77.75
24009,Maryland,Calvert,2022-01-03 13:30:00,76.0,205.0,12581.0,3419.2861842105262,2022,eaglei_outages_2022_merged.csv,76.0
24001,Maryland,Allegany,2019-02-24 21:30:00,71.75,203.0,3662.0,1282.8048780487804,2019,eaglei_outages_2019_merged.csv,71.75
24023,Maryland,Garrett,2018-03-02 05:15:00,68.0,209.0,2240.0,938.283088235294,2018,eaglei_outages_2018_merged.csv,68.0
24003,Maryland,Anne Arundel,2022-07-12 21:00:00,67.75,319.0,5646.0,1875.2693726937268,2022,eaglei_outages_2022_merged.csv,67.75
24015,Maryland,Cecil,2022-07-12 21:30:00,65.75,228.0,12424.0,3792.011406844106,2022,eaglei_outages_2022_merged.csv,65.75
24001,Maryland,Allegany,2019-12-17 06:45:00,63.25,219.0,3968.0,961.501976284585,2019,eaglei_outages_2019_merged.csv,63.25
24037,Maryland,St. Mary's,2022-01-03 14:15:00,62.5,209.0,14054.0,3860.736,2022,eaglei_outages_2022_merged.csv,62.5
24021,Maryland,Frederick,2018-03-02 09:15:00,61.25,237.0,7301.0,2913.412244897959,2018,eaglei_outages_2018_merged.csv,61.25
24027,Maryland,Howard,2022-12-23 15:15:00,60.25,211.0,6274.0,2835.755186721992,2022,eaglei_outages_2022_merged.csv,60.25
24009,Maryland,Calvert,2018-03-02 08:45:00,59.5,220.0,5613.0,2509.563025210084,2018,eaglei_outages_2018_merged.csv,59.5
24033,Maryland,Prince George's,2022-01-03 13:00:00,59.0,247.0,19563.0,4516.830508474576,2022,eaglei_outages_2022_merged.csv,59.0
24033,Maryland,Prince George's,2023-07-29 17:45:00,58.0,200.0,9883.0,2647.0258620689656,2023,eaglei_outages_2023_merged.csv,58.0
24025,Maryland,Harford,2023-08-08 10:30:00,58.0,210.0,9315.0,2306.4827586206898,2023,eaglei_outages_2023_merged.csv,58.0
24037,Maryland,St. Mary's,2018-03-02 09:00:00,55.5,239.0,11852.0,3341.8828828828828,2018,eaglei_outages_2018_merged.csv,55.5
24015,Maryland,Cecil,2018-03-02 15:15:00,55.5,255.0,18964.0,4211.671171171171,2018,eaglei_outages_2018_merged.csv,55.5
24003,Maryland,Anne Arundel,2022-01-03 14:00:00,55.5,274.0,34497.0,4286.094594594595,2022,eaglei_outages_2022_merged.csv,55.5
24003,Maryland,Anne Arundel,2022-12-23 15:00:00,55.0,215.0,18158.0,3947.022727272728,2022,eaglei_outages_2022_merged.csv,55.0
24001,Maryland,Allegany,2022-12-23 13:30:00,54.75,201.0,3458.0,1150.351598173516,2022,eaglei_outages_2022_merged.csv,54.75
24001,Maryland,Allegany,2018-03-02 05:45:00,53.5,202.0,3951.0,1335.3831775700935,2018,eaglei_outages_2018_merged.csv,53.5
