fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
25013,Massachusetts,Hampden,2022-08-05 18:00:00,162.75,1223.0,2633.0,1286.8141321044548,2022,eaglei_outages_2022_merged.csv,162.75
25013,Massachusetts,Hampden,2022-09-15 12:00:00,145.25,330.0,3527.0,1284.4509466437178,2022,eaglei_outages_2022_merged.csv,145.25
25013,Massachusetts,Hampden,2023-03-28 20:00:00,143.0,1229.0,1516.0,1239.5437062937062,2023,eaglei_outages_2023_merged.csv,143.0
25013,Massachusetts,Hampden,2022-07-01 14:00:00,141.0,1225.0,2337.0,1278.0975177304963,2022,eaglei_outages_2022_merged.csv,141.0
25013,Massachusetts,Hampden,2022-04-15 17:30:00,138.0,1217.0,2350.0,1244.0144927536232,2022,eaglei_outages_2022_merged.csv,138.0
25013,Massachusetts,Hampden,2022-08-12 17:30:00,117.5,922.0,2669.0,994.6787234042552,2022,eaglei_outages_2022_merged.csv,117.5
25009,Massachusetts,Essex,2017-10-30 03:00:00,102.5,207.0,78644.0,31988.22926829268,2017,eaglei_outages_2017_merged.csv,102.5
25017,Massachusetts,Middlesex,2017-10-29 22:30:00,100.0,200.0,66566.0,22094.7575,2017,eaglei_outages_2017_merged.csv,100.0
25011,Massachusetts,Franklin,2019-10-17 04:30:00,98.5,216.0,5146.0,1425.2131979695432,2019,eaglei_outages_2019_merged.csv,98.5
25013,Massachusetts,Hampden,2020-08-04 19:45:00,97.5,202.0,56663.0,21039.361538461537,2020,eaglei_outages_2020_merged.csv,97.5
25017,Massachusetts,Middlesex,2018-03-08 02:00:00,92.75,207.0,148898.0,60172.02425876011,2018,eaglei_outages_2018_merged.csv,92.75
25013,Massachusetts,Hampden,2022-11-10 20:00:00,91.25,1227.0,3595.0,1267.5753424657537,2022,eaglei_outages_2022_merged.csv,91.25
25009,Massachusetts,Essex,2018-03-08 03:15:00,91.0,401.0,112655.0,41379.40384615384,2018,eaglei_outages_2018_merged.csv,91.0
25027,Massachusetts,Worcester,2019-10-17 03:00:00,90.5,254.0,15354.0,3952.201657458564,2019,eaglei_outages_2019_merged.csv,90.5
25021,Massachusetts,Norfolk,2018-03-02 10:30:00,86.5,421.0,68310.0,28823.30346820809,2018,eaglei_outages_2018_merged.csv,86.5
25009,Massachusetts,Essex,2019-10-17 03:15:00,83.25,227.0,54383.0,14927.243243243243,2019,eaglei_outages_2019_merged.csv,83.25
25013,Massachusetts,Hampden,2022-11-07 09:00:00,82.75,1223.0,1300.0,1236.4380664652567,2022,eaglei_outages_2022_merged.csv,82.75
25015,Massachusetts,Hampshire,2020-08-04 18:45:00,81.5,219.0,13422.0,4376.141104294478,2020,eaglei_outages_2020_merged.csv,81.5
25001,Massachusetts,Barnstable,2018-03-02 15:30:00,81.0,628.0,103060.0,43925.53703703704,2018,eaglei_outages_2018_merged.csv,81.0
25023,Massachusetts,Plymouth,2018-03-02 16:30:00,80.5,746.0,141383.0,81647.73913043478,2018,eaglei_outages_2018_merged.csv,80.5
25027,Massachusetts,Worcester,2020-08-04 19:15:00,80.25,313.0,70225.0,19529.01557632399,2020,eaglei_outages_2020_merged.csv,80.25
25005,Massachusetts,Bristol,2018-03-02 17:00:00,80.0,251.0,71353.0,35489.978125,2018,eaglei_outages_2018_merged.csv,80.0
25023,Massachusetts,Plymouth,2021-10-28 20:30:00,79.0,210.0,125477.0,42764.65189873418,2021,eaglei_outages_2021_merged.csv,79.0
25027,Massachusetts,Worcester,2020-10-07 21:30:00,78.5,209.0,44540.0,11614.675159235669,2020,eaglei_outages_2020_merged.csv,78.5
25021,Massachusetts,Norfolk,2018-03-08 00:30:00,77.25,210.0,32225.0,7853.236245954693,2018,eaglei_outages_2018_merged.csv,77.25
25003,Massachusetts,Berkshire,2020-08-04 19:15:00,76.75,209.0,19280.0,5214.99674267101,2020,eaglei_outages_2020_merged.csv,76.75
25005,Massachusetts,Bristol,2017-10-30 02:15:00,74.5,214.0,37579.0,11788.70134228188,2017,eaglei_outages_2017_merged.csv,74.5
25023,Massachusetts,Plymouth,2017-10-30 02:30:00,74.25,204.0,49456.0,15121.003367003366,2017,eaglei_outages_2017_merged.csv,74.25
25001,Massachusetts,Barnstable,2021-10-28 20:30:00,72.0,256.0,92294.0,25893.125,2021,eaglei_outages_2021_merged.csv,72.0
25013,Massachusetts,Hampden,2022-01-31 13:15:00,71.75,221.0,250.0,225.93031358885017,2022,eaglei_outages_2022_merged.csv,71.75
