fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
26125,Michigan,Oakland,2023-02-22 21:30:00,370.25,208.0,142457.0,36508.80553679946,2023,eaglei_outages_2023_merged.csv,370.25
26163,Michigan,Wayne,2023-02-22 17:45:00,366.75,216.0,311048.0,70371.38445807771,2023,eaglei_outages_2023_merged.csv,366.75
26163,Michigan,Wayne,2023-05-11 13:45:00,289.25,240.0,1431.0,542.6707000864304,2023,eaglei_outages_2023_merged.csv,289.25
26163,Michigan,Wayne,2021-08-19 00:45:00,262.25,200.0,17012.0,3632.2602478551,2021,eaglei_outages_2021_merged.csv,262.25
26115,Michigan,Monroe,2023-02-22 21:00:00,212.75,201.0,31789.0,10718.714453584018,2023,eaglei_outages_2023_merged.csv,212.75
26163,Michigan,Wayne,2023-07-25 14:30:00,211.75,213.0,106173.0,21282.03896103896,2023,eaglei_outages_2023_merged.csv,211.75
26163,Michigan,Wayne,2021-09-20 12:30:00,199.25,221.0,42268.0,11990.299874529486,2021,eaglei_outages_2021_merged.csv,199.25
26161,Michigan,Washtenaw,2023-02-22 21:15:00,198.5,228.0,79028.0,30134.57808564232,2023,eaglei_outages_2023_merged.csv,198.5
26099,Michigan,Macomb,2023-05-11 16:15:00,193.25,202.0,6189.0,562.8939197930142,2023,eaglei_outages_2023_merged.csv,193.25
26099,Michigan,Macomb,2023-02-22 21:30:00,188.0,213.0,81946.0,19913.12234042553,2023,eaglei_outages_2023_merged.csv,188.0
26149,Michigan,St. Joseph,2021-08-11 03:00:00,186.25,205.0,13700.0,5466.014765100671,2021,eaglei_outages_2021_merged.csv,186.25
26163,Michigan,Wayne,2023-08-23 16:15:00,176.25,224.0,120526.0,25308.921985815603,2023,eaglei_outages_2023_merged.csv,176.25
26093,Michigan,Livingston,2023-02-22 23:30:00,169.25,214.0,21985.0,7434.249630723782,2023,eaglei_outages_2023_merged.csv,169.25
26125,Michigan,Oakland,2023-03-13 22:15:00,163.0,213.0,13097.0,1385.0613496932515,2023,eaglei_outages_2023_merged.csv,163.0
26093,Michigan,Livingston,2023-08-24 05:45:00,160.75,219.0,29698.0,11670.345256609642,2023,eaglei_outages_2023_merged.csv,160.75
26125,Michigan,Oakland,2023-08-24 05:00:00,158.75,206.0,54618.0,12308.977952755906,2023,eaglei_outages_2023_merged.csv,158.75
26163,Michigan,Wayne,2021-12-11 07:45:00,156.75,209.0,68839.0,16459.666666666668,2021,eaglei_outages_2021_merged.csv,156.75
26163,Michigan,Wayne,2023-03-16 11:00:00,153.5,221.0,9648.0,1070.558631921824,2023,eaglei_outages_2023_merged.csv,153.5
26065,Michigan,Ingham,2023-08-24 09:45:00,152.75,215.0,53778.0,18507.14075286416,2023,eaglei_outages_2023_merged.csv,152.75
26115,Michigan,Monroe,2023-08-24 04:45:00,143.0,212.0,13998.0,4315.076923076923,2023,eaglei_outages_2023_merged.csv,143.0
26025,Michigan,Calhoun,2021-08-12 20:45:00,141.25,217.0,8793.0,3779.23185840708,2021,eaglei_outages_2021_merged.csv,141.25
26059,Michigan,Hillsdale,2021-08-12 20:45:00,139.75,229.0,13659.0,7616.745974955277,2021,eaglei_outages_2021_merged.csv,139.75
26067,Michigan,Ionia,2019-02-06 07:30:00,134.5,204.0,14143.0,7311.408921933085,2019,eaglei_outages_2019_merged.csv,134.5
26023,Michigan,Branch,2021-08-12 20:45:00,134.0,211.0,12027.0,6259.199626865671,2021,eaglei_outages_2021_merged.csv,134.0
26027,Michigan,Cass,2018-08-02 23:15:00,130.75,250.0,1134.0,357.93307839388143,2018,eaglei_outages_2018_merged.csv,130.75
26023,Michigan,Branch,2020-06-10 19:45:00,130.75,384.0,6767.0,3750.342256214149,2020,eaglei_outages_2020_merged.csv,130.75
26161,Michigan,Washtenaw,2023-08-24 06:30:00,130.0,205.0,34455.0,10197.221153846154,2023,eaglei_outages_2023_merged.csv,130.0
26045,Michigan,Eaton,2023-08-25 01:15:00,128.0,211.0,21375.0,11980.474609375,2023,eaglei_outages_2023_merged.csv,128.0
26161,Michigan,Washtenaw,2021-08-12 13:30:00,127.5,365.0,68416.0,32082.998039215687,2021,eaglei_outages_2021_merged.csv,127.5
26091,Michigan,Lenawee,2023-02-22 20:15:00,125.5,302.0,33294.0,22669.884462151396,2023,eaglei_outages_2023_merged.csv,125.5
