fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
28157,Mississippi,Wilkinson,2020-02-03 08:30:00,399.75,218.0,462.0,225.6078799249531,2020,eaglei_outages_2020_merged.csv,399.75
28157,Mississippi,Wilkinson,2020-01-20 19:00:00,325.25,218.0,290.0,222.58339738662568,2020,eaglei_outages_2020_merged.csv,325.25
28005,Mississippi,Amite,2021-08-30 00:45:00,205.0,211.0,7415.0,1995.6756097560976,2021,eaglei_outages_2021_merged.csv,205.0
28157,Mississippi,Wilkinson,2020-02-24 08:30:00,197.75,218.0,457.0,225.47787610619469,2020,eaglei_outages_2020_merged.csv,197.75
28049,Mississippi,Hinds,2023-06-16 10:00:00,177.75,216.0,35551.0,14308.70464135021,2023,eaglei_outages_2023_merged.csv,177.75
28113,Mississippi,Pike,2021-08-30 19:00:00,173.5,234.0,12148.0,3718.6397694524494,2021,eaglei_outages_2021_merged.csv,173.5
28157,Mississippi,Wilkinson,2020-10-10 00:30:00,165.0,204.0,6547.0,2674.457575757576,2020,eaglei_outages_2020_merged.csv,165.0
28149,Mississippi,Warren,2023-06-16 09:45:00,148.5,220.0,10297.0,3878.703703703704,2023,eaglei_outages_2023_merged.csv,148.5
28001,Mississippi,Adams,2020-10-10 01:45:00,140.75,200.0,10574.0,3420.840142095915,2020,eaglei_outages_2020_merged.csv,140.75
28063,Mississippi,Jefferson,2020-10-10 01:45:00,134.75,200.0,4396.0,1401.5250463821892,2020,eaglei_outages_2020_merged.csv,134.75
28157,Mississippi,Wilkinson,2021-04-03 09:15:00,127.75,205.0,772.0,244.98238747553816,2021,eaglei_outages_2021_merged.csv,127.75
28001,Mississippi,Adams,2021-02-18 15:30:00,123.0,279.0,11766.0,4719.861788617886,2021,eaglei_outages_2021_merged.csv,123.0
28029,Mississippi,Copiah,2021-02-18 15:30:00,123.0,945.0,11948.0,5277.247967479675,2021,eaglei_outages_2021_merged.csv,123.0
28049,Mississippi,Hinds,2021-02-18 15:30:00,123.0,683.0,32217.0,10459.569105691056,2021,eaglei_outages_2021_merged.csv,123.0
28007,Mississippi,Attala,2023-06-15 19:15:00,121.5,204.0,2924.0,1368.0041152263375,2023,eaglei_outages_2023_merged.csv,121.5
28045,Mississippi,Hancock,2020-10-28 22:30:00,120.5,1774.0,20924.0,9341.819502074688,2020,eaglei_outages_2020_merged.csv,120.5
28047,Mississippi,Harrison,2020-10-28 23:00:00,120.0,423.0,97348.0,43171.26875,2020,eaglei_outages_2020_merged.csv,120.0
28059,Mississippi,Jackson,2020-10-28 23:00:00,120.0,2068.0,54222.0,20053.44583333333,2020,eaglei_outages_2020_merged.csv,120.0
28039,Mississippi,George,2020-10-29 00:00:00,119.0,1198.0,14673.0,9833.92857142857,2020,eaglei_outages_2020_merged.csv,119.0
28037,Mississippi,Franklin,2020-10-10 03:00:00,118.5,262.0,7470.0,2327.831223628692,2020,eaglei_outages_2020_merged.csv,118.5
28041,Mississippi,Greene,2020-10-29 00:45:00,118.25,380.0,6467.0,4579.319238900634,2020,eaglei_outages_2020_merged.csv,118.25
28157,Mississippi,Wilkinson,2021-08-30 00:00:00,116.5,214.0,4140.0,1812.5450643776824,2021,eaglei_outages_2021_merged.csv,116.5
28089,Mississippi,Madison,2023-06-15 19:15:00,116.25,203.0,16661.0,3739.81935483871,2023,eaglei_outages_2023_merged.csv,116.25
28021,Mississippi,Claiborne,2020-10-10 03:45:00,115.75,211.0,3695.0,1845.451403887689,2020,eaglei_outages_2020_merged.csv,115.75
28051,Mississippi,Holmes,2023-06-15 19:15:00,114.75,201.0,3296.0,1184.4030501089326,2023,eaglei_outages_2023_merged.csv,114.75
28039,Mississippi,George,2020-11-02 23:15:00,112.25,819.0,5380.0,2730.819599109132,2020,eaglei_outages_2020_merged.csv,112.25
28041,Mississippi,Greene,2020-11-02 23:15:00,112.25,216.0,2670.0,1437.797327394209,2020,eaglei_outages_2020_merged.csv,112.25
28059,Mississippi,Jackson,2020-11-02 23:15:00,112.25,281.0,4372.0,1051.6770601336302,2020,eaglei_outages_2020_merged.csv,112.25
28127,Mississippi,Simpson,2023-06-16 10:30:00,111.0,203.0,8287.0,3172.222972972973,2023,eaglei_outages_2023_merged.csv,111.0
28061,Mississippi,Jasper,2023-06-16 11:30:00,107.5,228.0,5977.0,1203.1279069767445,2023,eaglei_outages_2023_merged.csv,107.5
