fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
29510,Missouri,St. Louis,2023-06-30 23:30:00,147.0,203.0,83685.0,29301.006802721087,2023,eaglei_outages_2023_merged.csv,147.0
29510,Missouri,St. Louis,2023-07-12 23:15:00,137.0,202.0,25615.0,5689.739051094891,2023,eaglei_outages_2023_merged.csv,137.0
29095,Missouri,Jackson,2019-01-12 16:45:00,119.25,205.0,66817.0,20882.079664570232,2019,eaglei_outages_2019_merged.csv,119.25
29225,Missouri,Webster,2023-07-19 14:30:00,117.0,399.0,1370.0,914.7606837606836,2023,eaglei_outages_2023_merged.csv,117.0
29109,Missouri,Lawrence,2023-07-31 04:00:00,105.5,462.0,6473.0,2939.187203791469,2023,eaglei_outages_2023_merged.csv,105.5
29077,Missouri,Greene,2023-07-31 04:15:00,104.25,217.0,13748.0,2717.3525179856115,2023,eaglei_outages_2023_merged.csv,104.25
29043,Missouri,Christian,2023-07-31 07:15:00,102.25,908.0,16187.0,5343.645476772616,2023,eaglei_outages_2023_merged.csv,102.25
29213,Missouri,Taney,2023-07-31 07:15:00,101.25,200.0,11001.0,4389.891358024692,2023,eaglei_outages_2023_merged.csv,101.25
29095,Missouri,Jackson,2023-07-14 21:15:00,97.25,205.0,53467.0,11419.213367609254,2023,eaglei_outages_2023_merged.csv,97.25
29510,Missouri,St. Louis,2021-07-10 02:45:00,89.75,201.0,40765.0,13912.030640668523,2021,eaglei_outages_2021_merged.csv,89.75
29095,Missouri,Jackson,2017-06-17 05:00:00,85.5,218.0,39898.0,9686.93567251462,2017,eaglei_outages_2017_merged.csv,85.5
29037,Missouri,Cass,2019-01-12 16:45:00,82.75,221.0,6318.0,2692.087613293051,2019,eaglei_outages_2019_merged.csv,82.75
29095,Missouri,Jackson,2017-07-23 02:15:00,78.75,207.0,60214.0,13793.403174603174,2017,eaglei_outages_2017_merged.csv,78.75
29510,Missouri,St. Louis,2021-08-12 16:45:00,74.5,245.0,69559.0,15658.989932885906,2021,eaglei_outages_2021_merged.csv,74.5
29099,Missouri,Jefferson,2023-06-30 21:45:00,71.0,242.0,5749.0,1742.2359154929577,2023,eaglei_outages_2023_merged.csv,71.0
29225,Missouri,Webster,2022-09-16 20:15:00,70.0,562.0,567.0,562.1642857142857,2022,eaglei_outages_2022_merged.csv,70.0
29225,Missouri,Webster,2023-09-02 14:15:00,69.5,474.0,474.0,474.0,2023,eaglei_outages_2023_merged.csv,69.5
29065,Missouri,Dent,2017-05-27 21:45:00,69.0,244.0,2960.0,1461.0760869565215,2017,eaglei_outages_2017_merged.csv,69.0
29225,Missouri,Webster,2023-02-03 16:15:00,68.5,355.0,571.0,559.8394160583941,2023,eaglei_outages_2023_merged.csv,68.5
29047,Missouri,Clay,2023-07-14 21:30:00,68.5,202.0,11424.0,2830.007299270073,2023,eaglei_outages_2023_merged.csv,68.5
29510,Missouri,St. Louis,2021-06-19 06:45:00,67.5,236.0,17892.0,5528.174074074074,2021,eaglei_outages_2021_merged.csv,67.5
29225,Missouri,Webster,2023-05-12 16:30:00,67.0,309.0,566.0,565.0410447761194,2023,eaglei_outages_2023_merged.csv,67.0
29510,Missouri,St. Louis,2020-08-10 22:30:00,66.25,202.0,44212.0,10543.649056603774,2020,eaglei_outages_2020_merged.csv,66.25
29203,Missouri,Shannon,2023-01-25 23:30:00,66.25,219.0,2906.0,1363.1735849056604,2023,eaglei_outages_2023_merged.csv,66.25
29225,Missouri,Webster,2023-11-17 19:30:00,65.5,240.0,240.0,240.0,2023,eaglei_outages_2023_merged.csv,65.5
29051,Missouri,Cole,2019-05-23 04:15:00,65.25,200.0,13018.0,2423.793103448276,2019,eaglei_outages_2019_merged.csv,65.25
29047,Missouri,Clay,2017-06-18 02:15:00,64.75,239.0,20929.0,5365.528957528957,2017,eaglei_outages_2017_merged.csv,64.75
29149,Missouri,Oregon,2023-01-25 23:30:00,64.75,218.0,3447.0,1621.571428571429,2023,eaglei_outages_2023_merged.csv,64.75
29047,Missouri,Clay,2017-07-23 03:30:00,64.25,200.0,17679.0,3727.2217898832687,2017,eaglei_outages_2017_merged.csv,64.25
29091,Missouri,Howell,2023-01-25 23:30:00,63.25,210.0,5156.0,2355.584980237154,2023,eaglei_outages_2023_merged.csv,63.25
