fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
33001,New Hampshire,Belknap,2022-12-23 09:45:00,206.25,256.0,19985.0,2759.5127272727277,2022,eaglei_outages_2022_merged.csv,206.25
33001,New Hampshire,Belknap,2023-01-01 00:00:00,183.25,270.0,599.0,409.90040927694406,2023,eaglei_outages_2023_merged.csv,183.25
33015,New Hampshire,Rockingham,2017-10-30 03:00:00,116.0,205.0,80811.0,19009.46120689655,2017,eaglei_outages_2017_merged.csv,116.0
33013,New Hampshire,Merrimack,2017-10-30 00:00:00,115.0,202.0,37350.0,8917.404347826086,2017,eaglei_outages_2017_merged.csv,115.0
33007,New Hampshire,Coos,2017-10-30 06:15:00,114.0,230.0,8259.0,3847.355263157895,2017,eaglei_outages_2017_merged.csv,114.0
33009,New Hampshire,Grafton,2017-10-30 05:45:00,112.25,231.0,11415.0,4321.080178173719,2017,eaglei_outages_2017_merged.csv,112.25
33001,New Hampshire,Belknap,2017-10-30 03:45:00,111.75,206.0,20394.0,8982.306487695749,2017,eaglei_outages_2017_merged.csv,111.75
33017,New Hampshire,Strafford,2017-10-30 02:15:00,111.25,204.0,29633.0,8168.507865168539,2017,eaglei_outages_2017_merged.csv,111.25
33003,New Hampshire,Carroll,2017-10-30 05:45:00,100.0,200.0,13028.0,4704.5725,2017,eaglei_outages_2017_merged.csv,100.0
33003,New Hampshire,Carroll,2022-12-23 13:30:00,98.75,222.0,9178.0,2276.5569620253164,2022,eaglei_outages_2022_merged.csv,98.75
33013,New Hampshire,Merrimack,2014-11-26 19:45:00,97.0,344.0,61747.0,23250.703608247422,2014,eaglei_outages_2014_merged.csv,97.0
33011,New Hampshire,Hillsborough,2017-10-30 01:15:00,95.0,200.0,58016.0,15616.634210526316,2017,eaglei_outages_2017_merged.csv,95.0
33019,New Hampshire,Sullivan,2017-10-30 04:15:00,90.5,219.0,5190.0,1884.1519337016573,2017,eaglei_outages_2017_merged.csv,90.5
33009,New Hampshire,Grafton,2022-12-23 07:45:00,90.25,224.0,9802.0,3519.207756232687,2022,eaglei_outages_2022_merged.csv,90.25
33011,New Hampshire,Hillsborough,2023-03-14 05:30:00,86.0,200.0,29343.0,13107.273255813954,2023,eaglei_outages_2023_merged.csv,86.0
33015,New Hampshire,Rockingham,2022-12-23 08:15:00,82.25,247.0,35505.0,7750.51367781155,2022,eaglei_outages_2022_merged.csv,82.25
33005,New Hampshire,Cheshire,2023-03-14 07:15:00,81.0,206.0,19245.0,8709.003086419752,2023,eaglei_outages_2023_merged.csv,81.0
33011,New Hampshire,Hillsborough,2018-03-08 03:00:00,79.0,202.0,9491.0,3514.3259493670885,2018,eaglei_outages_2018_merged.csv,79.0
33013,New Hampshire,Merrimack,2022-12-23 08:00:00,75.0,207.0,28015.0,6974.956666666667,2022,eaglei_outages_2022_merged.csv,75.0
33005,New Hampshire,Cheshire,2017-10-30 02:00:00,69.75,211.0,4558.0,1712.5985663082438,2017,eaglei_outages_2017_merged.csv,69.75
33003,New Hampshire,Carroll,2020-08-04 22:30:00,69.5,254.0,13723.0,4082.877697841727,2020,eaglei_outages_2020_merged.csv,69.5
33017,New Hampshire,Strafford,2022-12-23 10:15:00,68.75,254.0,17206.0,5253.44,2022,eaglei_outages_2022_merged.csv,68.75
33005,New Hampshire,Cheshire,2023-01-23 02:45:00,68.5,226.0,11380.0,4973.091240875912,2023,eaglei_outages_2023_merged.csv,68.5
33009,New Hampshire,Grafton,2020-08-04 21:30:00,68.25,202.0,11201.0,2980.56043956044,2020,eaglei_outages_2020_merged.csv,68.25
33001,New Hampshire,Belknap,2020-08-04 21:45:00,67.25,221.0,9254.0,1926.0594795539037,2020,eaglei_outages_2020_merged.csv,67.25
33015,New Hampshire,Rockingham,2023-01-23 04:00:00,67.25,514.0,21774.0,6544.442379182156,2023,eaglei_outages_2023_merged.csv,67.25
33015,New Hampshire,Rockingham,2018-03-08 02:30:00,65.0,288.0,29794.0,8265.811538461538,2018,eaglei_outages_2018_merged.csv,65.0
33007,New Hampshire,Coos,2022-12-23 08:30:00,65.0,261.0,6516.0,2368.8,2022,eaglei_outages_2022_merged.csv,65.0
33011,New Hampshire,Hillsborough,2023-01-23 04:00:00,63.0,307.0,22819.0,9662.996031746032,2023,eaglei_outages_2023_merged.csv,63.0
33019,New Hampshire,Sullivan,2023-03-14 07:45:00,62.5,219.0,9262.0,2979.796,2023,eaglei_outages_2023_merged.csv,62.5
