fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
34035,New Jersey,Somerset,2021-09-13 17:00:00,173.0,236.0,2507.0,280.53757225433526,2021,eaglei_outages_2021_merged.csv,173.0
34013,New Jersey,Essex,2020-08-04 16:15:00,170.5,242.0,85509.0,21590.134897360706,2020,eaglei_outages_2020_merged.csv,170.5
34027,New Jersey,Morris,2018-03-06 03:15:00,165.75,200.0,60709.0,18977.546003016592,2018,eaglei_outages_2018_merged.csv,165.75
34035,New Jersey,Somerset,2018-03-06 03:15:00,163.0,219.0,28201.0,8010.713190184049,2018,eaglei_outages_2018_merged.csv,163.0
34031,New Jersey,Passaic,2020-08-04 16:15:00,157.75,285.0,53688.0,18572.719492868466,2020,eaglei_outages_2020_merged.csv,157.75
34003,New Jersey,Bergen,2020-08-04 16:00:00,155.25,207.0,140979.0,47822.62157809984,2020,eaglei_outages_2020_merged.csv,155.25
34025,New Jersey,Monmouth,2020-08-04 14:30:00,154.0,234.0,202864.0,66837.73376623377,2020,eaglei_outages_2020_merged.csv,154.0
34039,New Jersey,Union,2020-08-04 15:30:00,151.5,229.0,77985.0,18053.81683168317,2020,eaglei_outages_2020_merged.csv,151.5
34027,New Jersey,Morris,2020-08-04 15:45:00,151.25,331.0,133793.0,53910.66280991736,2020,eaglei_outages_2020_merged.csv,151.25
34035,New Jersey,Somerset,2020-08-04 15:45:00,147.25,215.0,36937.0,13251.53820033956,2020,eaglei_outages_2020_merged.csv,147.25
34013,New Jersey,Essex,2018-03-07 17:30:00,143.25,215.0,32291.0,8511.514834205933,2018,eaglei_outages_2018_merged.csv,143.25
34019,New Jersey,Hunterdon,2020-08-04 15:15:00,143.0,229.0,27819.0,8761.283216783217,2020,eaglei_outages_2020_merged.csv,143.0
34029,New Jersey,Ocean,2020-08-04 00:15:00,142.75,200.0,216332.0,42452.13485113836,2020,eaglei_outages_2020_merged.csv,142.75
34023,New Jersey,Middlesex,2020-08-04 15:45:00,139.25,208.0,100804.0,22153.220825852783,2020,eaglei_outages_2020_merged.csv,139.25
34019,New Jersey,Hunterdon,2018-03-06 03:15:00,138.0,201.0,11753.0,6187.251811594203,2018,eaglei_outages_2018_merged.csv,138.0
34037,New Jersey,Sussex,2018-03-06 03:15:00,131.5,205.0,12429.0,4582.019011406844,2018,eaglei_outages_2018_merged.csv,131.5
34037,New Jersey,Sussex,2020-08-04 16:00:00,129.0,315.0,29186.0,10967.918604651162,2020,eaglei_outages_2020_merged.csv,129.0
34005,New Jersey,Burlington,2020-08-04 14:00:00,126.0,212.0,93115.0,23995.93849206349,2020,eaglei_outages_2020_merged.csv,126.0
34039,New Jersey,Union,2018-03-07 20:30:00,122.5,211.0,24477.0,10798.208163265306,2018,eaglei_outages_2018_merged.csv,122.5
34003,New Jersey,Bergen,2018-03-07 21:30:00,120.25,208.0,45405.0,9959.43866943867,2018,eaglei_outages_2018_merged.csv,120.25
34023,New Jersey,Middlesex,2018-03-07 18:15:00,119.75,224.0,26861.0,4669.144050104384,2018,eaglei_outages_2018_merged.csv,119.75
34037,New Jersey,Sussex,2019-12-02 00:30:00,118.75,223.0,39284.0,15280.644210526316,2019,eaglei_outages_2019_merged.csv,118.75
34017,New Jersey,Hudson,2020-08-04 17:00:00,116.75,232.0,34050.0,7467.700214132762,2020,eaglei_outages_2020_merged.csv,116.75
34041,New Jersey,Warren,2018-03-06 03:15:00,116.5,200.0,8651.0,3635.50643776824,2018,eaglei_outages_2018_merged.csv,116.5
34041,New Jersey,Warren,2019-12-01 22:00:00,115.75,205.0,6351.0,2410.48596112311,2019,eaglei_outages_2019_merged.csv,115.75
34029,New Jersey,Ocean,2016-04-27 22:15:00,115.5,636.0,656.0,638.2683982683983,2016,eaglei_outages_2016_merged.csv,115.5
34001,New Jersey,Atlantic,2020-08-04 14:00:00,111.75,203.0,57544.0,13383.263982102908,2020,eaglei_outages_2020_merged.csv,111.75
34021,New Jersey,Mercer,2020-08-04 15:15:00,106.0,202.0,51105.0,15880.89858490566,2020,eaglei_outages_2020_merged.csv,106.0
34015,New Jersey,Gloucester,2020-08-04 14:00:00,105.25,203.0,19681.0,2811.745843230404,2020,eaglei_outages_2020_merged.csv,105.25
34009,New Jersey,Cape May,2020-08-04 13:15:00,103.5,207.0,26404.0,7136.707729468599,2020,eaglei_outages_2020_merged.csv,103.5
