fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
37047,North Carolina,Columbus,2016-10-08 22:30:00,280.25,221.0,28403.0,6046.991971454059,2016,eaglei_outages_2016_merged.csv,280.25
37129,North Carolina,New Hanover,2018-09-16 10:30:00,252.5,200.0,104279.0,27516.039603960395,2018,eaglei_outages_2018_merged.csv,252.5
37019,North Carolina,Brunswick,2018-09-15 04:00:00,230.75,1457.0,85376.0,22772.65005417118,2018,eaglei_outages_2018_merged.csv,230.75
37047,North Carolina,Columbus,2018-09-15 04:00:00,227.75,376.0,28889.0,8401.51262349067,2018,eaglei_outages_2018_merged.csv,227.75
37155,North Carolina,Robeson,2016-10-08 22:30:00,214.5,287.0,43321.0,18226.14452214452,2016,eaglei_outages_2016_merged.csv,214.5
37155,North Carolina,Robeson,2018-09-15 04:00:00,207.25,233.0,35665.0,13795.4451145959,2018,eaglei_outages_2018_merged.csv,207.25
37141,North Carolina,Pender,2018-09-15 04:00:00,194.0,202.0,20660.0,10755.32087628866,2018,eaglei_outages_2018_merged.csv,194.0
37191,North Carolina,Wayne,2016-10-08 22:30:00,188.5,214.0,27873.0,7779.184350132626,2016,eaglei_outages_2016_merged.csv,188.5
37049,North Carolina,Craven,2018-09-15 04:00:00,185.0,328.0,16642.0,8415.41081081081,2018,eaglei_outages_2018_merged.csv,185.0
37103,North Carolina,Jones,2018-09-15 04:00:00,184.5,273.0,4309.0,2758.59891598916,2018,eaglei_outages_2018_merged.csv,184.5
37133,North Carolina,Onslow,2018-09-15 04:00:00,178.0,202.0,71864.0,32697.28511235955,2018,eaglei_outages_2018_merged.csv,178.0
37153,North Carolina,Richmond,2018-09-15 04:00:00,168.25,266.0,18446.0,3793.332838038633,2018,eaglei_outages_2018_merged.csv,168.25
37013,North Carolina,Beaufort,2018-09-15 04:00:00,162.75,202.0,7573.0,2924.1013824884794,2018,eaglei_outages_2018_merged.csv,162.75
37031,North Carolina,Carteret,2018-09-16 10:30:00,162.25,223.0,24637.0,11877.765793528506,2018,eaglei_outages_2018_merged.csv,162.25
37061,North Carolina,Duplin,2018-09-15 04:00:00,159.5,236.0,12989.0,7598.952978056426,2018,eaglei_outages_2018_merged.csv,159.5
37137,North Carolina,Pamlico,2018-09-15 04:00:00,159.5,206.0,10719.0,4893.396551724138,2018,eaglei_outages_2018_merged.csv,159.5
37147,North Carolina,Pitt,2022-06-22 13:15:00,152.5,565.0,969.0,571.932786885246,2022,eaglei_outages_2022_merged.csv,152.5
37125,North Carolina,Moore,2016-10-08 22:30:00,142.5,313.0,20868.0,8049.078947368421,2016,eaglei_outages_2016_merged.csv,142.5
37107,North Carolina,Lenoir,2016-10-08 22:30:00,141.25,289.0,10490.0,3913.3964601769912,2016,eaglei_outages_2016_merged.csv,141.25
37093,North Carolina,Hoke,2016-10-08 22:30:00,141.0,203.0,5189.0,2074.531914893617,2016,eaglei_outages_2016_merged.csv,141.0
37165,North Carolina,Scotland,2018-09-15 04:00:00,138.75,283.0,10690.0,5439.744144144144,2018,eaglei_outages_2018_merged.csv,138.75
37147,North Carolina,Pitt,2016-10-08 23:30:00,138.25,989.0,2907.0,1645.6708860759493,2016,eaglei_outages_2016_merged.csv,138.25
37051,North Carolina,Cumberland,2018-09-15 04:00:00,134.75,252.0,35970.0,11757.270871985158,2018,eaglei_outages_2018_merged.csv,134.75
37093,North Carolina,Hoke,2018-09-15 04:00:00,131.5,200.0,10102.0,4723.511406844106,2018,eaglei_outages_2018_merged.csv,131.5
37125,North Carolina,Moore,2018-09-15 04:00:00,129.25,200.0,27985.0,10573.471953578335,2018,eaglei_outages_2018_merged.csv,129.25
37081,North Carolina,Guilford,2018-10-11 18:30:00,126.75,273.0,95814.0,41947.06903353057,2018,eaglei_outages_2018_merged.csv,126.75
37085,North Carolina,Harnett,2016-10-08 22:30:00,126.25,421.0,29527.0,12563.966336633664,2016,eaglei_outages_2016_merged.csv,126.25
37081,North Carolina,Guilford,2019-10-15 17:15:00,125.5,1645.0,1719.0,1718.699203187251,2019,eaglei_outages_2019_merged.csv,125.5
37191,North Carolina,Wayne,2019-10-15 17:30:00,125.25,376.0,1906.0,430.626746506986,2019,eaglei_outages_2019_merged.csv,125.25
37157,North Carolina,Rockingham,2018-10-11 18:30:00,124.5,253.0,33309.0,14589.401606425705,2018,eaglei_outages_2018_merged.csv,124.5
