fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
39169,Ohio,Wayne,2022-06-14 04:00:00,186.75,215.0,11252.0,4505.5341365461845,2022,eaglei_outages_2022_merged.csv,186.75
39075,Ohio,Holmes,2022-06-14 04:00:00,180.25,201.0,11833.0,5423.090152565881,2022,eaglei_outages_2022_merged.csv,180.25
39073,Ohio,Hocking,2022-02-03 17:00:00,170.5,252.0,13677.0,5062.139296187684,2022,eaglei_outages_2022_merged.csv,170.5
39139,Ohio,Richland,2022-06-14 03:30:00,163.0,202.0,28231.0,9228.567484662575,2022,eaglei_outages_2022_merged.csv,163.0
39081,Ohio,Jefferson,2015-03-08 07:00:00,153.75,420.0,420.0,420.0,2015,eaglei_outages_2015_merged.csv,153.75
39049,Ohio,Franklin,2016-01-06 09:00:00,151.5,315.0,13995.0,930.5379537953796,2016,eaglei_outages_2016_merged.csv,151.5
39035,Ohio,Cuyahoga,2023-08-23 23:30:00,144.0,203.0,70828.0,15040.034722222224,2023,eaglei_outages_2023_merged.csv,144.0
39083,Ohio,Knox,2022-06-14 03:30:00,139.5,211.0,21067.0,7583.781362007168,2022,eaglei_outages_2022_merged.csv,139.5
39005,Ohio,Ashland,2022-06-14 03:45:00,139.0,201.0,15238.0,4191.5665467625895,2022,eaglei_outages_2022_merged.csv,139.0
39081,Ohio,Jefferson,2015-03-01 02:30:00,137.0,420.0,420.0,420.0,2015,eaglei_outages_2015_merged.csv,137.0
39117,Ohio,Morrow,2022-06-14 03:30:00,135.5,285.0,16030.0,4359.915129151292,2022,eaglei_outages_2022_merged.csv,135.5
39045,Ohio,Fairfield,2022-02-03 17:15:00,128.25,216.0,5117.0,1545.6861598440546,2022,eaglei_outages_2022_merged.csv,128.25
39085,Ohio,Lake,2023-08-25 04:15:00,113.5,216.0,38886.0,11167.735682819382,2023,eaglei_outages_2023_merged.csv,113.5
39067,Ohio,Harrison,2022-06-14 04:45:00,113.25,301.0,3042.0,1033.894039735099,2022,eaglei_outages_2022_merged.csv,113.25
39031,Ohio,Coshocton,2022-06-14 04:00:00,112.75,200.0,7586.0,2878.026607538802,2022,eaglei_outages_2022_merged.csv,112.75
39157,Ohio,Tuscarawas,2022-06-14 04:45:00,112.75,423.0,18230.0,5526.4190687361415,2022,eaglei_outages_2022_merged.csv,112.75
39055,Ohio,Geauga,2023-08-25 04:45:00,111.25,229.0,24782.0,7364.029213483146,2023,eaglei_outages_2023_merged.csv,111.25
39099,Ohio,Mahoning,2023-03-25 11:00:00,109.75,216.0,28687.0,6611.649202733485,2023,eaglei_outages_2023_merged.csv,109.75
39035,Ohio,Cuyahoga,2019-09-13 17:45:00,106.75,253.0,41555.0,9824.423887587822,2019,eaglei_outages_2019_merged.csv,106.75
39155,Ohio,Trumbull,2023-03-25 18:30:00,106.5,200.0,46751.0,9888.326291079811,2023,eaglei_outages_2023_merged.csv,106.5
39087,Ohio,Lawrence,2021-02-18 15:30:00,103.25,480.0,10367.0,5729.648910411623,2021,eaglei_outages_2021_merged.csv,103.25
39127,Ohio,Perry,2022-02-03 18:00:00,102.25,218.0,6062.0,3192.80684596577,2022,eaglei_outages_2022_merged.csv,102.25
39095,Ohio,Lucas,2023-06-15 22:45:00,101.0,202.0,9033.0,3675.7574257425754,2023,eaglei_outages_2023_merged.csv,101.0
39013,Ohio,Belmont,2022-02-03 19:45:00,98.75,299.0,17291.0,6362.0582278481015,2022,eaglei_outages_2022_merged.csv,98.75
39141,Ohio,Ross,2022-02-03 18:15:00,98.25,206.0,5935.0,2715.384223918575,2022,eaglei_outages_2022_merged.csv,98.25
39035,Ohio,Cuyahoga,2021-08-11 21:15:00,98.0,350.0,68713.0,15979.617346938776,2021,eaglei_outages_2021_merged.csv,98.0
39155,Ohio,Trumbull,2023-04-01 17:30:00,98.0,331.0,30366.0,7090.178571428572,2023,eaglei_outages_2023_merged.csv,98.0
39007,Ohio,Ashtabula,2023-03-25 18:45:00,96.0,229.0,19258.0,4640.950520833333,2023,eaglei_outages_2023_merged.csv,96.0
39133,Ohio,Portage,2023-08-25 04:45:00,93.25,240.0,31116.0,9093.447721179624,2023,eaglei_outages_2023_merged.csv,93.25
39035,Ohio,Cuyahoga,2020-12-01 05:45:00,92.5,200.0,49804.0,9449.621621621622,2020,eaglei_outages_2020_merged.csv,92.5
