fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
41039,Oregon,Lane,2020-09-08 03:30:00,563.0,264.0,14159.0,2458.5932504440498,2020,eaglei_outages_2020_merged.csv,563.0
41043,Oregon,Linn,2020-09-08 01:45:00,496.75,252.0,15795.0,1110.2113739305485,2020,eaglei_outages_2020_merged.csv,496.75
41005,Oregon,Clackamas,2020-04-23 20:30:00,338.75,1877.0,3421.0,1890.3741697416972,2020,eaglei_outages_2020_merged.csv,338.75
41051,Oregon,Multnomah,2017-06-23 15:30:00,288.0,204.0,2950.0,403.3098958333333,2017,eaglei_outages_2017_merged.csv,288.0
41051,Oregon,Multnomah,2019-05-18 02:00:00,266.0,253.0,8530.0,476.2001879699248,2019,eaglei_outages_2019_merged.csv,266.0
41017,Oregon,Deschutes,2020-09-08 03:30:00,266.0,324.0,551.0,338.5563909774436,2020,eaglei_outages_2020_merged.csv,266.0
41051,Oregon,Multnomah,2019-05-29 04:15:00,259.75,253.0,3457.0,332.609239653513,2019,eaglei_outages_2019_merged.csv,259.75
41051,Oregon,Multnomah,2019-06-09 19:15:00,259.5,253.0,2670.0,323.1387283236994,2019,eaglei_outages_2019_merged.csv,259.5
41019,Oregon,Douglas,2020-09-08 04:15:00,231.25,209.0,7798.0,910.8854054054054,2020,eaglei_outages_2020_merged.csv,231.25
41029,Oregon,Jackson,2020-09-08 16:15:00,229.0,200.0,23628.0,7482.146288209607,2020,eaglei_outages_2020_merged.csv,229.0
41047,Oregon,Marion,2020-09-08 01:30:00,202.5,574.0,9076.0,2775.9234567901235,2020,eaglei_outages_2020_merged.csv,202.5
41019,Oregon,Douglas,2019-02-25 00:45:00,194.0,201.0,34370.0,10755.529639175258,2019,eaglei_outages_2019_merged.csv,194.0
41051,Oregon,Multnomah,2020-08-03 22:00:00,164.0,291.0,3129.0,496.657012195122,2020,eaglei_outages_2020_merged.csv,164.0
41047,Oregon,Marion,2021-02-12 11:15:00,148.0,223.0,117645.0,63543.29560810811,2021,eaglei_outages_2021_merged.csv,148.0
41005,Oregon,Clackamas,2020-05-07 23:30:00,143.75,1874.0,7454.0,2111.965217391304,2020,eaglei_outages_2020_merged.csv,143.75
41043,Oregon,Linn,2021-02-12 15:30:00,143.75,262.0,10502.0,3022.062608695652,2021,eaglei_outages_2021_merged.csv,143.75
41005,Oregon,Clackamas,2021-02-12 15:45:00,143.5,300.0,104608.0,71212.42160278745,2021,eaglei_outages_2021_merged.csv,143.5
41005,Oregon,Clackamas,2020-09-10 00:30:00,141.75,315.0,20934.0,10683.167548500882,2020,eaglei_outages_2020_merged.csv,141.75
41053,Oregon,Polk,2021-02-12 21:45:00,137.5,227.0,23943.0,8170.841818181818,2021,eaglei_outages_2021_merged.csv,137.5
41051,Oregon,Multnomah,2021-02-13 01:45:00,133.5,1580.0,125115.0,42354.43445692884,2021,eaglei_outages_2021_merged.csv,133.5
41067,Oregon,Washington,2021-02-13 02:45:00,132.5,250.0,29747.0,6257.662264150943,2021,eaglei_outages_2021_merged.csv,132.5
41071,Oregon,Yamhill,2021-02-13 02:45:00,132.5,270.0,9175.0,5666.943396226415,2021,eaglei_outages_2021_merged.csv,132.5
41051,Oregon,Multnomah,2017-08-31 15:30:00,126.25,210.0,3389.0,677.0336633663367,2017,eaglei_outages_2017_merged.csv,126.25
41051,Oregon,Multnomah,2019-06-20 15:00:00,123.75,253.0,758.0,284.1010101010101,2019,eaglei_outages_2019_merged.csv,123.75
41067,Oregon,Washington,2016-02-24 18:30:00,116.5,241.0,420.0,247.450643776824,2016,eaglei_outages_2016_merged.csv,116.5
41051,Oregon,Multnomah,2019-05-08 13:15:00,116.0,253.0,363.0,277.3965517241379,2019,eaglei_outages_2019_merged.csv,116.0
41005,Oregon,Clackamas,2021-01-13 06:30:00,113.25,268.0,36724.0,7956.152317880795,2021,eaglei_outages_2021_merged.csv,113.25
41033,Oregon,Josephine,2020-01-16 07:45:00,111.5,207.0,10816.0,3608.217488789237,2020,eaglei_outages_2020_merged.csv,111.5
41051,Oregon,Multnomah,2020-09-10 00:30:00,111.5,269.0,3973.0,1113.609865470852,2020,eaglei_outages_2020_merged.csv,111.5
41051,Oregon,Multnomah,2019-05-13 12:15:00,109.0,253.0,1196.0,328.8761467889908,2019,eaglei_outages_2019_merged.csv,109.0
