fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
44003,Rhode Island,Kent,2017-10-30 00:45:00,116.75,200.0,35199.0,14013.032119914347,2017,eaglei_outages_2017_merged.csv,116.75
44009,Rhode Island,Washington,2017-10-30 01:45:00,114.75,257.0,31357.0,12549.141612200436,2017,eaglei_outages_2017_merged.csv,114.75
44007,Rhode Island,Providence,2017-10-30 01:45:00,113.75,266.0,67995.0,23002.32967032967,2017,eaglei_outages_2017_merged.csv,113.75
44001,Rhode Island,Bristol,2017-10-30 02:00:00,100.5,224.0,17119.0,4852.174129353234,2017,eaglei_outages_2017_merged.csv,100.5
44003,Rhode Island,Kent,2018-03-02 13:15:00,83.25,233.0,31149.0,11116.081081081082,2018,eaglei_outages_2018_merged.csv,83.25
44007,Rhode Island,Providence,2018-03-02 17:00:00,79.5,609.0,64587.0,23130.462264150945,2018,eaglei_outages_2018_merged.csv,79.5
44009,Rhode Island,Washington,2018-03-02 17:15:00,79.25,702.0,37375.0,14809.608832807571,2018,eaglei_outages_2018_merged.csv,79.25
44007,Rhode Island,Providence,2020-08-04 19:30:00,78.5,203.0,84135.0,23340.866242038217,2020,eaglei_outages_2020_merged.csv,78.5
44005,Rhode Island,Newport,2018-03-02 17:15:00,75.25,218.0,6811.0,2174.6345514950167,2018,eaglei_outages_2018_merged.csv,75.25
44001,Rhode Island,Bristol,2018-03-02 17:45:00,69.5,231.0,15400.0,8150.654676258992,2018,eaglei_outages_2018_merged.csv,69.5
44009,Rhode Island,Washington,2021-08-22 12:00:00,68.25,225.0,52955.0,22190.846153846152,2021,eaglei_outages_2021_merged.csv,68.25
44009,Rhode Island,Washington,2020-08-04 20:15:00,68.0,204.0,23070.0,6125.691176470588,2020,eaglei_outages_2020_merged.csv,68.0
44003,Rhode Island,Kent,2020-08-04 19:00:00,64.75,205.0,22186.0,8219.463320463321,2020,eaglei_outages_2020_merged.csv,64.75
44009,Rhode Island,Washington,2019-10-17 06:30:00,63.5,226.0,28220.0,8939.685039370079,2019,eaglei_outages_2019_merged.csv,63.5
44005,Rhode Island,Newport,2017-10-30 03:00:00,60.25,232.0,3869.0,1273.597510373444,2017,eaglei_outages_2017_merged.csv,60.25
44003,Rhode Island,Kent,2021-08-22 14:45:00,55.75,200.0,13682.0,4539.968609865471,2021,eaglei_outages_2021_merged.csv,55.75
44007,Rhode Island,Providence,2016-02-05 21:00:00,51.75,218.0,13802.0,4383.173913043478,2016,eaglei_outages_2016_merged.csv,51.75
44009,Rhode Island,Washington,2020-02-07 19:45:00,51.25,247.0,17120.0,5246.8439024390245,2020,eaglei_outages_2020_merged.csv,51.25
44003,Rhode Island,Kent,2019-10-17 06:30:00,50.0,220.0,2078.0,1189.22,2019,eaglei_outages_2019_merged.csv,50.0
44007,Rhode Island,Providence,2023-12-18 16:15:00,49.75,200.0,22798.0,6125.979899497487,2023,eaglei_outages_2023_merged.csv,49.75
44007,Rhode Island,Providence,2015-08-29 11:00:00,49.0,238.0,7410.0,632.015306122449,2015,eaglei_outages_2015_merged.csv,49.0
44007,Rhode Island,Providence,2019-11-01 00:30:00,48.5,229.0,22592.0,6260.639175257732,2019,eaglei_outages_2019_merged.csv,48.5
44009,Rhode Island,Washington,2016-02-05 21:00:00,47.75,212.0,9526.0,3062.973821989529,2016,eaglei_outages_2016_merged.csv,47.75
44007,Rhode Island,Providence,2018-03-08 01:30:00,47.25,223.0,18952.0,6203.973544973545,2018,eaglei_outages_2018_merged.csv,47.25
44003,Rhode Island,Kent,2016-02-05 21:00:00,46.0,206.0,15245.0,3454.891304347826,2016,eaglei_outages_2016_merged.csv,46.0
44003,Rhode Island,Kent,2015-08-05 13:15:00,41.25,230.0,28427.0,9756.50909090909,2015,eaglei_outages_2015_merged.csv,41.25
44007,Rhode Island,Providence,2021-08-22 14:15:00,39.5,202.0,7865.0,1870.613924050633,2021,eaglei_outages_2021_merged.csv,39.5
44003,Rhode Island,Kent,2019-11-01 02:45:00,38.75,218.0,6045.0,2339.9806451612903,2019,eaglei_outages_2019_merged.csv,38.75
44007,Rhode Island,Providence,2015-08-05 13:15:00,37.75,200.0,9388.0,2392.086092715232,2015,eaglei_outages_2015_merged.csv,37.75
44003,Rhode Island,Kent,2023-12-18 16:15:00,37.25,201.0,7083.0,1708.2617449664428,2023,eaglei_outages_2023_merged.csv,37.25
