fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
45073,South Carolina,Oconee,2020-06-18 16:45:00,369.75,233.0,3543.0,256.0696416497633,2020,eaglei_outages_2020_merged.csv,369.75
45073,South Carolina,Oconee,2020-07-17 15:00:00,315.75,233.0,475.0,242.06730007917656,2020,eaglei_outages_2020_merged.csv,315.75
45073,South Carolina,Oconee,2020-05-19 18:45:00,306.75,233.0,1356.0,244.30888345558276,2020,eaglei_outages_2020_merged.csv,306.75
45067,South Carolina,Marion,2016-10-08 22:30:00,286.75,244.0,12009.0,4399.633827375763,2016,eaglei_outages_2016_merged.csv,286.75
45067,South Carolina,Marion,2018-09-16 10:30:00,225.75,288.0,3539.0,839.9125138427464,2018,eaglei_outages_2018_merged.csv,225.75
45073,South Carolina,Oconee,2020-06-01 21:00:00,214.5,233.0,628.0,238.7645687645688,2020,eaglei_outages_2020_merged.csv,214.5
45051,South Carolina,Horry,2016-10-08 22:30:00,195.0,738.0,183359.0,38311.99743589744,2016,eaglei_outages_2016_merged.csv,195.0
45013,South Carolina,Beaufort,2016-10-08 22:30:00,185.0,244.0,47719.0,17065.764864864865,2016,eaglei_outages_2016_merged.csv,185.0
45073,South Carolina,Oconee,2020-06-10 19:45:00,184.0,233.0,1707.0,303.70380434782606,2020,eaglei_outages_2020_merged.csv,184.0
45033,South Carolina,Dillon,2016-10-08 22:30:00,173.0,852.0,10353.0,6053.202312138728,2016,eaglei_outages_2016_merged.csv,173.0
45045,South Carolina,Greenville,2021-09-01 10:00:00,171.25,667.0,1382.0,697.1284671532846,2021,eaglei_outages_2021_merged.csv,171.25
45073,South Carolina,Oconee,2020-07-10 13:30:00,169.25,233.0,652.0,245.11669128508123,2020,eaglei_outages_2020_merged.csv,169.25
45059,South Carolina,Laurens,2020-01-01 00:00:00,167.0,646.0,1292.0,646.9670658682635,2020,eaglei_outages_2020_merged.csv,167.0
45089,South Carolina,Williamsburg,2016-10-08 22:30:00,165.25,305.0,6579.0,3317.3419062027237,2016,eaglei_outages_2016_merged.csv,165.25
45041,South Carolina,Florence,2016-10-08 22:30:00,163.75,348.0,48077.0,22731.52824427481,2016,eaglei_outages_2016_merged.csv,163.75
45067,South Carolina,Marion,2018-09-25 20:30:00,162.25,235.0,413.0,291.2187981510015,2018,eaglei_outages_2018_merged.csv,162.25
45073,South Carolina,Oconee,2020-05-10 00:45:00,162.25,233.0,466.0,234.6748844375963,2020,eaglei_outages_2020_merged.csv,162.25
45053,South Carolina,Jasper,2016-10-08 22:30:00,149.75,220.0,6681.0,3064.2621035058432,2016,eaglei_outages_2016_merged.csv,149.75
45031,South Carolina,Darlington,2016-10-08 22:30:00,143.5,209.0,20197.0,8451.080139372822,2016,eaglei_outages_2016_merged.csv,143.5
45061,South Carolina,Lee,2016-10-08 22:30:00,141.25,204.0,5517.0,2616.214159292035,2016,eaglei_outages_2016_merged.csv,141.25
45029,South Carolina,Colleton,2016-10-08 22:30:00,139.75,256.0,11286.0,5783.771019677996,2016,eaglei_outages_2016_merged.csv,139.75
45043,South Carolina,Georgetown,2016-10-08 22:30:00,139.25,273.0,19748.0,6000.2998204667865,2016,eaglei_outages_2016_merged.csv,139.25
45045,South Carolina,Greenville,2020-01-01 00:00:00,139.25,377.0,756.0,379.6768402154399,2020,eaglei_outages_2020_merged.csv,139.25
45073,South Carolina,Oconee,2020-04-23 20:30:00,138.25,233.0,527.0,247.61844484629296,2020,eaglei_outages_2020_merged.csv,138.25
45071,South Carolina,Newberry,2023-04-30 22:15:00,134.75,206.0,208.0,206.04638218923927,2023,eaglei_outages_2023_merged.csv,134.75
45023,South Carolina,Chester,2022-12-26 05:15:00,127.75,339.0,532.0,342.0078277886497,2022,eaglei_outages_2022_merged.csv,127.75
45027,South Carolina,Clarendon,2016-10-08 22:30:00,122.5,212.0,6285.0,3594.8632653061222,2016,eaglei_outages_2016_merged.csv,122.5
45007,South Carolina,Anderson,2020-01-02 23:00:00,120.0,662.0,1324.0,663.3791666666667,2020,eaglei_outages_2020_merged.csv,120.0
45085,South Carolina,Sumter,2016-10-08 22:30:00,119.75,275.0,26512.0,11783.258872651357,2016,eaglei_outages_2016_merged.csv,119.75
45049,South Carolina,Hampton,2016-10-08 22:30:00,119.5,310.0,7200.0,2557.828451882845,2016,eaglei_outages_2016_merged.csv,119.5
