fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
46099,South Dakota,Minnehaha,2019-12-12 07:45:00,418.75,362.0,816.0,500.0107462686567,2019,eaglei_outages_2019_merged.csv,418.75
46099,South Dakota,Minnehaha,2020-02-01 15:00:00,385.25,201.0,1899.0,531.2070084360805,2020,eaglei_outages_2020_merged.csv,385.25
46135,South Dakota,Yankton,2020-10-14 10:30:00,302.25,443.0,450.0,443.2100909842845,2020,eaglei_outages_2020_merged.csv,302.25
46099,South Dakota,Minnehaha,2019-12-03 19:00:00,204.5,362.0,517.0,389.9633251833741,2019,eaglei_outages_2019_merged.csv,204.5
46051,South Dakota,Grant,2021-05-20 07:00:00,153.25,1490.0,1490.0,1490.0,2021,eaglei_outages_2021_merged.csv,153.25
46099,South Dakota,Minnehaha,2020-01-12 09:15:00,148.75,358.0,385.0,363.0840336134454,2020,eaglei_outages_2020_merged.csv,148.75
46099,South Dakota,Minnehaha,2020-01-01 00:00:00,139.75,201.0,2164.0,681.5259391771019,2020,eaglei_outages_2020_merged.csv,139.75
46099,South Dakota,Minnehaha,2020-01-06 20:00:00,124.5,358.0,933.0,392.3333333333333,2020,eaglei_outages_2020_merged.csv,124.5
46103,South Dakota,Pennington,2018-05-09 16:15:00,120.5,223.0,460.0,244.16182572614107,2018,eaglei_outages_2018_merged.csv,120.5
46099,South Dakota,Minnehaha,2019-04-10 20:45:00,107.0,463.0,10809.0,2573.4345794392525,2019,eaglei_outages_2019_merged.csv,107.0
46101,South Dakota,Moody,2019-04-11 00:15:00,103.5,231.0,921.0,511.4178743961353,2019,eaglei_outages_2019_merged.csv,103.5
46099,South Dakota,Minnehaha,2022-01-13 14:45:00,95.5,674.0,1367.0,1209.5104712041884,2022,eaglei_outages_2022_merged.csv,95.5
46011,South Dakota,Brookings,2022-05-12 22:30:00,91.0,208.0,3433.0,1582.1648351648353,2022,eaglei_outages_2022_merged.csv,91.0
46055,South Dakota,Haakon,2022-06-12 05:15:00,90.5,375.0,1268.0,786.6933701657458,2022,eaglei_outages_2022_merged.csv,90.5
46089,South Dakota,McPherson,2021-10-24 05:45:00,86.0,245.0,256.0,251.6773255813953,2021,eaglei_outages_2021_merged.csv,86.0
46079,South Dakota,Lake,2022-05-12 22:15:00,77.0,247.0,3402.0,1800.8993506493507,2022,eaglei_outages_2022_merged.csv,77.0
46103,South Dakota,Pennington,2020-06-26 06:15:00,71.75,258.0,342.0,272.0801393728223,2020,eaglei_outages_2020_merged.csv,71.75
46099,South Dakota,Minnehaha,2022-05-12 22:15:00,68.0,230.0,16409.0,4890.974264705882,2022,eaglei_outages_2022_merged.csv,68.0
46103,South Dakota,Pennington,2021-09-03 15:30:00,63.25,477.0,1321.0,1287.6758893280632,2021,eaglei_outages_2021_merged.csv,63.25
46135,South Dakota,Yankton,2020-10-11 20:45:00,61.5,443.0,758.0,448.6341463414634,2020,eaglei_outages_2020_merged.csv,61.5
46103,South Dakota,Pennington,2021-07-12 12:45:00,57.5,247.0,760.0,646.1391304347826,2021,eaglei_outages_2021_merged.csv,57.5
46099,South Dakota,Minnehaha,2020-05-01 21:00:00,57.0,301.0,555.0,307.0657894736842,2020,eaglei_outages_2020_merged.csv,57.0
46051,South Dakota,Grant,2022-07-19 08:45:00,57.0,1492.0,1495.0,1492.4122807017543,2022,eaglei_outages_2022_merged.csv,57.0
46091,South Dakota,Marshall,2022-09-13 14:00:00,53.5,434.0,444.0,434.1261682242991,2022,eaglei_outages_2022_merged.csv,53.5
46089,South Dakota,McPherson,2021-10-21 21:45:00,53.25,238.0,260.0,247.77464788732397,2021,eaglei_outages_2021_merged.csv,53.25
46091,South Dakota,Marshall,2022-10-04 15:15:00,52.75,256.0,690.0,373.3554502369668,2022,eaglei_outages_2022_merged.csv,52.75
46087,South Dakota,McCook,2022-05-12 22:15:00,51.75,1001.0,1889.0,1507.5942028985507,2022,eaglei_outages_2022_merged.csv,51.75
46097,South Dakota,Miner,2022-05-12 22:15:00,51.75,346.0,904.0,405.9661835748792,2022,eaglei_outages_2022_merged.csv,51.75
46101,South Dakota,Moody,2022-05-12 22:30:00,51.25,212.0,1528.0,843.6146341463415,2022,eaglei_outages_2022_merged.csv,51.25
46077,South Dakota,Kingsbury,2022-05-12 22:45:00,51.0,229.0,2174.0,1211.6617647058824,2022,eaglei_outages_2022_merged.csv,51.0
