fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
47157,Tennessee,Shelby,2022-02-03 11:15:00,305.0,200.0,137794.0,42262.85491803279,2022,eaglei_outages_2022_merged.csv,305.0
47157,Tennessee,Shelby,2023-06-25 21:45:00,304.5,206.0,120822.0,21405.266009852217,2023,eaglei_outages_2023_merged.csv,304.5
47155,Tennessee,Sevier,2016-11-28 22:45:00,218.75,423.0,13218.0,4368.133714285715,2016,eaglei_outages_2016_merged.csv,218.75
47037,Tennessee,Davidson,2020-03-05 23:45:00,174.25,202.0,27345.0,5347.383070301291,2020,eaglei_outages_2020_merged.csv,174.25
47157,Tennessee,Shelby,2023-07-18 20:15:00,162.0,220.0,138851.0,30500.563271604937,2023,eaglei_outages_2023_merged.csv,162.0
47125,Tennessee,Montgomery,2017-09-01 13:00:00,144.25,1154.0,2547.0,1213.8370883882149,2017,eaglei_outages_2017_merged.csv,144.25
47161,Tennessee,Stewart,2017-09-01 13:00:00,144.25,1015.0,1361.0,1083.3864818024265,2017,eaglei_outages_2017_merged.csv,144.25
47157,Tennessee,Shelby,2017-06-02 11:15:00,119.25,235.0,24138.0,7173.874213836478,2017,eaglei_outages_2017_merged.csv,119.25
47157,Tennessee,Shelby,2017-05-28 04:00:00,113.75,26293.0,155108.0,76227.93186813187,2017,eaglei_outages_2017_merged.csv,113.75
47157,Tennessee,Shelby,2023-03-31 23:00:00,112.5,519.0,37707.0,6775.413333333333,2023,eaglei_outages_2023_merged.csv,112.5
47131,Tennessee,Obion,2021-12-11 05:15:00,112.25,227.0,1738.0,792.5902004454343,2021,eaglei_outages_2021_merged.csv,112.25
47011,Tennessee,Bradley,2022-01-12 23:30:00,109.75,761.0,2145.0,777.0,2022,eaglei_outages_2022_merged.csv,109.75
47037,Tennessee,Davidson,2023-03-03 15:00:00,108.25,1391.0,104359.0,19530.39722863741,2023,eaglei_outages_2023_merged.csv,108.25
47157,Tennessee,Shelby,2019-10-21 10:45:00,103.75,277.0,35329.0,6103.040963855422,2019,eaglei_outages_2019_merged.csv,103.75
47167,Tennessee,Tipton,2023-03-31 23:00:00,103.75,313.0,17417.0,2850.8024096385543,2023,eaglei_outages_2023_merged.csv,103.75
47165,Tennessee,Sumner,2023-03-03 19:15:00,97.5,221.0,24019.0,4282.958974358974,2023,eaglei_outages_2023_merged.csv,97.5
47155,Tennessee,Sevier,2020-12-24 22:00:00,96.0,342.0,27962.0,10605.927083333334,2020,eaglei_outages_2020_merged.csv,96.0
47037,Tennessee,Davidson,2023-12-09 22:30:00,95.75,592.0,25871.0,3457.7075718015667,2023,eaglei_outages_2023_merged.csv,95.75
47125,Tennessee,Montgomery,2023-03-03 17:00:00,88.0,673.0,48425.0,10509.68465909091,2023,eaglei_outages_2023_merged.csv,88.0
47021,Tennessee,Cheatham,2023-03-03 18:30:00,87.0,268.0,7239.0,1874.471264367816,2023,eaglei_outages_2023_merged.csv,87.0
47037,Tennessee,Davidson,2021-03-26 08:45:00,86.0,231.0,16567.0,2007.372093023256,2021,eaglei_outages_2021_merged.csv,86.0
47037,Tennessee,Davidson,2021-12-11 09:15:00,86.0,210.0,83500.0,14921.92441860465,2021,eaglei_outages_2021_merged.csv,86.0
47037,Tennessee,Davidson,2023-07-01 01:15:00,84.5,203.0,31952.0,6190.715976331361,2023,eaglei_outages_2023_merged.csv,84.5
47067,Tennessee,Hancock,2020-10-16 03:15:00,82.5,600.0,602.0,600.0484848484848,2020,eaglei_outages_2020_merged.csv,82.5
47165,Tennessee,Sumner,2023-12-09 23:15:00,79.75,240.0,35732.0,10130.335423197492,2023,eaglei_outages_2023_merged.csv,79.75
47125,Tennessee,Montgomery,2023-12-09 20:00:00,76.75,843.0,6972.0,1955.6742671009767,2023,eaglei_outages_2023_merged.csv,76.75
47047,Tennessee,Fayette,2022-02-03 14:00:00,76.25,211.0,9758.0,2547.5147540983608,2022,eaglei_outages_2022_merged.csv,76.25
47163,Tennessee,Sullivan,2018-12-09 12:30:00,75.75,222.0,7445.0,3457.881188118812,2018,eaglei_outages_2018_merged.csv,75.75
47157,Tennessee,Shelby,2015-08-05 21:15:00,75.5,201.0,38123.0,11380.21523178808,2015,eaglei_outages_2015_merged.csv,75.5
47079,Tennessee,Henry,2020-05-03 20:15:00,73.75,267.0,9930.0,2248.210169491525,2020,eaglei_outages_2020_merged.csv,73.75
