fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
49035,Utah,Salt Lake,2020-09-08 10:45:00,185.25,201.0,91704.0,25489.645074224023,2020,eaglei_outages_2020_merged.csv,185.25
49057,Utah,Weber,2020-09-08 09:45:00,180.0,235.0,40536.0,11665.5125,2020,eaglei_outages_2020_merged.csv,180.0
49011,Utah,Davis,2020-09-08 10:15:00,155.75,235.0,39446.0,6443.409309791332,2020,eaglei_outages_2020_merged.csv,155.75
49003,Utah,Box Elder,2020-09-08 09:00:00,141.25,215.0,3185.0,813.9575221238938,2020,eaglei_outages_2020_merged.csv,141.25
49049,Utah,Utah,2021-04-08 20:45:00,95.25,2144.0,3063.0,3004.304461942257,2021,eaglei_outages_2021_merged.csv,95.25
49035,Utah,Salt Lake,2023-01-01 14:30:00,58.5,215.0,11396.0,2916.119658119658,2023,eaglei_outages_2023_merged.csv,58.5
49035,Utah,Salt Lake,2019-03-29 07:15:00,56.75,241.0,15482.0,5345.9823788546255,2019,eaglei_outages_2019_merged.csv,56.75
49049,Utah,Utah,2022-08-03 20:45:00,47.25,222.0,771.0,644.3121693121693,2022,eaglei_outages_2022_merged.csv,47.25
49029,Utah,Morgan,2020-09-08 09:45:00,42.75,346.0,897.0,724.8304093567251,2020,eaglei_outages_2020_merged.csv,42.75
49035,Utah,Salt Lake,2022-03-06 03:45:00,42.25,220.0,13708.0,3439.124260355029,2022,eaglei_outages_2022_merged.csv,42.25
49011,Utah,Davis,2019-03-29 10:15:00,40.0,205.0,1189.0,567.925,2019,eaglei_outages_2019_merged.csv,40.0
49021,Utah,Iron,2019-07-06 08:45:00,40.0,1676.0,1988.0,1817.25,2019,eaglei_outages_2019_merged.csv,40.0
49005,Utah,Cache,2020-09-08 09:15:00,39.25,256.0,9189.0,3448.8025477707006,2020,eaglei_outages_2020_merged.csv,39.25
49043,Utah,Summit,2019-03-29 10:15:00,37.0,235.0,2646.0,956.3108108108108,2019,eaglei_outages_2019_merged.csv,37.0
49049,Utah,Utah,2023-01-01 18:00:00,36.0,240.0,1570.0,513.9305555555555,2023,eaglei_outages_2023_merged.csv,36.0
49035,Utah,Salt Lake,2023-03-10 08:30:00,32.75,245.0,15397.0,2335.763358778626,2023,eaglei_outages_2023_merged.csv,32.75
49035,Utah,Salt Lake,2021-05-23 11:45:00,31.25,200.0,7087.0,939.76,2021,eaglei_outages_2021_merged.csv,31.25
49035,Utah,Salt Lake,2021-12-15 03:30:00,28.75,204.0,7805.0,2210.608695652174,2021,eaglei_outages_2021_merged.csv,28.75
49043,Utah,Summit,2017-09-24 17:00:00,26.25,246.0,1721.0,680.0095238095238,2017,eaglei_outages_2017_merged.csv,26.25
49035,Utah,Salt Lake,2021-07-23 01:15:00,26.0,234.0,8366.0,2193.644230769231,2021,eaglei_outages_2021_merged.csv,26.0
49045,Utah,Tooele,2020-06-06 12:30:00,24.5,206.0,1778.0,991.4795918367348,2020,eaglei_outages_2020_merged.csv,24.5
49047,Utah,Uintah,2020-06-06 18:45:00,22.75,324.0,3928.0,1112.4615384615386,2020,eaglei_outages_2020_merged.csv,22.75
49057,Utah,Weber,2020-06-06 13:45:00,20.75,211.0,2861.0,971.843373493976,2020,eaglei_outages_2020_merged.csv,20.75
49005,Utah,Cache,2021-10-12 06:15:00,20.75,315.0,8369.0,2968.9036144578317,2021,eaglei_outages_2021_merged.csv,20.75
49035,Utah,Salt Lake,2018-02-19 03:45:00,20.25,201.0,7214.0,2137.259259259259,2018,eaglei_outages_2018_merged.csv,20.25
49035,Utah,Salt Lake,2021-10-25 07:00:00,19.75,253.0,1814.0,684.1645569620254,2021,eaglei_outages_2021_merged.csv,19.75
49051,Utah,Wasatch,2023-01-10 10:00:00,19.75,426.0,610.0,510.253164556962,2023,eaglei_outages_2023_merged.csv,19.75
49049,Utah,Utah,2018-09-03 02:45:00,19.25,688.0,2140.0,782.4025974025974,2018,eaglei_outages_2018_merged.csv,19.25
49011,Utah,Davis,2017-09-16 06:45:00,19.0,630.0,1718.0,865.9868421052631,2017,eaglei_outages_2017_merged.csv,19.0
49035,Utah,Salt Lake,2022-02-23 05:15:00,19.0,215.0,769.0,385.5131578947368,2022,eaglei_outages_2022_merged.csv,19.0
