fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
50025,Vermont,Windham,2023-03-14 05:15:00,113.75,200.0,15904.0,7291.872527472527,2023,eaglei_outages_2023_merged.csv,113.75
50023,Vermont,Washington,2022-12-24 09:00:00,109.75,200.0,6800.0,1748.5740318906603,2022,eaglei_outages_2022_merged.csv,109.75
50017,Vermont,Orange,2014-12-11 16:00:00,102.0,250.0,3060.0,1278.2916666666667,2014,eaglei_outages_2014_merged.csv,102.0
50023,Vermont,Washington,2021-09-17 13:30:00,101.25,274.0,276.0,274.0740740740741,2021,eaglei_outages_2021_merged.csv,101.25
50007,Vermont,Chittenden,2014-12-11 16:00:00,98.25,251.0,9214.0,2934.6844783715014,2014,eaglei_outages_2014_merged.csv,98.25
50011,Vermont,Franklin,2014-12-11 16:00:00,97.25,205.0,997.0,497.7249357326478,2014,eaglei_outages_2014_merged.csv,97.25
50027,Vermont,Windsor,2022-12-16 21:15:00,95.0,200.0,21318.0,8271.297368421052,2022,eaglei_outages_2022_merged.csv,95.0
50021,Vermont,Rutland,2014-12-11 16:00:00,91.25,327.0,9560.0,3270.594520547945,2014,eaglei_outages_2014_merged.csv,91.25
50023,Vermont,Washington,2022-12-17 02:15:00,84.75,201.0,6774.0,1578.8849557522124,2022,eaglei_outages_2022_merged.csv,84.75
50027,Vermont,Windsor,2023-03-14 08:30:00,83.75,202.0,8028.0,3860.325373134328,2023,eaglei_outages_2023_merged.csv,83.75
50027,Vermont,Windsor,2019-11-01 05:15:00,83.0,222.0,8359.0,4016.5963855421687,2019,eaglei_outages_2019_merged.csv,83.0
50017,Vermont,Orange,2019-11-01 07:15:00,82.5,205.0,5849.0,2032.8,2019,eaglei_outages_2019_merged.csv,82.5
50027,Vermont,Windsor,2018-11-28 12:15:00,82.25,236.0,11000.0,4430.723404255319,2018,eaglei_outages_2018_merged.csv,82.25
50025,Vermont,Windham,2018-11-28 12:15:00,81.25,206.0,8853.0,3688.126153846154,2018,eaglei_outages_2018_merged.csv,81.25
50011,Vermont,Franklin,2022-12-24 09:00:00,80.5,208.0,3829.0,1241.273291925466,2022,eaglei_outages_2022_merged.csv,80.5
50001,Vermont,Addison,2014-12-11 16:00:00,80.25,228.0,4799.0,2304.1869158878503,2014,eaglei_outages_2014_merged.csv,80.25
50023,Vermont,Washington,2014-12-11 16:00:00,80.25,243.0,4438.0,1931.1931464174452,2014,eaglei_outages_2014_merged.csv,80.25
50023,Vermont,Washington,2019-11-01 07:00:00,80.25,233.0,12162.0,2196.909657320872,2019,eaglei_outages_2019_merged.csv,80.25
50025,Vermont,Windham,2022-12-16 13:30:00,79.25,233.0,6650.0,2850.8044164037856,2022,eaglei_outages_2022_merged.csv,79.25
50017,Vermont,Orange,2018-11-28 12:15:00,75.25,201.0,4628.0,1243.375415282392,2018,eaglei_outages_2018_merged.csv,75.25
50027,Vermont,Windsor,2014-12-11 16:00:00,74.0,233.0,4972.0,1757.554054054054,2014,eaglei_outages_2014_merged.csv,74.0
50017,Vermont,Orange,2022-12-16 23:15:00,73.5,202.0,7999.0,3998.602040816327,2022,eaglei_outages_2022_merged.csv,73.5
50017,Vermont,Orange,2022-12-25 16:30:00,73.0,217.0,1160.0,764.7089041095891,2022,eaglei_outages_2022_merged.csv,73.0
50019,Vermont,Orleans,2019-11-01 07:00:00,71.5,214.0,5704.0,1731.4650349650349,2019,eaglei_outages_2019_merged.csv,71.5
50017,Vermont,Orange,2023-11-27 08:00:00,71.25,200.0,4913.0,1731.2421052631578,2023,eaglei_outages_2023_merged.csv,71.25
50025,Vermont,Windham,2018-04-05 01:00:00,65.75,208.0,9032.0,3277.7490494296576,2018,eaglei_outages_2018_merged.csv,65.75
50025,Vermont,Windham,2019-11-01 06:15:00,63.75,225.0,14012.0,2818.1294117647058,2019,eaglei_outages_2019_merged.csv,63.75
50005,Vermont,Caledonia,2019-11-01 08:30:00,61.75,205.0,5537.0,1729.5384615384614,2019,eaglei_outages_2019_merged.csv,61.75
50003,Vermont,Bennington,2023-03-14 08:30:00,61.5,397.0,5345.0,2540.276422764228,2023,eaglei_outages_2023_merged.csv,61.5
50001,Vermont,Addison,2022-12-24 09:00:00,60.75,274.0,6497.0,2829.695473251029,2022,eaglei_outages_2022_merged.csv,60.75
