fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
51143,Virginia,Pittsylvania,2021-10-28 17:00:00,285.75,523.0,3234.0,2017.5354330708665,2021,eaglei_outages_2021_merged.csv,285.75
51109,Virginia,Louisa,2022-01-03 14:30:00,200.25,215.0,13467.0,4817.003745318352,2022,eaglei_outages_2022_merged.csv,200.25
51177,Virginia,Spotsylvania,2022-01-03 14:30:00,179.5,225.0,16023.0,5586.661559888579,2022,eaglei_outages_2022_merged.csv,179.5
51065,Virginia,Fluvanna,2022-01-03 13:30:00,174.75,221.0,5734.0,2634.022889842632,2022,eaglei_outages_2022_merged.csv,174.75
51027,Virginia,Buchanan,2021-08-30 17:15:00,173.25,211.0,1878.0,444.8311688311688,2021,eaglei_outages_2021_merged.csv,173.25
51137,Virginia,Orange,2022-01-03 14:45:00,160.75,204.0,6325.0,2383.2130637636083,2022,eaglei_outages_2022_merged.csv,160.75
51003,Virginia,Albemarle,2022-01-03 11:30:00,160.5,213.0,36322.0,14812.82398753894,2022,eaglei_outages_2022_merged.csv,160.5
51075,Virginia,Goochland,2022-01-03 11:30:00,158.25,201.0,7661.0,3045.4186413902053,2022,eaglei_outages_2022_merged.csv,158.25
51047,Virginia,Culpeper,2022-01-03 13:30:00,148.25,210.0,2887.0,1137.1517706576728,2022,eaglei_outages_2022_merged.csv,148.25
51135,Virginia,Nottoway,2018-10-11 21:45:00,139.25,200.0,8286.0,3310.118491921005,2018,eaglei_outages_2018_merged.csv,139.25
51147,Virginia,Prince Edward,2018-10-11 20:30:00,138.5,215.0,16283.0,6265.191335740073,2018,eaglei_outages_2018_merged.csv,138.5
51121,Virginia,Montgomery,2018-03-24 23:45:00,138.0,202.0,14642.0,5959.86231884058,2018,eaglei_outages_2018_merged.csv,138.0
51155,Virginia,Pulaski,2018-03-24 22:00:00,136.5,209.0,16017.0,6653.117216117216,2018,eaglei_outages_2018_merged.csv,136.5
51111,Virginia,Lunenburg,2018-10-11 20:30:00,135.5,214.0,9719.0,3184.073800738008,2018,eaglei_outages_2018_merged.csv,135.5
51143,Virginia,Pittsylvania,2021-10-21 05:30:00,131.75,523.0,799.0,552.6698292220113,2021,eaglei_outages_2021_merged.csv,131.75
51099,Virginia,King George,2022-01-03 13:30:00,131.5,222.0,7029.0,3549.0456273764257,2022,eaglei_outages_2022_merged.csv,131.5
51029,Virginia,Buckingham,2022-01-03 14:15:00,130.0,284.0,6104.0,2711.7076923076925,2022,eaglei_outages_2022_merged.csv,130.0
51179,Virginia,Stafford,2022-01-03 13:00:00,127.75,213.0,48311.0,19553.77495107632,2022,eaglei_outages_2022_merged.csv,127.75
51125,Virginia,Nelson,2022-01-03 13:00:00,127.5,208.0,2692.0,1473.3549019607842,2022,eaglei_outages_2022_merged.csv,127.5
51049,Virginia,Cumberland,2022-01-03 14:00:00,127.5,208.0,3590.0,1515.686274509804,2022,eaglei_outages_2022_merged.csv,127.5
51111,Virginia,Lunenburg,2021-02-13 08:45:00,126.5,401.0,6723.0,4908.843873517787,2021,eaglei_outages_2021_merged.csv,126.5
51025,Virginia,Brunswick,2021-02-13 09:00:00,126.25,261.0,8036.0,4655.532673267327,2021,eaglei_outages_2021_merged.csv,126.25
51117,Virginia,Mecklenburg,2021-02-13 09:00:00,126.25,277.0,11762.0,4528.912871287129,2021,eaglei_outages_2021_merged.csv,126.25
51053,Virginia,Dinwiddie,2021-02-13 09:30:00,125.75,316.0,13322.0,8602.127236580516,2021,eaglei_outages_2021_merged.csv,125.75
51007,Virginia,Amelia,2021-02-13 09:45:00,125.5,213.0,6144.0,3479.450199203188,2021,eaglei_outages_2021_merged.csv,125.5
51135,Virginia,Nottoway,2021-02-13 09:45:00,125.5,256.0,5624.0,4574.559760956176,2021,eaglei_outages_2021_merged.csv,125.5
51037,Virginia,Charlotte,2021-02-13 10:00:00,125.25,206.0,6505.0,4945.245508982036,2021,eaglei_outages_2021_merged.csv,125.25
51031,Virginia,Campbell,2021-02-13 10:15:00,125.0,619.0,12518.0,4167.66,2021,eaglei_outages_2021_merged.csv,125.0
51037,Virginia,Charlotte,2018-10-11 20:30:00,124.75,286.0,13319.0,4067.430861723447,2018,eaglei_outages_2018_merged.csv,124.75
51083,Virginia,Halifax,2021-02-13 10:30:00,124.75,234.0,10851.0,6029.454909819639,2021,eaglei_outages_2021_merged.csv,124.75
