fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
53035,Washington,Kitsap,2015-08-24 19:30:00,199.5,228.0,20879.0,2562.6052631578946,2015,eaglei_outages_2015_merged.csv,199.5
53033,Washington,King,2021-05-26 16:30:00,189.25,304.0,7144.0,544.6340819022457,2021,eaglei_outages_2021_merged.csv,189.25
53033,Washington,King,2022-12-22 01:00:00,174.5,202.0,54759.0,5093.816618911174,2022,eaglei_outages_2022_merged.csv,174.5
53033,Washington,King,2016-12-22 17:45:00,168.0,402.0,1561.0,449.8973214285714,2016,eaglei_outages_2016_merged.csv,168.0
53029,Washington,Island,2022-11-05 04:15:00,160.5,204.0,36879.0,12342.755451713396,2022,eaglei_outages_2022_merged.csv,160.5
53033,Washington,King,2022-01-03 06:45:00,141.25,202.0,6649.0,1556.166371681416,2022,eaglei_outages_2022_merged.csv,141.25
53033,Washington,King,2020-01-12 17:00:00,134.25,379.0,13046.0,1644.7448789571697,2020,eaglei_outages_2020_merged.csv,134.25
53063,Washington,Spokane,2021-01-13 12:00:00,131.75,214.0,48590.0,12566.586337760911,2021,eaglei_outages_2021_merged.csv,131.75
53061,Washington,Snohomish,2022-11-06 10:00:00,122.75,264.0,70915.0,16659.415478615072,2022,eaglei_outages_2022_merged.csv,122.75
53033,Washington,King,2019-12-10 17:45:00,121.25,205.0,1699.0,397.0907216494845,2019,eaglei_outages_2019_merged.csv,121.25
53053,Washington,Pierce,2021-01-13 07:45:00,115.25,220.0,107403.0,12852.739696312365,2021,eaglei_outages_2021_merged.csv,115.25
53073,Washington,Whatcom,2015-08-29 17:00:00,114.0,345.0,54372.0,14483.320175438595,2015,eaglei_outages_2015_merged.csv,114.0
53053,Washington,Pierce,2015-12-09 21:00:00,110.25,207.0,11344.0,1188.814058956916,2015,eaglei_outages_2015_merged.csv,110.25
53057,Washington,Skagit,2015-08-29 14:00:00,109.75,311.0,22502.0,7223.282460136675,2015,eaglei_outages_2015_merged.csv,109.75
53033,Washington,King,2021-01-12 19:00:00,109.0,212.0,215586.0,35887.2752293578,2021,eaglei_outages_2021_merged.csv,109.0
53057,Washington,Skagit,2021-01-13 06:00:00,108.25,202.0,21175.0,5871.332563510393,2021,eaglei_outages_2021_merged.csv,108.25
53063,Washington,Spokane,2020-09-07 16:15:00,101.0,200.0,15095.0,3095.6188118811883,2020,eaglei_outages_2020_merged.csv,101.0
53053,Washington,Pierce,2022-01-06 01:30:00,100.25,220.0,11947.0,1035.5187032418953,2022,eaglei_outages_2022_merged.csv,100.25
53061,Washington,Snohomish,2020-01-12 22:15:00,100.0,287.0,13033.0,3509.76,2020,eaglei_outages_2020_merged.csv,100.0
53053,Washington,Pierce,2017-11-24 00:15:00,96.75,208.0,2703.0,277.8914728682171,2017,eaglei_outages_2017_merged.csv,96.75
53031,Washington,Jefferson,2022-11-05 04:45:00,95.75,460.0,18119.0,4733.394255874674,2022,eaglei_outages_2022_merged.csv,95.75
53033,Washington,King,2016-04-27 15:15:00,95.5,748.0,1231.0,842.2120418848167,2016,eaglei_outages_2016_merged.csv,95.5
53053,Washington,Pierce,2020-02-08 02:30:00,92.0,210.0,15134.0,1064.008152173913,2020,eaglei_outages_2020_merged.csv,92.0
53067,Washington,Thurston,2021-01-13 07:45:00,87.5,236.0,39455.0,7765.302857142857,2021,eaglei_outages_2021_merged.csv,87.5
53029,Washington,Island,2021-01-13 08:30:00,87.25,204.0,48278.0,12690.659025787963,2021,eaglei_outages_2021_merged.csv,87.25
53033,Washington,King,2016-03-29 00:45:00,86.5,535.0,1949.0,705.679190751445,2016,eaglei_outages_2016_merged.csv,86.5
53073,Washington,Whatcom,2017-02-04 14:00:00,85.25,204.0,7645.0,2498.102639296188,2017,eaglei_outages_2017_merged.csv,85.25
53019,Washington,Ferry,2020-09-07 14:00:00,82.0,242.0,2203.0,1315.6920731707316,2020,eaglei_outages_2020_merged.csv,82.0
53065,Washington,Stevens,2020-09-07 14:00:00,82.0,253.0,6478.0,2336.5823170731705,2020,eaglei_outages_2020_merged.csv,82.0
53073,Washington,Whatcom,2021-01-13 08:45:00,80.5,229.0,14967.0,4023.636645962733,2021,eaglei_outages_2021_merged.csv,80.5
