fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
54039,West Virginia,Kanawha,2017-04-07 21:15:00,275.0,258.0,1294.0,340.54454545454547,2017,eaglei_outages_2017_merged.csv,275.0
54053,West Virginia,Mason,2021-02-11 02:00:00,181.25,441.0,4603.0,2146.8013793103446,2021,eaglei_outages_2021_merged.csv,181.25
54011,West Virginia,Cabell,2021-02-11 04:30:00,178.75,548.0,35274.0,15552.11888111888,2021,eaglei_outages_2021_merged.csv,178.75
54079,West Virginia,Putnam,2021-02-11 05:00:00,178.25,215.0,17405.0,6034.004207573633,2021,eaglei_outages_2021_merged.csv,178.25
54099,West Virginia,Wayne,2021-02-11 05:45:00,177.5,397.0,18901.0,9431.33661971831,2021,eaglei_outages_2021_merged.csv,177.5
54043,West Virginia,Lincoln,2021-02-11 06:00:00,177.25,227.0,8046.0,2781.6163610719323,2021,eaglei_outages_2021_merged.csv,177.25
54087,West Virginia,Roane,2016-06-23 10:45:00,171.25,222.0,6038.0,2119.239416058394,2016,eaglei_outages_2016_merged.csv,171.25
54039,West Virginia,Kanawha,2016-06-24 10:15:00,157.5,212.0,11162.0,3147.7301587301586,2016,eaglei_outages_2016_merged.csv,157.5
54043,West Virginia,Lincoln,2017-02-01 14:00:00,157.25,362.0,362.0,362.0,2017,eaglei_outages_2017_merged.csv,157.25
54015,West Virginia,Clay,2016-06-23 10:45:00,137.75,324.0,5299.0,2898.825771324864,2016,eaglei_outages_2016_merged.csv,137.75
54081,West Virginia,Raleigh,2018-11-15 12:15:00,135.0,208.0,9517.0,3653.8777777777777,2018,eaglei_outages_2018_merged.csv,135.0
54099,West Virginia,Wayne,2016-11-08 09:00:00,131.5,740.0,2760.0,2315.2661596958174,2016,eaglei_outages_2016_merged.csv,131.5
54099,West Virginia,Wayne,2021-02-23 18:45:00,124.25,205.0,6966.0,3250.3923541247486,2021,eaglei_outages_2021_merged.csv,124.25
54011,West Virginia,Cabell,2021-02-18 15:30:00,123.0,4814.0,22269.0,11686.026422764227,2021,eaglei_outages_2021_merged.csv,123.0
54035,West Virginia,Jackson,2021-02-18 15:30:00,123.0,990.0,3573.0,1962.0528455284552,2021,eaglei_outages_2021_merged.csv,123.0
54043,West Virginia,Lincoln,2021-02-18 15:30:00,123.0,1257.0,6882.0,3673.089430894309,2021,eaglei_outages_2021_merged.csv,123.0
54053,West Virginia,Mason,2021-02-18 15:30:00,123.0,1382.0,3203.0,2176.6260162601625,2021,eaglei_outages_2021_merged.csv,123.0
54079,West Virginia,Putnam,2021-02-18 15:30:00,123.0,1359.0,7200.0,3823.162601626016,2021,eaglei_outages_2021_merged.csv,123.0
54099,West Virginia,Wayne,2021-02-18 15:30:00,123.0,6991.0,17635.0,12761.217479674797,2021,eaglei_outages_2021_merged.csv,123.0
54055,West Virginia,Mercer,2018-11-15 13:15:00,122.5,217.0,6307.0,1640.0061224489796,2018,eaglei_outages_2018_merged.csv,122.5
54051,West Virginia,Marshall,2022-02-03 23:30:00,121.0,285.0,9644.0,4431.402892561983,2022,eaglei_outages_2022_merged.csv,121.0
54045,West Virginia,Logan,2017-03-01 15:30:00,118.5,977.0,8968.0,2753.0464135021098,2017,eaglei_outages_2017_merged.csv,118.5
54069,West Virginia,Ohio,2022-02-03 23:30:00,113.0,264.0,6117.0,2392.4535398230087,2022,eaglei_outages_2022_merged.csv,113.0
54069,West Virginia,Ohio,2022-06-14 05:15:00,112.75,237.0,15804.0,5454.69401330377,2022,eaglei_outages_2022_merged.csv,112.75
54025,West Virginia,Greenbrier,2016-06-23 11:45:00,110.5,283.0,38702.0,13103.968325791857,2016,eaglei_outages_2016_merged.csv,110.5
54027,West Virginia,Hampshire,2022-12-15 12:15:00,108.25,300.0,9399.0,4184.5103926097,2022,eaglei_outages_2022_merged.csv,108.25
54109,West Virginia,Wyoming,2017-03-01 15:45:00,106.25,319.0,5503.0,1326.009411764706,2017,eaglei_outages_2017_merged.csv,106.25
54019,West Virginia,Fayette,2017-03-01 15:45:00,105.0,229.0,17254.0,5527.857142857143,2017,eaglei_outages_2017_merged.csv,105.0
54011,West Virginia,Cabell,2021-02-23 18:45:00,99.25,211.0,4859.0,1818.0856423173805,2021,eaglei_outages_2021_merged.csv,99.25
54053,West Virginia,Mason,2021-02-23 18:45:00,99.0,200.0,1679.0,732.2929292929293,2021,eaglei_outages_2021_merged.csv,99.0
