fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
55127,Wisconsin,Walworth,2017-01-17 21:45:00,137.5,403.0,700.0,489.04,2017,eaglei_outages_2017_merged.csv,137.5
55087,Wisconsin,Outagamie,2022-06-15 23:15:00,101.75,218.0,22173.0,12532.100737100736,2022,eaglei_outages_2022_merged.csv,101.75
55069,Wisconsin,Lincoln,2021-07-27 14:00:00,97.0,387.0,9752.0,3081.453608247423,2021,eaglei_outages_2021_merged.csv,97.0
55135,Wisconsin,Waupaca,2022-06-15 23:00:00,93.75,232.0,6570.0,2345.621333333333,2022,eaglei_outages_2022_merged.csv,93.75
55139,Wisconsin,Winnebago,2022-06-15 23:00:00,91.25,222.0,6168.0,1753.3890410958904,2022,eaglei_outages_2022_merged.csv,91.25
55115,Wisconsin,Shawano,2022-06-15 23:45:00,89.0,207.0,5483.0,2455.674157303371,2022,eaglei_outages_2022_merged.csv,89.0
55095,Wisconsin,Polk,2019-07-23 00:45:00,88.75,244.0,1892.0,1023.2676056338028,2019,eaglei_outages_2019_merged.csv,88.75
55125,Wisconsin,Vilas,2021-07-27 03:00:00,87.75,223.0,19123.0,6056.213675213675,2021,eaglei_outages_2021_merged.csv,87.75
55125,Wisconsin,Vilas,2021-12-16 05:15:00,83.5,288.0,12910.0,4111.54491017964,2021,eaglei_outages_2021_merged.csv,83.5
55079,Wisconsin,Milwaukee,2021-08-11 19:00:00,81.75,212.0,61126.0,21812.06116207951,2021,eaglei_outages_2021_merged.csv,81.75
55083,Wisconsin,Oconto,2019-07-24 00:30:00,80.25,201.0,2396.0,1332.3738317757009,2019,eaglei_outages_2019_merged.csv,80.25
55075,Wisconsin,Marinette,2017-06-11 18:30:00,79.0,240.0,16826.0,5232.085443037975,2017,eaglei_outages_2017_merged.csv,79.0
55075,Wisconsin,Marinette,2022-03-23 10:00:00,78.0,259.0,9380.0,3655.3653846153848,2022,eaglei_outages_2022_merged.csv,78.0
55085,Wisconsin,Oneida,2022-03-23 06:00:00,77.25,202.0,13565.0,4886.349514563107,2022,eaglei_outages_2022_merged.csv,77.25
55133,Wisconsin,Waukesha,2021-08-11 19:00:00,76.25,233.0,29256.0,8164.452459016394,2021,eaglei_outages_2021_merged.csv,76.25
55097,Wisconsin,Portage,2017-06-12 23:15:00,74.5,201.0,18682.0,8338.630872483222,2017,eaglei_outages_2017_merged.csv,74.5
55095,Wisconsin,Polk,2019-07-19 22:15:00,74.25,476.0,9152.0,4129.895622895623,2019,eaglei_outages_2019_merged.csv,74.25
55097,Wisconsin,Portage,2019-07-23 00:45:00,72.0,312.0,13035.0,3590.0798611111118,2019,eaglei_outages_2019_merged.csv,72.0
55085,Wisconsin,Oneida,2021-07-27 14:00:00,72.0,227.0,6375.0,2746.534722222222,2021,eaglei_outages_2021_merged.csv,72.0
55137,Wisconsin,Waushara,2017-06-14 19:45:00,71.75,219.0,9809.0,1929.362369337979,2017,eaglei_outages_2017_merged.csv,71.75
55009,Wisconsin,Brown,2022-06-15 23:45:00,70.25,255.0,36455.0,13101.049822064057,2022,eaglei_outages_2022_merged.csv,70.25
55075,Wisconsin,Marinette,2022-06-15 23:45:00,70.25,1034.0,7972.0,4432.843416370107,2022,eaglei_outages_2022_merged.csv,70.25
55087,Wisconsin,Outagamie,2019-07-20 02:45:00,69.75,258.0,42869.0,24972.05734767025,2019,eaglei_outages_2019_merged.csv,69.75
55107,Wisconsin,Rusk,2022-12-15 07:30:00,69.5,206.0,4418.0,2265.154676258993,2022,eaglei_outages_2022_merged.csv,69.5
55025,Wisconsin,Dane,2022-06-13 20:00:00,69.0,296.0,18824.0,3562.286231884058,2022,eaglei_outages_2022_merged.csv,69.0
55117,Wisconsin,Sheboygan,2022-06-16 01:15:00,69.0,200.0,11918.0,3376.626811594203,2022,eaglei_outages_2022_merged.csv,69.0
55067,Wisconsin,Langlade,2019-07-20 01:15:00,66.25,203.0,10116.0,2202.664150943396,2019,eaglei_outages_2019_merged.csv,66.25
55125,Wisconsin,Vilas,2022-03-23 07:15:00,65.0,208.0,13340.0,5281.726923076923,2022,eaglei_outages_2022_merged.csv,65.0
55135,Wisconsin,Waupaca,2019-07-20 08:15:00,64.25,201.0,13582.0,6356.809338521401,2019,eaglei_outages_2019_merged.csv,64.25
55085,Wisconsin,Oneida,2021-12-16 20:15:00,64.25,253.0,8980.0,3376.4280155642023,2021,eaglei_outages_2021_merged.csv,64.25
