fips,state,county,start_time,duration,min_customers,max_customers,mean_customers,year,source_file,duration_numeric
56037,Wyoming,Sweetwater,2020-09-08 06:00:00,47.5,323.0,6789.0,2795.694736842105,2020,eaglei_outages_2020_merged.csv,47.5
56029,Wyoming,Park,2022-05-30 14:30:00,42.0,264.0,277.0,268.60714285714283,2022,eaglei_outages_2022_merged.csv,42.0
56019,Wyoming,Johnson,2020-03-28 15:30:00,40.75,218.0,219.0,218.01226993865032,2020,eaglei_outages_2020_merged.csv,40.75
56011,Wyoming,Crook,2023-11-24 01:45:00,39.0,216.0,518.0,224.3717948717949,2023,eaglei_outages_2023_merged.csv,39.0
56021,Wyoming,Laramie,2020-03-15 18:15:00,30.5,202.0,19300.0,2310.5409836065573,2020,eaglei_outages_2020_merged.csv,30.5
56005,Wyoming,Campbell,2022-04-23 13:30:00,29.25,299.0,1647.0,525.8290598290598,2022,eaglei_outages_2022_merged.csv,29.25
56011,Wyoming,Crook,2023-09-16 14:15:00,29.0,555.0,880.0,697.0862068965517,2023,eaglei_outages_2023_merged.csv,29.0
56001,Wyoming,Albany,2020-06-09 03:30:00,25.75,211.0,9664.0,3821.7281553398057,2020,eaglei_outages_2020_merged.csv,25.75
56033,Wyoming,Sheridan,2021-10-12 11:00:00,22.25,495.0,2784.0,1234.2808988764043,2021,eaglei_outages_2021_merged.csv,22.25
56009,Wyoming,Converse,2020-09-08 08:45:00,20.0,282.0,2959.0,1168.425,2020,eaglei_outages_2020_merged.csv,20.0
56025,Wyoming,Natrona,2020-09-08 05:30:00,19.25,203.0,2728.0,901.1428571428572,2020,eaglei_outages_2020_merged.csv,19.25
56011,Wyoming,Crook,2023-09-17 20:15:00,17.75,658.0,880.0,768.0704225352113,2023,eaglei_outages_2023_merged.csv,17.75
56005,Wyoming,Campbell,2022-01-26 23:00:00,17.5,263.0,265.0,263.1714285714286,2022,eaglei_outages_2022_merged.csv,17.5
56029,Wyoming,Park,2014-11-29 10:00:00,16.5,329.0,329.0,329.0,2014,eaglei_outages_2014_merged.csv,16.5
56025,Wyoming,Natrona,2021-03-14 11:15:00,16.5,376.0,994.0,611.6515151515151,2021,eaglei_outages_2021_merged.csv,16.5
56011,Wyoming,Crook,2020-10-06 23:30:00,16.25,301.0,301.0,301.0,2020,eaglei_outages_2020_merged.csv,16.25
56007,Wyoming,Carbon,2020-09-05 23:30:00,15.25,524.0,621.0,585.5245901639345,2020,eaglei_outages_2020_merged.csv,15.25
56023,Wyoming,Lincoln,2020-09-08 07:45:00,15.25,234.0,1080.0,754.672131147541,2020,eaglei_outages_2020_merged.csv,15.25
56005,Wyoming,Campbell,2023-03-02 03:15:00,14.75,331.0,380.0,341.1694915254237,2023,eaglei_outages_2023_merged.csv,14.75
56001,Wyoming,Albany,2021-05-08 11:45:00,14.5,389.0,2306.0,1155.8620689655172,2021,eaglei_outages_2021_merged.csv,14.5
56011,Wyoming,Crook,2020-06-18 23:15:00,14.25,712.0,1241.0,762.719298245614,2020,eaglei_outages_2020_merged.csv,14.25
56005,Wyoming,Campbell,2021-12-23 02:45:00,14.0,605.0,605.0,605.0,2021,eaglei_outages_2021_merged.csv,14.0
56009,Wyoming,Converse,2021-01-14 01:45:00,13.75,310.0,507.0,408.3090909090909,2021,eaglei_outages_2021_merged.csv,13.75
56009,Wyoming,Converse,2021-10-20 12:15:00,13.75,280.0,1295.0,724.0727272727273,2021,eaglei_outages_2021_merged.csv,13.75
56003,Wyoming,Big Horn,2018-07-27 01:15:00,13.0,230.0,755.0,438.7692307692308,2018,eaglei_outages_2018_merged.csv,13.0
56011,Wyoming,Crook,2022-09-15 01:15:00,12.0,1388.0,1389.0,1388.25,2022,eaglei_outages_2022_merged.csv,12.0
56009,Wyoming,Converse,2017-12-22 05:30:00,11.25,838.0,2246.0,994.5111111111112,2017,eaglei_outages_2017_merged.csv,11.25
56021,Wyoming,Laramie,2018-05-28 04:30:00,11.0,262.0,311.0,272.6363636363636,2018,eaglei_outages_2018_merged.csv,11.0
56045,Wyoming,Weston,2020-07-31 06:45:00,11.0,221.0,1176.0,327.8636363636364,2020,eaglei_outages_2020_merged.csv,11.0
56005,Wyoming,Campbell,2021-01-14 00:30:00,10.75,484.0,1005.0,776.3255813953489,2021,eaglei_outages_2021_merged.csv,10.75
