ZCTA5CE20,total_pop,median_income,NAME
00601,16834,17526,ZCTA5 00601
00602,37642,20260,ZCTA5 00602
00603,49075,17703,ZCTA5 00603
00606,5590,19603,ZCTA5 00606
00610,25542,22796,ZCTA5 00610
00611,1315,22525,ZCTA5 00611
00612,63312,22305,ZCTA5 00612
00616,9625,23652,ZCTA5 00616
00617,22573,20328,ZCTA5 00617
00622,7577,22818,ZCTA5 00622
00623,39406,23132,ZCTA5 00623
00624,21648,20101,ZCTA5 00624
00627,32733,23263,ZCTA5 00627
00631,1431,15658,ZCTA5 00631
00636,1057,,ZCTA5 00636
00637,22882,20568,ZCTA5 00637
00638,17605,19796,ZCTA5 00638
00641,24299,17673,ZCTA5 00641
00646,35926,31330,ZCTA5 00646
00647,4702,17143,ZCTA5 00647
00650,13767,20363,ZCTA5 00650
00652,3924,26148,ZCTA5 00652
00653,8980,13777,ZCTA5 00653
00656,18121,21456,ZCTA5 00656
00659,37066,23899,ZCTA5 00659
00660,15483,22556,ZCTA5 00660
00662,40480,20283,ZCTA5 00662
00664,14967,17966,ZCTA5 00664
00667,23370,16889,ZCTA5 00667
00669,27529,18838,ZCTA5 00669
00670,8746,16644,ZCTA5 00670
00674,39385,20088,ZCTA5 00674
00676,36683,20160,ZCTA5 00676
00677,15304,26404,ZCTA5 00677
00678,25039,19558,ZCTA5 00678
00680,43173,16535,ZCTA5 00680
00682,30414,17385,ZCTA5 00682
00683,29547,18132,ZCTA5 00683
00685,40346,17481,ZCTA5 00685
00687,28659,22282,ZCTA5 00687
00688,11478,17273,ZCTA5 00688
00690,5781,23343,ZCTA5 00690
00692,33302,25289,ZCTA5 00692
00693,55570,23791,ZCTA5 00693
00694,98,,ZCTA5 00694
00698,33506,19818,ZCTA5 00698
00703,24475,23045,ZCTA5 00703
00704,6831,19845,ZCTA5 00704
00705,24401,22679,ZCTA5 00705
00707,10487,21765,ZCTA5 00707
00714,15797,18496,ZCTA5 00714
00715,2040,16250,ZCTA5 00715
00716,27166,20184,ZCTA5 00716
00717,15029,14164,ZCTA5 00717
00718,23289,20414,ZCTA5 00718
00719,29523,20533,ZCTA5 00719
00720,20816,16751,ZCTA5 00720
00723,15978,20967,ZCTA5 00723
00725,77244,25786,ZCTA5 00725
00727,53258,33678,ZCTA5 00727
00728,38590,21239,ZCTA5 00728
00729,47826,26978,ZCTA5 00729
00730,32267,17517,ZCTA5 00730
00731,10473,16944,ZCTA5 00731
00735,11164,23125,ZCTA5 00735
00736,45867,27158,ZCTA5 00736
00738,30093,24643,ZCTA5 00738
00739,34678,24887,ZCTA5 00739
00740,2034,18784,ZCTA5 00740
00741,3627,23821,ZCTA5 00741
00745,47494,26189,ZCTA5 00745
00751,19570,20241,ZCTA5 00751
00754,36576,19528,ZCTA5 00754
00757,20048,22764,ZCTA5 00757
00765,8199,17062,ZCTA5 00765
