SEASON,NAME,LAT,LON,USA_R34_NE,USA_R34_SE,USA_R34_SW,USA_R34_NW
1851,UNNAMED,28.0,-94.8,,,,
1851,UNNAMED,28.0,-95.4,,,,
1851,UNNAMED,28.0,-96.0,,,,
1851,UNNAMED,28.1,-96.5,,,,
1851,UNNAMED,28.2,-96.8,,,,
1851,UNNAMED,28.2,-97.0,,,,
1851,UNNAMED,28.3,-97.6,,,,
1851,UNNAMED,28.4,-98.3,,,,
1851,UNNAMED,28.6,-98.9,,,,
1851,UNNAMED,29.0,-99.4,,,,
1851,UNNAMED,29.5,-99.8,,,,
1851,UNNAMED,30.0,-100.0,,,,
1851,UNNAMED,30.5,-100.1,,,,
1851,UNNAMED,31.0,-100.2,,,,
1851,UNNAMED,22.2,-97.6,,,,
1851,UNNAMED,12.0,-60.0,,,,
1851,UNNAMED,13.4,-48.0,,,,
1851,UNNAMED,13.7,-49.5,,,,
1851,UNNAMED,14.0,-51.0,,,,
1851,UNNAMED,14.4,-52.8,,,,
1851,UNNAMED,14.9,-54.6,,,,
1851,UNNAMED,15.4,-56.5,,,,
1851,UNNAMED,15.9,-58.5,,,,
1851,UNNAMED,16.1,-60.4,,,,
1851,UNNAMED,16.6,-62.5,,,,
1851,UNNAMED,16.9,-64.1,,,,
1851,UNNAMED,17.2,-66.0,,,,
1851,UNNAMED,17.6,-67.6,,,,
1851,UNNAMED,18.0,-69.3,,,,
1851,UNNAMED,18.4,-71.1,,,,
1851,UNNAMED,18.9,-72.6,,,,
1851,UNNAMED,19.4,-74.3,,,,
1851,UNNAMED,19.9,-75.9,,,,
1851,UNNAMED,20.5,-77.6,,,,
1851,UNNAMED,21.2,-79.0,,,,
1851,UNNAMED,21.9,-80.4,,,,
1851,UNNAMED,22.6,-81.4,,,,
1851,UNNAMED,23.2,-82.5,,,,
1851,UNNAMED,23.9,-83.6,,,,
1851,UNNAMED,24.4,-84.3,,,,
1851,UNNAMED,25.0,-84.9,,,,
1851,UNNAMED,25.6,-85.5,,,,
1851,UNNAMED,26.2,-86.0,,,,
1851,UNNAMED,26.8,-86.3,,,,
1851,UNNAMED,27.4,-86.5,,,,
1851,UNNAMED,28.0,-86.6,,,,
1851,UNNAMED,28.5,-86.6,,,,
1851,UNNAMED,29.6,-86.1,,,,
1851,UNNAMED,30.1,-85.7,,,,
1851,UNNAMED,30.7,-85.1,,,,
1851,UNNAMED,31.6,-84.1,,,,
1851,UNNAMED,32.5,-83.0,,,,
1851,UNNAMED,33.4,-81.4,,,,
