lon,lat,address,folio,rescomm,propuse,prob_modelA,prob_modelD
-80.32205480084967,25.71620564546746,7887SW 58TH ST,3040270050130,R,0220,0.21038653,0.59488004
-80.34849826891643,25.71199370103979,6020SW 94TH PL,3040280151140,R,0220,0.2221035,0.59058654
-80.31014528446082,25.702027754270283,7320SW 72ND AVE,3040350160040,R,0220,0.093185514,0.582321
-80.33912964629187,25.7275026455681,4401SW 89TH AVE,3040210310010,R,0220,0.22773807,0.6098503
-80.36550322183626,25.71484072038816,10600SW 56TH TER,3040290690040,R,0220,0.0,0.0
-80.24283965589024,25.819653927189933,4900NW 29TH AVE,3031210090220,R,0220,0.15221171,0.70304173
-80.31173910148905,25.70076887079365,7288SW 74TH LN,3040350600190,R,0220,0.11231919,0.60658175
-80.36233485215108,25.75087928864834,10311SW 20TH ST,3040080310210,R,0220,0.0,0.0
-80.34684243399761,25.75369068490235,1701SW 93RD PL,3040090071560,R,0220,0.5445529,0.6089772
-80.24489279948953,25.839606258837268,7200NW 29TH CT,3031090001062,C,1734,0.9425408,0.7100155
-80.28932856329648,25.737764529392688,5800SW 35TH ST,3040130181910,R,0220,0.90352637,0.5771634
-80.23319035735011,25.825232933407303,5420NW 22ND AVE,3031150550010,C,1822,0.16862826,0.7406772
-80.37374811043088,25.709995777835342,11090SW 61ST TER,3040300041290,R,0220,0.0,0.0
-80.3645221375785,25.72077303673255,10431SW 50TH TER,3040200110960,R,0220,0.0,0.0
-80.34122587219389,25.751842707107922,1840SW 89TH PL,3040090053600,R,0220,0.91165215,0.61304677
-80.34071863128219,25.754274143596543,8931SW 17TH ST,3040090052470,R,0220,0.24705024,0.6858772
-80.2692501288366,25.703674691542926,7320SW 47TH AVE,3041310110090,R,0220,0.1762684,0.47874373
-80.3880818994972,25.734861587009448,11905SW 37TH ST,3049130011530,R,0220,0.0,0.0
-80.20536441350211,25.880603197088963,325NW 115TH ST,3021360270150,C,1521,0.12575805,0.61929506
