name,facility_type,lat,lon,osm_id,osm_type
Navos West Seattle Campus,hospital,47.534445,-122.366224,356551783,node
The Seattle Facial Plastic Surgery Center,hospital,47.6091703,-122.3242052,9525009816,node
VA Medical Center - Seattle,hospital,47.5630065,-122.3082632,53615315,way
Swedish Medical Center Ballard Campus,hospital,47.6675911,-122.3802424,292245531,way
Kaiser Permanente Capitol Hill Campus,hospital,47.6199564,-122.3120786,297300958,way
Virginia Mason Hospital & Seattle Medical Center,hospital,47.6100706,-122.3278853,297302349,way
Swedish First Hill Medical Center,hospital,47.6086102,-122.3222589,333369584,way
Overlake Medical Center,hospital,47.6209671,-122.1869413,391949890,way
EvergreenHealth Kirkland,hospital,47.7153387,-122.1783439,485040439,way
Fairfax Hospital,hospital,47.719426,-122.2046766,485042186,way
Cascade Behavioral Health,hospital,47.487416,-122.2957506,485149429,way
Schick Shadel Hospital,hospital,47.4945774,-122.3506862,485155451,way
Eastside Therapeutic Resource,hospital,47.6684163,-122.1957553,606899516,way
Swedish Medical Center Cherry Hill Campus,hospital,47.6071124,-122.310904,1066764914,way
hospital facility,hospital,47.7148641,-122.3372123,1255971088,way
C-Wing,hospital,47.7147962,-122.3377343,1379407233,way
Seattle Children's Hospital,hospital,47.663096,-122.2829494,7528363,relation
Will Rogers Wiley Post Memorial Seaplane Base,aerodrome,47.5005893,-122.218066,369034414,node
Seattle Seaplane Base,aerodrome,47.6319714,-122.327634,369034474,node
Kenmore Air Seaplane Terminal,aerodrome,47.6283095,-122.339185,985938850,node
Seaplane Scenics at Carillon Point Seaplane Base,aerodrome,47.6599868,-122.2096996,8226921140,node
Seattle-Tacoma International Airport,aerodrome,47.4474579,-122.3083543,50898115,way
Kenmore Air Harbor Seaplane Base,aerodrome,47.7571204,-122.2579166,369168334,way
Renton Municipal Airport,aerodrome,47.4928298,-122.2146325,660420771,way
Boeing Field,aerodrome,47.5297822,-122.3034331,537472,relation
University of Washington Power Plant,power_plant,47.6537362,-122.3036345,54216361,way
University of Washington West Campus Utility Plant,power_plant,47.653926,-122.3129945,499392301,way
Seattle School District Office,government,47.5242196,-122.271419,356552256,node
Seattle Fire Department Headquarters,government,47.5340183,-122.35474,366028866,node
Burien City Hall,government,47.4670593,-122.339669,1112311108,node
King County District Court - Southwest Division,government,47.4693456,-122.3423767,1837028267,node
Ballard Neighborhood Service Center,government,47.6696277,-122.3845453,1921012551,node
City of Seattle Customer Service Center,government,47.6623262,-122.3129183,2323794524,node
Department of Social and Health Services,government,47.6129029,-122.343317,2327723133,node
Metropolitan Improvement District,government,47.6126674,-122.3379854,2327794622,node
Seattle Public Utilities,government,47.5791863,-122.3207448,2350331317,node
Washington State Department of Social & Health Services,government,47.5981291,-122.333926,2351730628,node
Federal Bureau of Investigation Seattle Field Office,government,47.6066348,-122.3346851,2404269676,node
Rainier Vehicle and Vessel Licensing,government,47.5683323,-122.2880562,2417181566,node
Northgate Community Field Office,government,47.699021,-122.3416575,2462239463,node
City of Seattle Customer Service Center,government,47.7200331,-122.2979936,2462452923,node
Kirkland Municipal Court,government,47.7066359,-122.1851216,2910163149,node
King County Elections,government,47.468374,-122.2299395,2968207781,node
Northshore Public Health at Totem Lake,government,47.7176687,-122.1784328,3343055124,node
Washington State Department of Licensing,government,47.6058757,-122.335444,3655948026,node
Social Security Administration,government,47.6165293,-122.179817,3810550771,node
Juvenile Court,government,47.6047898,-122.3159984,3985538276,node
Renton Licensing,government,47.4786588,-122.2068057,4238341122,node
Department of Veterans Affairs Office,government,47.4810485,-122.2113519,4238462695,node
Renton Area Youth & Family Services,government,47.4795342,-122.2032404,4238467189,node
Renton Chamber of Commerce,government,47.4779914,-122.2087109,4238539389,node
King County GIS Center,government,47.5989514,-122.3313462,4317625603,node
Department of Corrections - Seattle Community Justice Center,government,47.588957,-122.328301,4359596989,node
Parks & Community Services,government,47.6791187,-122.2098912,4428557291,node
Human Resources,government,47.6790386,-122.2098826,4428565089,node
City of Seattle Transportation Department Traffic Shops,government,47.5649243,-122.3222262,4455850692,node
King County Voter Registration Annex,government,47.6028691,-122.3294698,4562924290,node
Georgetown License,government,47.5478927,-122.3222155,4621620911,node
Washington State Ferries,government,47.618249,-122.3520729,4848508508,node
Seattle Passport Agency,government,47.6020475,-122.3273227,5272783231,node
Bellevue Chamber of Commerce,government,47.6134535,-122.190368,5366914824,node
King County Vital Statistics,government,47.6051575,-122.3240344,5514598015,node
Renton Community Services Office,government,47.4741425,-122.222711,5895581985,node
US Social Security Administration,government,47.6020509,-122.3271232,6736099986,node
Puget Sound Regional Council,government,47.6042316,-122.3379591,6780355245,node
Regional Transportation Planning Organization,government,47.6043202,-122.3380503,6780355246,node
Washington State Labor Council,government,47.5994614,-122.3118809,7618827785,node
