name,facility_type,lat,lon,osm_id,osm_type
Chicago Midway International Airport,aerodrome,41.7862383,-87.7522948,17896207,relation
Forest View Fire Department,fire_station,41.8088479,-87.7979528,7262555849,node
Chicago Fire Department Engine Company 1,fire_station,41.8762426,-87.6333587,74269533,way
Chicago Fire Department Engine Company 98,fire_station,41.8970782,-87.6226403,143762100,way
Chicago Fire Department Engine Company 60,fire_station,41.7954212,-87.5976265,144458837,way
Chicago Fire Department Engine Company 5,fire_station,41.877188,-87.6443087,150857069,way
Chicago Fire Department Engine Company 42,fire_station,41.8905725,-87.6300598,153291613,way
Chicago Fire Academy,fire_station,41.8693636,-87.6417205,155559107,way
Chicago Fire Department Survive Alive House,fire_station,41.8694355,-87.6410954,155559121,way
Chicago Fire Department Engine Company 112,fire_station,41.9507657,-87.6783136,156494972,way
Chicago Fire Department Engine Company 99,fire_station,41.8373236,-87.7283208,162292468,way
Chicago Fire Department Engine Company 95,fire_station,41.883016,-87.7262981,162314599,way
Chicago Fire Department Engine Company 76,fire_station,41.9132323,-87.7261046,162386447,way
Chicago Fire Department Engine Company 91,fire_station,41.9325793,-87.7266561,162433688,way
Chicago Fire Department Engine Company 69,fire_station,41.954138,-87.7336407,162446838,way
Chicago Fire Department Engine Company 89,fire_station,41.9898589,-87.7280491,162472394,way
Chicago Fire Department Engine Company 127,fire_station,41.7786107,-87.7525448,162498452,way
Chicago Fire Department Engine Company 113,fire_station,41.8731854,-87.7554801,162512428,way
Chicago Fire Department Engine Company 96,fire_station,41.8884111,-87.7674064,162514324,way
Chicago Fire Department Engine Company 117,fire_station,41.8952739,-87.7487038,162520968,way
Chicago Fire Department Engine Company 68,fire_station,41.9175879,-87.7580999,162547035,way
Chicago Fire Department Engine Company 7,fire_station,41.9385245,-87.749937,162624577,way
Chicago Fire Department Engine Company 108,fire_station,41.9646877,-87.7576004,162702301,way
Chicago Fire Department Engine Company 79,fire_station,41.9981703,-87.7665359,162836508,way
Chicago Fire Department Engine Company 32,fire_station,41.790744,-87.7814063,162849214,way
Chicago Fire Department Engine Company 125,fire_station,41.9225994,-87.7875357,163043284,way
Chicago Fire Department Engine Company 94,fire_station,41.9496992,-87.7715722,163162993,way
Chicago Fire Department Engine Company 119,fire_station,41.9907531,-87.7985243,163331053,way
Chicago Fire Department Engine Company 64,fire_station,41.7530451,-87.7215852,163526812,way
Chicago Fire Department Engine Company 34,fire_station,41.8081384,-87.7251947,163667476,way
Chicago Fire Department Engine Company 38,fire_station,41.8586287,-87.7243302,163773530,way
Chicago Fire Department Engine Company 44,fire_station,41.88881,-87.7066483,163779320,way
Chicago Fire Department Engine Company 124,fire_station,41.962068,-87.7086078,163944074,way
Chicago Fire Department Engine Company 15,fire_station,41.7471426,-87.7026925,165098011,way
Chicago Fire Department Engine Company 65,fire_station,41.8175389,-87.6996983,165150816,way
Chicago Fire Department Engine Company 63,fire_station,41.7735655,-87.5899278,187916237,way
Skokie Fire Department Station #16,fire_station,42.0160046,-87.7612736,194573970,way
Niles Fire Department Station #3,fire_station,42.0146606,-87.7921188,201512184,way
Chicago Fire Department Engine Company 107,fire_station,41.868108,-87.6956403,209357209,way
Chicago Fire Department Engine Company 57,fire_station,41.9045657,-87.687445,209388181,way
Chicago Fire Department Engine Company 43,fire_station,41.920933,-87.696461,209401152,way
Chicago Fire Department Engine Company 56,fire_station,41.93791,-87.6838463,209453596,way
Chicago Fire Department Engine Company 106,fire_station,41.9430726,-87.703233,209463961,way
Chicago Fire Department Engine Company 110,fire_station,41.9761585,-87.6877574,209484037,way
Chicago Fire Department Engine Company 71,fire_station,41.9951386,-87.6992481,209569695,way
Chicago Fire Department Engine Company 129,fire_station,41.7460082,-87.663703,209633337,way
Chicago Fire Department Engine Company 101,fire_station,41.768649,-87.6801297,209652928,way
Chicago Fire Department Engine Company 116,fire_station,41.7851883,-87.6639872,209672515,way
Chicago Fire Department Engine Company 123,fire_station,41.8008946,-87.6801401,209700474,way
Chicago Fire Department Engine Company 49,fire_station,41.8137592,-87.6647051,209708306,way
Chicago Fire Department Special Operations Section,fire_station,41.8218731,-87.6717804,209709735,way
Chicago Fire Department Engine Company 39,fire_station,41.8334805,-87.6663567,209711089,way
Chicago Fire Department Engine Company 23,fire_station,41.855218,-87.6756066,209782346,way
Chicago Fire Department Engine Company 103,fire_station,41.8807265,-87.6641394,209828486,way
Chicago Fire Department Engine Company 26,fire_station,41.881519,-87.6818716,209828487,way
Chicago Fire Department Engine Company 30,fire_station,41.9023126,-87.6671317,209846174,way
Chicago Fire Department  Engine Company 35,fire_station,41.916231,-87.6772235,209863934,way
Chicago Fire Department Engine Company 70,fire_station,41.9916096,-87.6705501,209950678,way
Chicago Fire Department Engine Company 102,fire_station,42.0149657,-87.6754007,209956863,way
Chicago Fire Department Engine Company 73,fire_station,41.7368362,-87.6427222,210063056,way
Chicago Fire Department Engine Company 88,fire_station,41.7858125,-87.714739,210150842,way
Chicago Fire Department Engine Company 50,fire_station,41.803264,-87.6433023,210159117,way
Chicago Fire Department Engine Company 29,fire_station,41.8305264,-87.6421555,210167418,way
Chicago Fire Department Engine Company 28,fire_station,41.8455807,-87.6563362,210221626,way
Chicago Fire Department Engine Company 18,fire_station,41.8645088,-87.6560346,210257144,way
Chicago Fire Department EMS & Paramedic Office,fire_station,41.8644296,-87.6411388,210257875,way
Chicago Fire Department Engine Company 14,fire_station,41.8959954,-87.6562525,210306940,way
Chicago Fire Department Engine Company 4,fire_station,41.9039753,-87.6429423,210306941,way
Chicago Fire Department Engine Company 22,fire_station,41.9179294,-87.6439844,210314886,way
Chicago Fire Department Engine Company 55,fire_station,41.9320879,-87.6493387,210320783,way
Chicago Fire Department Engine Company 78,fire_station,41.9492454,-87.6565258,210328543,way
Chicago Fire Department Engine Company 83,fire_station,41.965643,-87.6599928,210381667,way
Chicago Fire Department Engine Company 122,fire_station,41.7507918,-87.6209815,210500611,way
Chicago Fire Department Engine Company 54,fire_station,41.7651501,-87.6379898,210514472,way
Chicago Fire Department Engine Company 84,fire_station,41.7871009,-87.6263445,210520301,way
Chicago Fire Department Engine Company 8,fire_station,41.8531498,-87.6323635,210537355,way
Chicago Fire Department - Air Mask Services,fire_station,41.9018896,-87.6376798,210680506,way
Chicago Fire Department Engine Company 47,fire_station,41.773238,-87.6138719,210873503,way
Chicago Fire Department Engine Company 45,fire_station,41.8112113,-87.6069408,210913124,way
Chicago Fire Department Engine Comnpany 19,fire_station,41.832292,-87.6178068,210962158,way
Chicago Fire Department Engine Company 72,fire_station,41.7496622,-87.5835915,211120469,way
