facility_type,lon,lat,name
aerodrome,36.2863675,36.3613271,Hatay Havaalanı
police,36.3623427,36.4833268,Kırıkhan İlçe Emniyet Müdürlüğü
police,36.4512973,36.142139,
police,36.2067339,36.3543247,Serinyol Jandarma Komutanlığı
police,36.2476567,36.1174306,Altınözü Kaymakamlık Lojmanı Polis Noktası
police,36.1815399,36.5072295,Belen Kaymakamlık Lojmanı Polis Noktası
government,36.1610536,36.2011777,Noter
government,36.1650933,36.2088629,Noter
government,36.1629706,36.2143893,HATAY BÜYÜKŞEHİR BELEDİYESİ EK HİZMET BİNASI
government,36.1641471,36.1952177,Antakya Belediyesi Toplum Merkezi
government,36.1644428,36.1949259,Antakya Belediyesi Evlendirme Dairesi
government,36.4511322,36.141896,
government,36.1283841,36.2248936,Hatay Adliyesi
government,36.1597202,36.202664,Hatay Büyükşehir Belediyesi
government,36.1593828,36.1981661,Hatay İl Nüfus ve Vatandaşlık Müdürlüğü
government,36.1310452,36.2061465,Defne Belediyesi Ek Hizmet Binası
government,36.1462263,36.1939268,Defne Belediyesi Hizmet Binası
government,36.1449886,36.195659,Defne Kaymakamlığı
government,36.1593437,36.1978388,Hatay Milli Eğitim Müdürlüğü
government,36.1599399,36.1971611,Şükrü Kanatlı Vergi Dairesi
government,36.1595643,36.2158966,Antakya Belediyesi
government,36.1595816,36.2019325,Hatay Ticaret ve Sanayi Odası
government,36.1252582,36.1798389,Defne Belediyesi (Subaşı Ek Hizmet Binası)
government,36.1550301,36.204728,Antakya Kaymakamlığı
government,36.1539841,36.2202968,Hatay İl Millieğitim Müdürlüğü
government,36.1207167,36.2388603,HATAY ORMAN BÖLGE MÜDÜRLÜĞÜ
government,36.226297,36.3684388,Hatay İl Afet ve Acil Durum Müdürlüğü
government,36.2256737,36.3680931,Hatay 112 Acil Çağrı Merkezi Müdürlüğü
government,36.2253558,36.3681502,Hatay İl Afet ve Acil Durum Müdürlüğü
government,36.1717886,36.2065745,AFAD
government,36.1423014,36.1415872,Defne Belediyesi
government,36.1600043,36.2135395,T.C. Hatay Valiliği Çevre Şehircilik ve İklim Değişikliği İl Müdürlüğü
government,36.159987,36.2145772,DSİ 63.Şube Müdürlüğü
government,36.1572678,36.2162772,T.C. Hatay Valiliği Çocuk Evleri Sitesi Müdürlüğü
government,36.158344,36.2165466,T.C. Hatay Valiliği Gıda Tarım ve Hayvancılık İl Müdürlüğü
government,36.2473212,36.1175755,Altınözü Kaymakamlık Lojmanı
government,36.2475636,36.1176276,Altınözü Kaymakamlık Lojmanı
government,36.182006,36.5069528,Belen Kaymakamlık Lojmanı
government,36.1818427,36.506986,Belen Kaymakamlık Lojmanı
substation,36.2738073,36.4147472,Antakya-II TM
substation,36.0424923,36.1049081,Samandağ RES TM
substation,36.1129282,36.2051372,Antakya-III TM
substation,36.1108493,36.2037593,Hatay TM
substation,36.1682283,36.5373543,İskenderun-III TM
substation,36.2360379,36.4490122,Şenbük RES TM
substation,36.1161942,36.423026,Çerçikaya RES TM
substation,36.2125648,36.4783222,Belen RES TM
substation,36.2162367,36.5068443,Atik Belen TM
substation,36.0140693,36.0553893,Samandağ TM
substation,36.1392575,36.1878323,
substation,36.1033032,36.4485574,Karlıtepe RES substation
substation,36.1625075,36.2641322,
