facility_type,lon,lat,name
hospital,-90.0959335,29.9260131,Community Care Hospital
hospital,-90.0301286,29.8659914,United Medical Rehabilitation Hospitals
hospital,-89.9478253,30.071367,Saint Catherine Memorial Hospital
hospital,-90.0771038,29.9373014,Saint Charles Surgical Hospital
hospital,-89.9756088,30.0292289,NOEH Emergency
hospital,-90.1540213,29.961469,Ochsner Rehabilitation Hospital
hospital,-90.1531322,29.9935673,Crescent City Surgical Centre
hospital,-90.1244188,29.9253432,Children's Hospital Calhoun Campus
hospital,-90.0921924,29.9260063,Touro Infirmary
hospital,-90.1044117,29.9377578,Ochsner Baptist Medical Center
hospital,-90.1455925,29.9609679,Ochsner Medical Center
hospital,-90.0851361,29.9615183,Southeast Louisiana Veterans Health Care System
hospital,-89.9748993,30.029192,New Orleans East Hospital
hospital,-90.1866108,29.9972375,Tulane Lakeside Hospital for Women and Children
hospital,-90.1811165,30.0137285,East Jefferson General Hospital
hospital,-90.2023317,29.9623972,River Oaks Hospital
hospital,-90.1842755,29.9632746,Ochsner Health Center - Elmwood
hospital,-90.1276845,29.9177843,Childrens Hospital
hospital,-90.0932279,29.924934,Seaside Behavioral Center
hospital,-90.0821264,29.9594849,University Medical Center
hospital,-90.0762701,29.9558065,Tulane Medical Center
hospital,-90.0273339,29.8845972,Ochsner Medical Center - West Bank Campus
hospital,-90.0944024,29.8917311,West Jefferson Medical Center
hospital,-89.9886426,29.955125,Saint Bernard Parish Hospital
hospital,-90.1592063,29.9991536,Omega Hospital
aerodrome,-90.0206676,29.866889,Southern Seaplane Base
aerodrome,-89.9247561,29.9412617,Fisher's Field
aerodrome,-90.2644643,29.9939027,Louis Armstrong New Orleans International Airport
aerodrome,-90.0251864,30.0425634,New Orleans Lakefront Airport
aerodrome,-90.0694753,29.9030656,Jefferson Parish Sheriff's Office Heliport
power_plant,-90.1483939,29.9461767,Nine Mile Point Power Plant
power_plant,-89.9361608,30.0124567,New Orleans Power Station
power_plant,-90.0237846,30.0111632,New Orleans Solar Power Plant
power_plant,-90.0286101,29.9927789,TCI Alvar Solar Farm
power_plant,-89.976945,29.9348957,CII Carbon LLC Oil Plant
power_plant,-90.1622521,29.9241635,
fire_station,-90.0577347,29.9621423,New Orleans Fire Department Engine 9
fire_station,-90.176166,29.9300812,Bridge City Volunteer Fire Company
fire_station,-90.12844,29.88551,Marrero - Ragusa Volunteer Fire Department
fire_station,-90.09791,29.86317,Marrero - Estelle Volunteer Fire Department
fire_station,-90.0726576,29.905419,Harvey Volunteer Fire Company
fire_station,-90.0330128,29.911383,Terrytown Volunteer Fire Department
fire_station,-90.11357,29.83092,Marrero - Estelle Volunteer Fire Department
fire_station,-90.05506,29.8727,Harvey Volunteer Fire Company
fire_station,-90.0318388,29.8856344,Terrytown Volunteer Fire Department
fire_station,-90.0222384,29.8994903,Terrytown Volunteer Fire Department
fire_station,-90.1091212,29.9849,New Orleans Fire Department Communications Division
fire_station,-90.0472766,29.8969798,Gould Volunteer Fire Company
fire_station,-90.20168,29.95379,Harahan Fire Department
fire_station,-90.2254,29.96519,Jefferson Parish Third District Volunteer Fire Department
fire_station,-90.0532403,29.9285484,Gould Volunteer Fire Company
fire_station,-90.18949,29.96538,Eastbank Consolidated Fire Department
fire_station,-90.03322,29.86296,Terrytown Volunteer Fire Department
fire_station,-89.9292304,30.018969,New Orleans Fire Department Training Division
fire_station,-90.2078186,29.8991764,Avondale Volunteer Fire Department
fire_station,-90.1819609,29.9765163,Eastbank Consolidated Fire Department Station 16
fire_station,-90.1816602,29.9765955,Eastbank Consolidated Fire Department Station 13
fire_station,-90.1407606,29.9803678,Eastbank Consolidated Fire Department Station 14
fire_station,-90.190679,29.9498077,Eastbank Consolidated Fire Department Station 19
fire_station,-90.0842012,29.9249606,New Orleans Fire Department Engine 1
fire_station,-90.1554264,30.0121772,Eastbank Consolidated Fire Department Station 18
fire_station,-90.0713692,29.9626983,New Orleans Fire Department Haz Mat and Fire Rescue and Engine 7
fire_station,-90.023588,30.0227648,New Orleans Fire Department Engine 4
fire_station,-90.0949074,29.9349083,New Orleans Fire Department Engine 11
fire_station,-90.0516875,30.0163482,New Orleans Fire Department Engine 12
fire_station,-90.0358501,29.9835375,New Orleans Fire Department Engine 8
fire_station,-90.0805322,29.9415185,New Orleans Fire Department Squirt 16 and Ladder 8
fire_station,-90.1168014,29.9252685,New Orleans Fire Department Engine 15 and Ladder 5
fire_station,-90.0776744,29.9572296,New Orleans Fire Department Squirt 14 and Ladder 2
fire_station,-90.0516754,29.9484587,New Orleans Fire Department Engine 20
fire_station,-90.1059702,30.0042732,New Orleans Fire Department Engine 18
fire_station,-89.9934625,29.9133618,New Orleans Fire Department Engine 17
fire_station,-90.0961363,29.9669384,New Orleans Fire Department Engine 26 and Ladder 9
fire_station,-90.1200136,29.9568343,New Orleans Fire Department EngineNew Orleans Fire Department Engine 25 and Ladder 7
fire_station,-90.0318362,29.9644188,New Orleans Fire Department Engine 24 and Ladder 4
fire_station,-90.0140467,29.9655494,New Orleans Fire Department Engine 22
fire_station,-90.0926621,29.9814122,New Orleans Fire Department Engine 35
fire_station,-90.0204405,29.939908,New Orleans Fire Department Engine 33 and Ladder 6
fire_station,-90.1394384,29.9630851,Eastbank Consolidated Fire Department Station 12
fire_station,-90.0318841,29.9300822,New Orleans Fire Department Engine 40
fire_station,-89.9685713,30.0273446,New Orleans Fire Department Squirt 36 and Ladder 13
fire_station,-90.0139999,29.9656762,New Orleans Fire Department Engine 39
fire_station,-90.1078652,29.9377172,New Orleans Fire Department Engine 38
fire_station,-90.0696009,29.9448158,New Orleans Supply Division Fire Station
fire_station,-90.0726773,29.9478138,New Orleans Second District Chief Office and Flying Squad Fire Station
fire_station,-90.0956722,29.9012005,Marrero - Harvey Volunteer Fire Department
fire_station,-90.0655128,29.9541504,New Orleans Fire Headquarters and Squirt 29 Fire Station
fire_station,-90.2399856,30.028525,Kenner Fire Station 37
fire_station,-90.0450137,29.8525541,Harvey Volunteer Fire Company
fire_station,-89.9260801,30.0311371,New Orleans Fire Department Engine 37
fire_station,-89.948739,30.0630172,New Orleans Fire Department Engine 10
fire_station,-90.2398914,30.0175939,Kenner Fire Rescue 379
fire_station,-90.218047,30.0119359,Eastbank Cosolidated Fire Department Station 17
fire_station,-89.9840321,29.9561383,Saint Bernard Parish Fire Department
fire_station,-90.0586198,29.9793169,New Orleans Fire Department Squirt 27
fire_station,-90.2424063,29.9897321,Kenner Fire Station 35
fire_station,-90.2408142,29.9969217,Chief William R. Mancuso Fire Headquarters
fire_station,-90.1617586,29.9635158,Eastbank Consolidated Fire Department Station 11
fire_station,-90.227979,29.9909342,Third District Volunteer Fire Department
fire_station,-90.1347993,29.9972133,Jefferson Parish Fire Station 15
fire_station,-90.1429052,29.9788882,East Bank Consolidated Fire Department
fire_station,-90.22739,29.9121003,Herbert Wallace Memorial Volunteer Fire Department
fire_station,-89.9905323,29.9583383,
fire_station,-90.0740624,29.9979064,New Orleans Fire Department Engine 21
fire_station,-90.0990329,30.0192073,New Orleans Fire Department Engine 13 and Ladder 12
