facility_type,lon,lat,name
hospital,-80.19296,25.8237323,Douglas Gardens Hospital
hospital,-80.177,25.889921,Saint Catherine's Rehabilitation Hospital
hospital,-80.3382285,25.684005,Baptist Children's Hospital
hospital,-80.2540819,25.742333,Coral Gables Acupuncture
hospital,-80.1406461,25.7845261,Miami Beach Urgent Care
hospital,-80.266086,25.8155566,DeLaCalle Medical Center
hospital,-80.2142146,25.8596138,North Shore Medical Center Emergency Room
hospital,-80.140543,25.777466,Baptist Health South Florida
hospital,-80.2829593,25.8186716,Miami Springs Nursing And Rehab Center
hospital,-80.3315234,25.9003369,Select Specialty Hospital - Miami Lakes
hospital,-80.3429732,25.8837555,Saint Catherine's West Rehabilitation Hospital
hospital,-80.3215341,25.860337,Southern Winds
hospital,-80.2789477,25.7637168,Kindred Hospital - South Florida - Coral Gables
hospital,-80.3323335,25.9139935,United Dental Specialists
hospital,-80.2117611,25.7920593,Jackson Memorial Emergency Department
hospital,-80.1408505,25.8139728,Mount Sinai Emergency Department
hospital,-80.2128361,25.7400525,Mercy Hospital Emergency Department
hospital,-80.1347815,25.8136211,Stems Health Regenerative Medicine Miami
hospital,-80.2106874,25.7909879,Bascom Palmer Eye Institute/Anne Bates Leach Eye Hospital
hospital,-80.3165827,25.7468319,West Gables Rehabilitation Hospital
hospital,-80.3260853,25.8862089,Palmetto General Hospital
hospital,-80.1418569,25.8134778,Mount Sinai Medical Center
hospital,-80.1938026,25.8233923,Miami Jewish Health Systems
hospital,-80.2083983,25.7910986,Highland Park Pavilion
hospital,-80.2030738,25.9303889,Jackson North Medical Center
hospital,-80.1888413,25.8127215,Care Resource
hospital,-80.210852,25.7770165,Select Specialty Hospital - Miami
hospital,-80.292982,25.7060157,Larkin Community Hospital
hospital,-80.2740057,25.7243779,Doctors Hospital
hospital,-80.2944963,25.7412351,Nicklaus Children's Hospital
hospital,-80.3177518,25.747334,Westchester General Hospital
hospital,-80.2138059,25.7885059,Sylvester Comprehensive Cancer Center
hospital,-80.2163404,25.7884714,University of Miami Hospital
hospital,-80.2094878,25.7907229,Jackson Behavioral Health Hospital
hospital,-80.2171429,25.7918018,Miami Veterans Affairs Medical Center
hospital,-80.2119924,25.7917921,Jackson Memorial Hospital
hospital,-80.214835,25.7409348,Mercy Hospital
hospital,-80.2551562,25.7434547,Coral Gables Hospital
hospital,-80.2940221,25.7790447,The Miami Medical Center
hospital,-80.3117508,25.8684517,Larkin Community Hospital Palm Springs Campus
hospital,-80.2141557,25.8597629,North Shore Medical Center
hospital,-80.2686192,25.8456769,Hialeah Hospital
hospital,-80.3964926,25.6870034,Leon Medical Centers
hospital,-80.3231894,25.7989796,Jackson West Medical Center
hospital,-80.2940078,25.7047486,Baptist Rehabilitation Hospital
aerodrome,-80.1745006,25.7756375,Watson Island International Seaplane Base
aerodrome,-80.1775503,25.7834634,Miami Seaplane Base
aerodrome,-80.2918816,25.7955406,Miami International Airport
aerodrome,-80.2753172,25.9057006,Miami-Opa Locka Executive Airport
power_plant,-80.1528142,25.7484995,Central District Wastewater Treatment Plant
power_plant,-80.383755,25.7915306,IKEA Miami 327 Solar
power_plant,-80.1971289,25.7989857,Wynwood Energy Storage
fire_station,-80.1301581,25.7802585,Miami Beach - Beach Patrol Ocean Rescue
fire_station,-80.1666667,25.8955556,North Miami East Fire Station
fire_station,-80.3488889,25.8108333,Saga Bay Fire Station
fire_station,-80.28,25.9536111,Honey Hill Fire Station
fire_station,-80.2447222,25.9136111,Bunche Park Fire Station
fire_station,-80.2888889,25.8075,Airport North Side Fire Station
fire_station,-80.3485901,25.8102237,Miami Dade Fire / Rescue
fire_station,-80.3171737,25.9048435,South Florida Fire Fighters
fire_station,-80.2603962,25.7458691,Coral Gables Fire Department Station 1
fire_station,-80.2799625,25.8267032,Hialeah Fire Department Station 1
fire_station,-80.2416796,25.8333379,Model Cities Fire Department Station 2
fire_station,-80.1969782,25.763063,Miami Fire / Rescue Station 4
fire_station,-80.2142474,25.780652,Miami Fire / Rescue Department Support Service Division
fire_station,-80.2078653,25.8103083,Miami Fire / Rescue Station 6
fire_station,-80.235005,25.7688408,Miami Fire / Rescue Station 7
fire_station,-80.2412232,25.7301748,Miami Fire / Rescue Station 8
fire_station,-80.1946316,25.8330092,Miami Fire / Rescue Station 9
fire_station,-80.2823615,25.6632934,Coral Gables Fire Department Station 3
fire_station,-80.4010428,25.6888106,West Kendall Fire Department Station 57
fire_station,-80.2446517,25.913319,Bunche Park Fire Department Station 54
fire_station,-80.3265637,25.9418822,Palm Springs North Fire Department Station 44
fire_station,-80.3543937,25.8256847,Doral Fire Department Station 45
fire_station,-80.4240749,25.7280366,West Bird Fire Department Station 37
fire_station,-80.169651,25.7748819,Seaport / Port of Miami Fire Department Station 39
fire_station,-80.3644085,25.8701762,Medley Fire Department Station 46
fire_station,-80.3469564,25.7477109,Westchester Fire Department Station 47
fire_station,-80.2849152,25.6690508,Pinecrest Fire Department Station 49
fire_station,-80.2846311,25.8213793,Miami Springs Fire Department Station 35
fire_station,-80.1213149,25.8313812,Miami Beach Fire / Rescue Station 3
fire_station,-80.1370289,25.7813468,Miami Beach Fire / Rescue Station 1
fire_station,-80.2697659,25.9064888,Opa - Locka Airport Fire Department Station 25
fire_station,-80.250931,25.8821371,Opa - Locka Fire Department Station 26
fire_station,-80.3385769,25.8679447,Hialeah Gardens Fire Department Station 28
fire_station,-80.368415,25.7652022,Sweetwater Fire Department Station 29
fire_station,-80.1936725,25.8627984,Miami Shores / El Portal Fire Station 30
fire_station,-80.1627323,25.9328364,North Miami Beach Fire Department Station 31
fire_station,-80.1928551,25.9289084,Uleta Fire Department Station 32
fire_station,-80.1484031,25.9401452,Aventura South Fire Department Station 33
fire_station,-80.2921425,25.7704397,Miami Fire / Rescue Station 11
fire_station,-80.2206114,25.8174323,Miami Fire / Rescue Station 12
fire_station,-80.2344977,25.8599313,West Little River Fire Department Station 7
fire_station,-80.292179,25.7973796,Miami-Dade Fire Rescue Station 12 (MIA Midfield)
fire_station,-80.3118463,25.809006,Virginia Gardens Fire Department Station 17
fire_station,-80.2884721,25.7058826,South Miami Fire Department Station 14
fire_station,-80.1251569,25.9020062,Haulover Fire Department Station 21
fire_station,-80.1669631,25.8956735,North Miami East Fire Department Station 20
fire_station,-80.2102415,25.894421,North Miami West Fire Department Station 19
fire_station,-80.2885986,25.8065335,Northside Fire Department Station 59
fire_station,-80.2991462,25.8661962,Hialeah Fire Department Station 3
fire_station,-80.2765969,25.8325594,Hialeah Fire Department Station 4
fire_station,-80.2792516,25.8288848,Hialeah Fire Department Station 2
fire_station,-80.3325305,25.8909714,Hialeah Fire Department Station 7
fire_station,-80.3073221,25.8900386,Hialeah Fire Department Station 5
fire_station,-80.2977143,25.8439394,Hialeah Fire Department Station 6
