facility_type,lon,lat,name
hospital,-66.0737457,18.3952598,Centro Médico de Puerto Rico
hospital,-65.9719277,18.3888917,Hospital de la UPR - Dr. Federico Trilla
hospital,-66.0512493,18.409803,Hospital Auxilio Mutuo
hospital,-66.1475309,18.3980232,Auxilio Mutuo San Pablo - Bayamón
hospital,-66.1133806,18.3615749,Guaynabo Medical Mall
hospital,-66.0977203,18.3625223,Professional Hospital
hospital,-66.0631347,18.4469993,The San Jorge Hospital
hospital,-66.0766116,18.39007,Hospital General de Psiquiatría Dr. Ramón Fernández Marina
hospital,-66.0793734,18.3908124,SJ Veteran's Administration Caribbean Healthcare System
hospital,-66.0521728,18.3967422,
hospital,-66.0559612,18.4193389,Hospital Pavía de Hato Rey
hospital,-66.0692463,18.4196641,Clínica Las Américas
hospital,-66.0686266,18.4116521,Hospital del Maestro
hospital,-66.0982671,18.3901301,Hospital Metropolitano de San Juan
hospital,-66.1477885,18.4178664,Centro Médico Correccional
hospital,-66.0464969,18.3726834,Hospital Episcopal San Lucas Metro
hospital,-66.0654345,18.4561992,Ashford Presbyterian Community Hospital
hospital,-66.1541844,18.3682821,Hospital Universitario Dr. Ramón Ruiz Arnau
hospital,-66.0387956,18.3991004,Hospital San Francisco
hospital,-66.1384771,18.4283405,
hospital,-66.2435667,18.3030627,
hospital,-66.0429398,18.4194095,Centro Más Salud Dr. Enrique Koppish
hospital,-66.0455278,18.3569026,Metro Pavia Clinic - Cupey
hospital,-66.127424,18.4419738,CDT Cataño
hospital,-66.0406834,18.4483611,Centro Más Salud Dr. Arnaldo J. García
hospital,-66.0799337,18.4172815,Centro Más Salud Dr. José A. López Antongiorgi
hospital,-66.0149506,18.3986982,Centro Más Salud Dr. A. Oliveras Guerra
hospital,-66.0225649,18.3844748,CPC Hospital San Juan Capestrano
hospital,-66.1664112,18.3980272,Doctors' Center Hospital Bayamón
aerodrome,-66.1211014,18.4577999,San Juan Seaplane Base
aerodrome,-66.0981778,18.4562051,Aeropuerto Comandante Fernando Luis Ribas Dominicci
power_plant,-66.1486603,18.4558707,Central Palo Seco
power_plant,-66.1045714,18.4266402,Central Termoeléctrica de San Juan
power_plant,-66.0163989,18.3281938,
power_plant,-65.9038185,18.4121878,Parque Solar San Fermín
power_plant,-66.1344496,18.4149446,
power_plant,-66.1143385,18.4089209,
power_plant,-66.1286988,18.4156343,
power_plant,-66.1255137,18.4166837,
power_plant,-66.1123014,18.4117406,
fire_station,-66.0921764,18.4626118,Estación de Bomberos de San Juan
fire_station,-66.0922916,18.4627526,
fire_station,-66.1157542,18.3578284,Estación de Bomberos de Guaynabo
fire_station,-66.1670543,18.3923257,Estación de Bomberos de Bayamón
fire_station,-66.0510659,18.3958925,
fire_station,-66.0526202,18.4402355,Estación de Bomberos de San Juan - Barrio Obrero
fire_station,-66.0571073,18.4162144,"Estación de Bomberos de Hato Rey ""Arthur Rivera Cruz"""
fire_station,-66.0854475,18.4130433,Estación de Bomberos de Puerto Nuevo
fire_station,-66.0425305,18.4191725,Estación de Bomberos de San Juan - Truman
fire_station,-65.9979983,18.4375385,
fire_station,-66.1267694,18.4408239,Estación de Bomberos de Cataño Comandante Abelsaín Coreano Cruz
fire_station,-66.1987443,18.3400161,Estación de Bomberos - Bayamón 2
fire_station,-66.0250984,18.441801,Estación de Bomberos - Isla Verde
police,-66.112485,18.42966,Rosa de Lima Police Station
police,-66.1043441,18.4671958,Policía de Puerto Rico
police,-66.0836862,18.4458976,Police Diving Unit
police,-66.035289,18.39509,
police,-66.0755214,18.4543492,Cuartel Condado
police,-66.0633799,18.4200557,Policía Municipal
police,-66.1357686,18.4709437,Torre Vigilancia
police,-66.1476882,18.4164889,
police,-65.9887664,18.4019632,
police,-65.9937749,18.4028844,
police,-66.1109766,18.46468,Cuartel de la Policía Municipal del Viejo San Juan
police,-66.1173549,18.3926121,Cuartel de la Policía Municipal de Guaynabo
police,-66.1135234,18.3752133,Cuartel de la Policía Municipal de Guyanabo
police,-66.0415923,18.4366335,Cuartel de la Policía de Barrio Obrero
police,-66.0516965,18.3973332,Cuartel Estatal de Río Piedras
police,-66.0967649,18.4625854,
police,-66.1119904,18.3622146,Cuartel de la Policía Estatal de Guaynabo
police,-66.0976807,18.3609055,Guaynabo Transit Police
police,-66.0817469,18.4484501,Cuartel Estatal Precinto 266
police,-66.1451074,18.4181588,División de Vehiculos Hurtados
police,-66.1475288,18.4154044,Comandancia de la Policía de Bayamón
police,-66.1557241,18.3994582,Policía Municipal
police,-66.1501492,18.3936945,Cuartel de la Policía Estatal de Bayamón Norte Agente Carlos R. Acosta Rey
police,-66.1498639,18.3633893,Cuartel Bayamon Sur
police,-66.0698446,18.3385106,Cuartel de la Policía - Montehiedra
police,-66.072591,18.3849864,Cuartel de la Policía Municipal de San Juan - Unidad de Tránsito
police,-66.0799516,18.3854283,Comandancia de la Policía - Region San Juan
police,-66.0914197,18.4004691,
police,-66.0415543,18.4367075,Policía de Puerto Rico - Precinto 466
police,-66.0514146,18.4408393,Cuartel de la Policía Municipal de San Juan
police,-66.0416787,18.4368501,Policía de Puerto Rico - Precinto 466
police,-66.0778615,18.4172129,Cuartel General de la Policía de Puerto Rico
police,-66.0501445,18.413911,Policía Municipal de San Juan - Cuartel Hato Rey Este
police,-66.0232635,18.3673286,
police,-66.0612584,18.4192217,Policía de Puerto Rico - Patrullas de Carreteras de San Juan
police,-66.0614814,18.420088,Policía de Puerto Rico - Recinto Hato Rey Oeste
police,-65.9609741,18.3798953,Comandancia de la Policía - Carolina
police,-65.9836786,18.4555184,Cuartel de la Policía de Piñones
police,-66.1943734,18.438057,Cuartel de la Polícia Municipal de Toa Baja
police,-65.9795425,18.3826063,
police,-66.1262691,18.4414143,Cuartel Policía Municipal de Cataño Sgto. Carlos Reyes Rivera
police,-66.0052432,18.356566,Cuartel Estatal de la Policía de Trujillo Alto
police,-66.0063848,18.3559913,Cuartel de la Policía Municipal de Trujillo Alto Teniente Pedro Casildo Torres Santos
police,-66.1226951,18.3973461,Cuartel de la Policia - Juan Domingo
police,-66.0343249,18.4147516,Cuartel de la Policía de Puerto Rico - Precinto de Hato Rey Este
police,-66.0156042,18.396584,Cuartel de la Policía Municipal de San Juan - Antillas
government,-66.0762856,18.451721,Autoridad de Energía Eléctrica de PR
government,-66.0731372,18.3722813,A.E.E. Monacillos
government,-66.0524381,18.4031872,CIES
government,-66.0675498,18.4484478,Departamento de Transportación y Obras Públicas
government,-66.116822,18.4660253,Legislatura Municipal de San Juan
government,-66.1200493,18.4674773,Oficina Estatal de Conservación Histórica
government,-66.1041121,18.4073744,Social Security Administration
government,-66.0672694,18.4496273,Junta de Planificación
government,-66.0792293,18.3936262,Instituto de Ciencias Forenses
government,-66.0521512,18.4003089,Autoridad de Acueductos y Alcantarillados
government,-66.0772889,18.3896513,OIAT
government,-66.0438431,18.4179873,Registro Demográfico
government,-66.1086768,18.466391,Departamento de la Familia ACUDEN
government,-66.0547426,18.409692,Registro de la Propiedad
government,-66.082628,18.4554095,Departamento de la Familia
government,-66.1029929,18.4657105,Cámara De Representantes De Puerto Rico
government,-66.102882,18.4657016,Archivo De Comisiones Legislativas
government,-66.1101631,18.4657669,ACUDEN
government,-66.0695342,18.4496006,Asociación Empleados Gerenciales y Supervisores Autoridad de Carreteras
government,-66.1480934,18.4084707,
government,-66.1482972,18.4079719,Oficina para el Manejo de Emergencia Bayamón
government,-66.0659182,18.3852902,Administración de Seguros de Salud
government,-66.0044475,18.4362635,USDA Inspection Station (Estación de Inspeción USDA)
government,-66.157706,18.4013222,Reforma de Salud y Programa Medicaid - Bayamón
government,-65.9632177,18.3820921,Oficina del Medicaid
government,-65.9630353,18.3820081,Oficinas AEE - Carolina
government,-66.09597,18.3778845,JRC Tax & Accounting
government,-66.0644504,18.4232946,Federal Bureau of Investigation San Juan Field Office
government,-66.0836376,18.39304,Oficina de Permisos del Municipio de San Juan
government,-66.0834136,18.3930706,Departamento de Vivienda
government,-66.0750047,18.423677,Programa WIC
government,-66.0689049,18.4270937,Departamento de Corrección y Rehabilitación
government,-66.068811,18.4265873,Junta de Libertad Bajo Palabra
government,-66.0698644,18.4220025,Lotería Electrónica de Puerto Rico
government,-66.0684194,18.421835,Puerto Rico Federal Contracting Center
government,-66.0681002,18.4213998,Govology
government,-66.0680788,18.4217994,Departamento de Desarrollo Económico y Comercio
government,-66.0631266,18.4253338,Administración de Terrenos
government,-66.0636764,18.4255412,Administración de Compensaciones por Accidentes de Automóviles (ACAA)
government,-66.0635691,18.425307,Oficina del Inspector General
government,-66.0641351,18.426956,Colecturía de San Juan - Hato Rey
government,-66.0638897,18.4270005,Adminstración de Asuntos Energéticos
government,-66.0638762,18.4268275,Oficina del Contralor Electoral
government,-66.0640412,18.4266646,Sistema de Retiro para Maestros de Puerto Rico
government,-66.2024617,18.3417006,Oficina del Seguro Social
government,-66.0597689,18.4323507,Administración de Rehabilitación Vocacional
government,-66.0595436,18.4321496,Oficina del Procurador del Ciudadano
government,-66.1049573,18.4090044,Social Security Administration
government,-66.1085853,18.4175046,Metropistas
government,-66.1083265,18.4172145,US Environmental Protection Agency
government,-66.0743207,18.4225763,Departamento de Estado
government,-66.0759847,18.451567,Oficinas Centrales de AEE / Luma Energy
government,-66.0588913,18.4210352,Puerto Rico Emergency Management Agency
government,-66.0586198,18.4247566,Caribbean Fishery Management Council
government,-66.1166828,18.465541,Casa Alcaldía de San Juan
government,-66.0986247,18.458798,CBP San Juan Cruise Port Terminal PAD West
government,-66.0637924,18.4082988,Departamento de Justicia de Puerto Rico
government,-65.9625927,18.381632,Departamento de La Vivienda Carolina Shopping Court
government,-66.1134697,18.3754724,Oficina Municipal para el Manejo de Emergencias de Guaynabo
government,-66.1559788,18.3969653,Registro Demográfico de Bayamón
government,-66.1133372,18.3616656,Registro Demográfico de Guaynabo
government,-66.0750082,18.4500174,Departamento de Justicia Registro de la Propiedad
government,-66.0750082,18.4500174,Departamento de Justicia Registro de la Propiedad
government,-66.1575595,18.4012585,CESCO
government,-66.1575788,18.4009344,Autoridad de Acueductos y Alcantarillados
government,-66.061837,18.4257129,Lotería de Puerto Rico
government,-66.0660264,18.4078623,Autoridad de Transporte Integrado / Tren Urbano
government,-66.0679504,18.4491995,Banco Gubernamental de Fomento - Edificio Guillermo Rodríguez Benítez
government,-66.0672516,18.4496095,Centro Gubernamental Roberto Sánchez Vilella Torre Norte
government,-66.0675174,18.44853,Centro Gubernamental Roberto Sánchez Vilella Torre Sur
government,-65.9542256,18.383496,Centro de Gobierno José E. Aponte de la Torre
government,-66.0682597,18.4216865,Compañía de Fomento Industrial
government,-66.0624946,18.4262813,Municipio de San Juan
government,-66.0435945,18.4137899,Autoridad de Acueductos y Alcantarillados
government,-66.043998,18.4132392,Departamento de la Vivienda
government,-66.116202,18.4643019,Office of Management and Budget
government,-66.1166802,18.4655388,Casa Alcaldía de San Juan
