name,facility_type,lat,lon,osm_id,osm_type
Brooks Rehabilitation Hospital,hospital,30.2902563,-81.6011984,358715199,node
Specialty Hospital Jacksonville,hospital,30.27148,-81.61587,358743958,node
Ten Broeck Hospital Jacksonville,hospital,30.2901371,-81.5973748,358755697,node
Wekiva Springs,hospital,30.2580283,-81.595717,10844749361,node
Men's Mental Health,hospital,30.3153203,-81.6535416,13363566048,node
Baptist Medical Center Jacksonville,hospital,30.3156224,-81.6633259,351665511,way
Nemours Children's Specialty Care,hospital,30.3129361,-81.6631742,362815989,way
Baptist Emergency at Town Center,hospital,30.2672562,-81.5226381,434298978,way
UF Health Proton Therapy Institute,hospital,30.3493532,-81.6629717,497668544,way
Ascension Saint Vincent’s Southside Hospital,hospital,30.2540661,-81.5817455,502144326,way
Saint Vincent's Medical Center Riverside,hospital,30.3074289,-81.6899217,502198875,way
Naval Hospital Jacksonville,hospital,30.2083989,-81.6831646,502237494,way
Baptist MD Anderson Cancer Center,hospital,30.3129394,-81.6613771,539807810,way
Park West ER,hospital,30.249037,-81.7487847,646576812,way
hospital facility,hospital,30.2046268,-81.605227,670835672,way
hospital facility,hospital,30.3133387,-81.7404329,802608107,way
hospital facility,hospital,30.2012125,-81.7527538,809338872,way
hospital facility,hospital,30.2718974,-81.6155593,851867892,way
hospital facility,hospital,30.196834,-81.8334402,864304564,way
hospital facility,hospital,30.2526409,-81.5939102,872082649,way
hospital facility,hospital,30.2903963,-81.5970843,877957817,way
hospital facility,hospital,30.2907234,-81.5986989,877957818,way
Wekiva Springs Center,hospital,30.2571736,-81.5943526,11897334,relation
hospital facility,hospital,30.2909058,-81.6008958,11950992,relation
Memorial Hospital,hospital,30.2878515,-81.6003269,11950993,relation
hospital facility,hospital,30.356508,-81.7277202,13546702,relation
Baptist North Medical Campus,hospital,30.4403006,-81.7202539,13648126,relation
UF Health Jacksonville,hospital,30.348748,-81.6646813,14547184,relation
hospital facility,hospital,30.3484743,-81.6613432,14547192,relation
Gary Gale Seaplane Base,aerodrome,30.1938992,-81.6819,1041997652,node
Herlong Recreational Airport,aerodrome,30.2731285,-81.8049922,50414876,way
Jacksonville Naval Air Station (Towers Field),aerodrome,30.2321922,-81.6791745,318133027,way
Jacksonville Executive at Craig Airport,aerodrome,30.3365082,-81.5151198,6853997,relation
Jacksonville International Airport,aerodrome,30.4936857,-81.6875696,13943454,relation
Duval County Fire Station Number 15,fire_station,30.3783321,-81.6564328,367822372,node
Duval County Fire Station Number 11,fire_station,30.355209,-81.625574,367822381,node
JFRD Station 39,fire_station,30.3248795,-81.6507961,367822403,node
Fire and Rescue Department Station 36,fire_station,30.3744477,-81.7107106,367822407,node
Duval County Fire Station Number 35,fire_station,30.4698705,-81.631166,367822411,node
Fire and Rescue Department Station 34,fire_station,30.4396566,-81.7018508,367822420,node
Fire and Rescue Department Station 33,fire_station,30.4301353,-81.7595321,367822423,node
Duval County Fire Station Number 32,fire_station,30.319224,-81.78559,367822428,node
Duval County Fire Station Number 31,fire_station,30.270183,-81.770813,367822431,node
Naval Air Station Jacksonville,fire_station,30.2344891,-81.6765044,640547624,node
fire_station facility,fire_station,30.2259444,-81.6735155,1545303208,node
Fire and Rescue Department Station 48,fire_station,30.4037708,-81.5413747,7465477132,node
Fire and Rescue Department Station 38,fire_station,30.3894857,-81.6418687,7465477144,node
Jacksonville Fire Rescue - Station 13,fire_station,30.3047895,-81.6543626,253720505,way
Fire and Rescue Department Station 30,fire_station,30.3237088,-81.5453969,474815441,way
