facility_type,lon,lat,name
hospital,-85.6028464,30.071384,325th Medical Group
hospital,-85.6569509,30.1842092,
hospital,-85.6086149,30.2140207,
hospital,-85.6047095,30.2156882,
hospital,-85.6658789,30.1882912,
aerodrome,-85.575659,30.0683193,Tyndall Air Force Base
power_plant,-85.6121474,30.0806921,
fire_station,-85.7491486,30.1537486,Thomas Drive Volunteer Fire Department - Station 1
fire_station,-85.8044232,30.1815315,Panama City Beach Fire Department Station 2
fire_station,-85.7703932,30.156069,Thomas Drive Volunteer Fire Department Station 3
fire_station,-85.6520464,30.1578128,Panama City Fire Prevention
fire_station,-85.5654004,30.1510995,
fire_station,-85.6319783,30.2134652,Lynn Haven Fire Department Station #2
fire_station,-85.6479019,30.2368286,Lynn Haven Fire Department
fire_station,-85.6102162,30.152671,Springfield Fire Station
fire_station,-85.6359133,30.2860284,Bay County Fire Rescue Southport
fire_station,-85.6518518,30.1576662,
fire_station,-85.6327094,30.1588287,
fire_station,-85.6102617,30.152605,
fire_station,-85.6633896,30.182115,
police,-85.5784862,30.2360363,Florida Highway Patrol Office
police,-85.8186477,30.1859696,Panama City Beach Police Substation
police,-85.565457,30.1512952,City of Callaway Law Enforcement
police,-85.6411739,30.1756063,Panama City Police Department
police,-85.6508492,30.2104872,Bay County Sheriff's Office
police,-85.6411961,30.1758981,
government,-85.6503167,30.2032106,Florida Department of Revenue Child Support Program
government,-85.6068674,30.1742919,Florida Department of Health Bay County
government,-85.6726269,30.169918,Bay County Government Center
government,-85.7445187,30.1336936,NSWC PCD Beach Site
government,-85.8060539,30.1836971,DMV
government,-85.7143351,30.1470082,NOAA Panama City Laboratory
government,-85.6622929,30.2992384,Bay County Emergency Operations Center
government,-85.7740825,30.1558634,NSWC PCD Beach Site
government,-85.7596598,30.1453237,NSWC PCD Beach Site
government,-85.6607066,30.1565041,Florida Probation Services
government,-85.6668894,30.1668158,Florida Department of Health in Bay County
government,-85.8135884,30.194164,United States Customs and Border Protection
government,-85.5905109,30.132674,Bay County Tax Collector - Motor Vehicle and Driver License Services
government,-85.5770371,30.153307,Callaway
government,-85.6712323,30.2147736,Department of Transportation
government,-85.6483545,30.2459583,Lynn Haven City Hall
government,-85.7137634,30.1475569,NOAA - NMFS
government,-85.650357,30.2065884,US Social Security Administration
government,-85.6500211,30.2473507,Bay County Tax Collector -Motor Vehicle and Driver License Services
government,-85.6434519,30.2386755,Lynn Haven Public Works
substation,-85.7261394,30.1810755,Shipyard Substation
substation,-85.8153933,30.1869501,Long Beach Substation
substation,-85.6830036,30.1846551,Greenwood Substation
substation,-85.6072918,30.1545782,Wewa Road Substation
substation,-85.518882,30.2654271,
substation,-85.637074,30.1590155,Redwood Substation
substation,-85.6759654,30.2446195,North Bay Substation
substation,-85.6673685,30.2128441,Northside Substation
substation,-85.6312842,30.1949639,Highland City Substation
substation,-85.6318404,30.193884,Highland City Substation
substation,-85.5630674,30.1944977,Callaway Substation
substation,-85.7877423,30.1880176,Holiday Substation
substation,-85.7575154,30.1604612,Hathaway Substation
substation,-85.6218102,30.1432853,
substation,-85.6251167,30.2829599,Southport Substation
substation,-85.759655,30.1774219,
substation,-85.5352566,30.2479597,Bayou George Substation
substation,-85.6153672,30.1450313,
substation,-85.5777193,30.1436978,
substation,-85.6041337,30.076125,
substation,-85.6230332,30.1173561,Military Point Substation
substation,-85.6993154,30.2722642,
substation,-85.6998895,30.2699378,Smith Substation
substation,-85.7030837,30.2717608,
