name,facility_type,lat,lon,osm_id,osm_type
Floating Hospital for Children,hospital,42.3498066,-71.0639959,257489648,node
Dr. Solomon Carter Fuller Mental Health Center,hospital,42.336038,-71.0707256,257578331,node
Commonwealth Community Care,hospital,42.3334252,-71.0755668,8688824259,node
Beth Israel Lahey Health Primary Care,hospital,42.3055583,-71.1091782,11091836291,node
"Mass General Brigham (Medord, Cardiology)",hospital,42.4154329,-71.1108309,13430704233,node
Winchester Hospital Center for Cancer Care,hospital,42.4702299,-71.126459,29538485,way
Shriners Hospitals for Children - Boston,hospital,42.3630911,-71.0664345,29614822,way
Massachusetts Eye and Ear,hospital,42.3627604,-71.0701296,29650639,way
East Boston Neighborhood Health Center,hospital,42.3723565,-71.0383426,29661649,way
BayRidge Hospital,hospital,42.4715523,-70.9568496,29772891,way
Beth Israel Deaconess Hospital – Milton,hospital,42.2513698,-71.0770247,29837344,way
Massachusetts General Hospital,hospital,42.3627276,-71.0688403,117853077,way
AFC Urgent Care Dedham,hospital,42.2509006,-71.1715473,212911637,way
Beth Israel Deaconess Medical Center East Campus,hospital,42.3396986,-71.1052122,228306157,way
Beth Israel Deaconess Medical Center West Campus,hospital,42.3382444,-71.1095299,228314418,way
Dana-Farber Cancer Institute,hospital,42.3375652,-71.1076915,228321180,way
Lahey Hospital & Medical Center,hospital,42.484797,-71.2037593,231642276,way
Cambridge Hospital,hospital,42.3750806,-71.1042527,315080437,way
Somerville Hospital,hospital,42.3899544,-71.1095485,315080458,way
Spaulding Rehabilitation Hospital,hospital,42.3786189,-71.0490359,377072605,way
Mass General Brigham,hospital,42.3915408,-71.0785614,409647473,way
Winchester Hospital,hospital,42.4658558,-71.122633,447354701,way
Quincy Mental Health Center,hospital,42.2386207,-70.9805727,495547450,way
North Shore Medical Center - Salem Hospital,hospital,42.5111964,-70.9051843,495571238,way
Union Hospital,hospital,42.5010641,-70.9803926,495776385,way
MelroseWakefield Hospital,hospital,42.4600259,-71.0612313,495860495,way
Quigley Memorial Hospital,hospital,42.4007115,-71.0285867,495916178,way
CHA Everett Hospital,hospital,42.4093336,-71.0394146,495917509,way
Lawrence Memorial Hospital,hospital,42.4263937,-71.1118302,495922218,way
McLean Hospital,hospital,42.3932693,-71.1903082,495950127,way
VA Boston Healthcare System - West Roxbury Division,hospital,42.2744875,-71.1715422,495959452,way
Bournewood Hospital,hospital,42.2983392,-71.1493107,495967894,way
Hebrew Rehabilitation Center,hospital,42.2968849,-71.1314295,495971524,way
Lemuel Shattuck Hospital,hospital,42.2991925,-71.1016383,495972839,way
Franciscan Children's Hospital,hospital,42.3502857,-71.1439999,496107473,way
HRI Hospital,hospital,42.3506004,-71.1210955,496108843,way
Spaulding Hospital Cambridge,hospital,42.3755223,-71.1071427,496115222,way
New England Baptist Hospital,hospital,42.3295623,-71.1067787,496187161,way
VA Boston Healthcare System-Jamaica Plain,hospital,42.3267497,-71.1101107,496187166,way
Mount Auburn Hospital,hospital,42.3741301,-71.134462,589640526,way
