name,facility_type,lat,lon,osm_id,osm_type
TriStar Skyline Madison Campus,hospital,36.2547756,-86.6824968,356879642,node
Monroe Carell Jr. Children's Hospital at Vanderbilt,hospital,36.1393682,-86.8022762,356898097,node
Lloyd C. Elam Mental Health Center,hospital,36.1667039,-86.8080112,356901157,node
TriStar Centennial Parthenon Pavilion,hospital,36.1526984,-86.8104941,356901174,node
Select Specialty Hospital,hospital,36.1525321,-86.8011062,356901177,node
The Children's Hospital at TriStar Centennial,hospital,36.153542,-86.807152,4904992463,node
Saint Thomas Hospital for Specialty Surgery,hospital,36.1551457,-86.8033192,5685004422,node
Dermazen Spa,hospital,36.1925063,-86.6183786,12281142518,node
Rogers Behavioral Health,hospital,36.032198,-86.7786157,13005336101,node
Vanderbilt University Medical Center,hospital,36.1408677,-86.8025912,487124714,way
TriStar Southern Hills Medical Center,hospital,36.0765785,-86.722409,498884920,way
TriStar Summit Medical Center,hospital,36.1762068,-86.608436,498901964,way
Tristar Skyline Medical Center,hospital,36.2451616,-86.7500233,498973195,way
Nashville General Hospital,hospital,36.1668517,-86.8072542,499152027,way
VA Tennessee Valley Healthcare System,hospital,36.1415944,-86.8039376,499161822,way
TriStar Centennial Medical Center,hospital,36.1536942,-86.8088158,499190651,way
Ascension Saint Thomas Midtown Hospital,hospital,36.1538601,-86.8022433,499190655,way
Saint Thomas West Hospital,hospital,36.1298786,-86.8445769,499320685,way
Hermitage Hall,hospital,36.1398937,-86.7775473,693238298,way
Evans Airport,aerodrome,36.2964417,-86.9416675,368992887,node
Oakley Airport,aerodrome,36.1698875,-86.9440543,8455824790,node
Tennessee Air National Guard,aerodrome,36.1095867,-86.6757746,27941733,way
John C. Tune Airport,aerodrome,36.1833689,-86.8862144,213397076,way
Nashville International Airport,aerodrome,36.1195668,-86.6769875,11657815,relation
Brentwood Fire Department & Station 1,fire_station,36.0344072,-86.8046601,368157319,node
Davidson County Fire Department,fire_station,36.1700803,-86.764444,368157324,node
NFD Station 7,fire_station,36.1178657,-86.8869728,657355746,node
fire_station facility,fire_station,36.0684168,-86.7169058,660520458,node
fire_station facility,fire_station,36.0899584,-86.6871509,753085759,node
Nashville Fire Department Station 37,fire_station,36.0723502,-86.9342254,1744663742,node
Nashville  Fire Department Station 22,fire_station,36.216682,-86.6884172,9258721234,node
Nashville Fire Department Station 17,fire_station,36.1306571,-86.8358501,9258733082,node
fire_station facility,fire_station,36.1702424,-86.7644866,267657511,way
Nashville Fire Department - Station 28,fire_station,36.1694599,-86.6827887,599467130,way
fire_station facility,fire_station,36.0402135,-86.7403374,627635181,way
fire_station facility,fire_station,36.0684043,-86.7169067,663233078,way
fire_station facility,fire_station,36.1167973,-86.7470685,684017885,way
Station 13,fire_station,36.1530654,-86.8405891,770620520,way
fire_station facility,fire_station,36.1433231,-86.7791847,817980314,way
Nashville Fire Station 9,fire_station,36.1550536,-86.7712864,1055231358,way
Nashville Fire Dept. Station 11,fire_station,36.1791513,-86.811065,1066561002,way
Nashville Fire Department Station 23,fire_station,36.1688124,-86.8618261,1085616255,way
Williamson County Rescue Squad (Station 22),fire_station,36.0203938,-86.8886467,1097596424,way
Metropolitan Fire Department,fire_station,36.2167747,-86.8015012,1131942762,way
Nashville Fire Department - Station 31,fire_station,36.2590238,-86.7157328,1220078718,way
Brentwood Fire Station 1,fire_station,36.0344196,-86.804651,18063040,relation
South Precinct,police,36.0892821,-86.6874942,753084706,node
