name,facility_type,lat,lon,osm_id,osm_type
William P. Hobby Airport,aerodrome,29.6453956,-95.2779583,209239667,way
Police Helicopter Patrol Heliport,aerodrome,29.6492025,-95.2702848,888038121,way
Pasadena Fire Chief,fire_station,29.7132978,-95.2017432,368160241,node
Houston Fire Department Station 9,fire_station,29.776231,-95.3604454,368160461,node
City of Southside Place Fire Department,fire_station,29.7146581,-95.4335888,368160634,node
Pasadena Fire Department Station 2,fire_station,29.7036322,-95.201383,368160736,node
Pasadena Fire Protection Service,fire_station,29.6874962,-95.207792,368160772,node
Galena Park Fire Department Station 1,fire_station,29.734151,-95.2387738,368160779,node
South Houston Fire Department,fire_station,29.6654895,-95.2388682,368160790,node
Jacinto Fire Department,fire_station,29.7690513,-95.2478658,368160793,node
Pasadena Fire Department Station 4,fire_station,29.6838622,-95.2079795,368160981,node
Houston Fire Department Station 34,fire_station,29.8401944,-95.3388471,368161066,node
Houston Fire Department Station 35,fire_station,29.6741004,-95.3380004,368161067,node
Houston Fire Department Station 38,fire_station,29.7901872,-95.4677444,368161070,node
Houston Fire Department Station 40,fire_station,29.7101583,-95.3208582,368161072,node
Houston Fire Department Station 25,fire_station,29.7186504,-95.3533667,368161073,node
Houston Fire Department Station 29,fire_station,29.6840001,-95.2537059,368161077,node
Houston Fire Department Station 17,fire_station,29.7569907,-95.341345,368161081,node
Houston Fire Department Station 19,fire_station,29.7772172,-95.3361182,368161083,node
Houston Fire Department Station 20,fire_station,29.7441184,-95.3008501,368161086,node
Houston Fire Department Station 6,fire_station,29.7695805,-95.3942605,368161089,node
Houston Fire Department Station 12,fire_station,29.7946413,-95.3528703,368161093,node
West University Place Fire Department,fire_station,29.7149564,-95.4380504,368161110,node
Pasadena Fire Marshal's Office,fire_station,29.7132978,-95.2017432,368161138,node
Missouri City Fire and Rescue Services Station 2,fire_station,29.6303327,-95.5188497,368161143,node
Houston Fire Department Station 55,fire_station,29.6375591,-95.35617,368161199,node
Houston Fire Department Station 41,fire_station,29.7739036,-95.2819016,368161201,node
Houston Fire Department Station 42,fire_station,29.743591,-95.2726953,368161202,node
Houston Fire Department Station 46,fire_station,29.6859295,-95.3643446,368161206,node
Houston Fire Department Station 66,fire_station,29.8519736,-95.53989,368161209,node
Houston Fire Department Station 67,fire_station,29.8637512,-95.436052,368161212,node
Houston Fire Department Station 60,fire_station,29.7331826,-95.5248414,368161219,node
Houston Fire Department Station 61,fire_station,29.6253833,-95.2670824,368161225,node
Houston Fire Department Station 77,fire_station,29.8223466,-95.5438158,368161236,node
Houston Fire Department Station 81,fire_station,29.641458,-95.2785092,368161243,node
South Houston Fire Station,fire_station,29.666,-95.2391,368161265,node
City of Jacinto Fire Department,fire_station,29.7691,-95.2477,368161275,node
City of Piney Point Village Fire Department,fire_station,29.7821,-95.5129,368161280,node
Fire Station Number 2,fire_station,29.6308,-95.5208,368161284,node
Galena Park Fire Station,fire_station,29.7341,-95.2383,368161297,node
Houston Fire Station Number 38,fire_station,29.7901909,-95.4677045,368161300,node
Houston Fire Station Number 41,fire_station,29.7733,-95.2826,368161328,node
Houston Fire Station Number 55,fire_station,29.6402,-95.3568,368161333,node
Little York Volunteer Fire Department,fire_station,29.8894,-95.4001,368161440,node
City of Houston Fire Station 24,fire_station,29.658029,-95.3899701,7229355385,node
The Roberts Family Training Field,fire_station,29.90763,-95.3997761,13322036056,node
Houston Fire Station Number 36;Houston Fire Department Station 36,fire_station,29.6571009,-95.2800548,46273801,way
fire_station facility,fire_station,29.6414532,-95.2784967,46510415,way
Sheldon Community Volunteer Fire / Rescue Station 1,fire_station,29.844256,-95.2144891,177239572,way
Houston Fire Department Station 50,fire_station,29.8344639,-95.4898706,180766663,way
Houston Fire Department Station 8,fire_station,29.7513031,-95.3728201,228446604,way
Houston Fire Department Station 4,fire_station,29.8662731,-95.4895147,239556598,way
Cy - Fair Volunteer Fire Department Station 1,fire_station,29.8965113,-95.5368996,240353331,way
Bellaire Fire Department,fire_station,29.7017527,-95.4683908,251660022,way
Houston Fire Department Station 49,fire_station,29.7911409,-95.5442423,265996275,way
Houston Fire Department Station 5,fire_station,29.8102733,-95.5062614,308771686,way
Houston Fire Department Station 68,fire_station,29.6770174,-95.5287463,317222090,way
Houston Fire Department Station 2,fire_station,29.7623309,-95.4810925,377984502,way
Houston Fire Station 18,fire_station,29.7355362,-95.3314565,378413471,way
Houston Fire Department Station 37,fire_station,29.7017367,-95.4406655,389891631,way
Houston Fire Department Station 33,fire_station,29.7001783,-95.401386,398200985,way
Village Fire Department,fire_station,29.7808623,-95.5142854,399713222,way
Houston Fire Department Station 16,fire_station,29.7346046,-95.4023464,425632222,way
City of Houston Fire Department - Arson,fire_station,29.7695992,-95.3696221,437398766,way
Houston Fire Department Station 7,fire_station,29.7392543,-95.3736077,484640539,way
Houston Fire Department Station 23,fire_station,29.7160352,-95.2792254,520305342,way
fire_station facility,fire_station,29.7809859,-95.5142872,572476840,way
Houston Fire Department Station 21,fire_station,29.6704301,-95.4328278,662095731,way
Houston Fire Department Station 30,fire_station,29.8191705,-95.3607904,671190399,way
Houston Fire Department Station 15,fire_station,29.8028363,-95.3866766,674527210,way
Houston Fire Department Station 31,fire_station,29.8285241,-95.4024595,725713303,way
Houston Fire Department Station 58,fire_station,29.857078,-95.3835244,835673719,way
Houston Fire Department - Arson Division,fire_station,29.7913023,-95.4307103,849618550,way
Houston Fire Department Station 22,fire_station,29.7305717,-95.2846403,931703045,way
Little York Fire Department - Station 81,fire_station,29.9071241,-95.4016242,943428006,way
Houston Fire Department Station 11,fire_station,29.7793824,-95.4176585,974192624,way
Houston Fire Department Station 28,fire_station,29.7338957,-95.4768726,1023522246,way
Houston Fire Department Station 27,fire_station,29.7769035,-95.3045765,1026895315,way
Houston Fire Department Station 13,fire_station,29.8322315,-95.451381,1026897995,way
Houston Fire Department Station 62,fire_station,29.7980785,-95.4377315,1027211940,way
Houston Fire Department Station 39,fire_station,29.8127935,-95.318635,1032712063,way
Houston Fire Department Station 26,fire_station,29.6818145,-95.3050155,1060981137,way
Houston Fire Department Station 82,fire_station,29.6579336,-95.5114216,1065983128,way
Heights Fire Department,fire_station,29.7923629,-95.3987534,1069916719,way
Houston Fire Department Station 51,fire_station,29.70529,-95.504893,1071299083,way
Houston Fire Department Station 45,fire_station,29.8052066,-95.2639134,1074383702,way
Houston Fire Department Station 56,fire_station,29.8709025,-95.305807,1081950533,way
Houston Fire Department Station 32,fire_station,29.8496645,-95.265454,1084301167,way
Houston Fire Department Station 44,fire_station,29.7780972,-95.2181338,1087972231,way
Houston Fire Department Station 43,fire_station,29.828268,-95.284031,1089305909,way
Houston Fire Station Number 48,fire_station,29.6533709,-95.481085,1103947405,way
Houston Fire Department Station 59,fire_station,29.6252382,-95.4647972,1227098711,way
Houston Fire Department Station 47,fire_station,29.6317327,-95.4137075,1240852481,way
