name,facility_type,lat,lon,osm_id,osm_type
UAB Freestanding ER,hospital,33.6489968,-86.8192056,7860493314,node
Radiation Oncology Center,hospital,33.5061502,-86.8039246,8863716717,node
Noland Hospital Birmingham East,hospital,33.4149192,-86.6860221,10861361155,node
Encompass Health Lakeshore Rehabilitation Hospital,hospital,33.4691159,-86.788335,10861405240,node
Grandview ER Emergency Dept (up the ramp),hospital,33.4330998,-86.7165596,12880139903,node
Princeton Baptist Medical Center,hospital,33.4981005,-86.8469527,185848235,way
Grandview Medical Center,hospital,33.4336847,-86.7188003,424366006,way
UAB Hospital,hospital,33.5063147,-86.802387,511500067,way
UAB St. Vincents,hospital,33.5075687,-86.7882062,511500082,way
Children's of Alabama,hospital,33.5046356,-86.8055968,511500092,way
UAB Hospital Highlands,hospital,33.4947855,-86.8068421,511500096,way
Brookwood Baptist Medical Center,hospital,33.464275,-86.7753168,511779080,way
Hill Crest Behavioral Health Center,hospital,33.5490229,-86.7298332,511797561,way
St. Vincent's East,hospital,33.5955116,-86.6674919,511817755,way
VA Medical Center,hospital,33.5042536,-86.8016054,775424715,way
Cooper Green Mercy Hospital,hospital,33.5034003,-86.8066242,775585131,way
UAB Callahan Eye Hospital,hospital,33.5037458,-86.8027194,775585139,way
HealthSouth Lakeshore Rehabilitation Hospital,hospital,33.4685139,-86.7862621,7432265,relation
Birmingham-Shuttlesworth International Airport,aerodrome,33.5646657,-86.7547354,224422644,way
UAB Hospital/Gardendale Fed Heliport,aerodrome,33.6484793,-86.81928,868521598,way
Irondale Fire Station Number 1,fire_station,33.5289935,-86.6988766,367931124,node
Irondale Fire Station Number 2,fire_station,33.5412155,-86.6652649,367931127,node
Fire Station Number 30,fire_station,33.6212141,-86.6694327,367931130,node
Wylam Fire Station,fire_station,33.5048286,-86.9208258,367931131,node
Vestavia Hills Fire Station Number 1,fire_station,33.4507497,-86.7878289,367931138,node
Hoover Fire Station Number 2,fire_station,33.3859983,-86.8310515,367931140,node
Birmingham Fire Station Number 2,fire_station,33.5006928,-86.8130747,367931141,node
Birmingham Fire Station Number 1,fire_station,33.5196224,-86.8121627,367931142,node
Fire Station Number 1,fire_station,33.4048321,-86.960826,367931150,node
Cahaba Valley Fire Station 181,fire_station,33.4093677,-86.6635681,2104812896,node
Cahaba Valley Fire Station 185,fire_station,33.3700542,-86.665621,2104885263,node
Cahaba Valley Fire Station 183,fire_station,33.4083862,-86.630109,2104886073,node
fire_station facility,fire_station,33.5035925,-86.7181648,2450047898,node
Gardendale Fire & Rescue,fire_station,33.6672565,-86.8152084,2450054187,node
Vestavia Hills Fire Station #3,fire_station,33.4221375,-86.7783089,2899886310,node
Homewood Fire Station #2,fire_station,33.4624844,-86.8178889,6151657755,node
Brighton Fire Department,fire_station,33.4300226,-86.9504797,10087079526,node
Pleasant Grove Fire Station,fire_station,33.489847,-86.9711745,10879264534,node
Tarrant Fire Department,fire_station,33.5844782,-86.7745748,11648575893,node
Center Point Fire,fire_station,33.6544363,-86.6401956,232061734,way
Birmingham Fire Station 1,fire_station,33.5196251,-86.8121578,233753643,way
Cahaba Valley Fire Station 181,fire_station,33.4093745,-86.6635132,374365827,way
Rex Lake Fire Station (CVFD St 184),fire_station,33.4901063,-86.6376326,469114884,way
Hoover Fire Station 7,fire_station,33.4158263,-86.6642032,469115397,way
Forestdale Fire Station,fire_station,33.5656154,-86.8953622,542856105,way
Mountain Brook Fire Station #2,fire_station,33.4679486,-86.7419285,613215530,way
Cahaba Valley Fire & EMR District Station 185,fire_station,33.3700261,-86.6655811,619865893,way
Hoover Fire Station Number 5,fire_station,33.4115645,-86.8556434,625132608,way
Birmingham Fire Station 14,fire_station,33.5112789,-86.8390405,628552160,way
Birmingham Fire Station 16,fire_station,33.5094716,-86.8933442,649736460,way
Hoover Fire Station Number 2,fire_station,33.3859999,-86.8310471,678475001,way
Birmingham Fire Station 25,fire_station,33.4498109,-86.8861485,763468609,way
Birmingham Fire Station 2,fire_station,33.5005969,-86.813308,775144485,way
Hoover Fire Station 4,fire_station,33.3887473,-86.7996986,776875352,way
North Shelby Fire Station,fire_station,33.3840593,-86.7305286,823920541,way
Birmingham Fire Station 32,fire_station,33.4336037,-86.7140171,824652080,way
Hoover Fire Station,fire_station,33.3982403,-86.8838432,857010970,way
Fultondale Fire Department,fire_station,33.6089152,-86.799524,885665972,way
Homewood Fire Station No. 3,fire_station,33.4472566,-86.8388585,935206137,way
Birmingham Fire Station 3,fire_station,33.5009398,-86.7907973,966316447,way
fire_station facility,fire_station,33.475198,-86.6895767,1009609535,way
Birmingham Fire Station 21,fire_station,33.5029481,-86.8327789,1019815996,way
Birmingham Fire Station 6 and Fire Alarm HQ,fire_station,33.5137363,-86.8139335,1069655988,way
Birmingham Fire Station 9,fire_station,33.5325834,-86.8055931,1109698611,way
Hillview 78 West Fire Dept,fire_station,33.5744821,-86.886853,1157084674,way
Birmingham Fire Station 8,fire_station,33.540463,-86.7759967,1159078355,way
fire_station facility,fire_station,33.4898763,-86.9713175,1173227162,way
Birmingham Fire Station 5,fire_station,33.5604336,-86.7567811,1192507773,way
West End Fire Station 1-5,fire_station,33.4806428,-86.8602962,1234591566,way
Birmingham Fire Station 20 and Fire Academy,fire_station,33.4930801,-86.8722036,1234591567,way
Birmingham Fire Training Facility,fire_station,33.4945566,-86.8704697,1234591568,way
Birmingham Fire Station 24,fire_station,33.4895979,-86.8877021,1234591569,way
Birmingham Fire Station 18,fire_station,33.538632,-86.8794635,1234591570,way
Birmingham Fire Station 7,fire_station,33.4909393,-86.8177233,1234591571,way
Birmingham Fire Station 10/22,fire_station,33.5256422,-86.7654059,1234591572,way
Birmingham Fire Station 12,fire_station,33.5483044,-86.7415783,1234591573,way
Birmingham Fire Station 27,fire_station,33.5932642,-86.694898,1234591575,way
Birmingham Fire Station 30,fire_station,33.6188832,-86.6711546,1234591576,way
Birmingham Fire Station 31,fire_station,33.5741641,-86.6433862,1234591577,way
Birmingham Fire Station 26,fire_station,33.5283077,-86.7159516,1234591578,way
Birmingham Fire Station 19,fire_station,33.5608837,-86.7272696,1234591579,way
Birmingham Fire Station 13,fire_station,33.5501201,-86.8224279,1234591580,way
Birmingham Fire Station 28,fire_station,33.6489225,-86.70967,1234591581,way
Birmingham Fire Station 29,fire_station,33.5996689,-86.7327339,1234591582,way
