name,facility_type,lat,lon,osm_id,osm_type
Oklahoma Center for Orthopaedic & Multi-Specialty Surgery,hospital,35.3852626,-97.5188434,5665100716,node
OneCore Health,hospital,35.4203894,-97.5341561,5669431450,node
Oakwood Springs,hospital,35.6023088,-97.5277574,10904116662,node
Mercy Rehabilitation Hospital Oklahoma City,hospital,35.6107977,-97.6150409,10904129810,node
Family Tree Chiropractic,hospital,35.5962191,-97.5679822,13621923638,node
The Children's Hospital at OU Medical Center,hospital,35.4812864,-97.4974201,176910708,way
OU Medical Center,hospital,35.4812706,-97.5011437,176911625,way
Norman Regional Moore,hospital,35.3322695,-97.4933398,456781703,way
Mercy Hospital Oklahoma City,hospital,35.6070562,-97.6003556,456851602,way
Oklahoma Heart Hospital - North Campus,hospital,35.6072782,-97.5969791,456851603,way
The Children’s Center Rehabilitation Hospital,hospital,35.5108798,-97.6337054,456883809,way
INTEGRIS Baptist Medical Center,hospital,35.5294149,-97.5765507,456992433,way
AllianceHealth Deaconess,hospital,35.5267377,-97.5846304,456992434,way
Saint Anthony South,hospital,35.4071582,-97.5496732,457030485,way
INTEGRIS Southwest Medical Center,hospital,35.4224407,-97.5323795,457058109,way
Northwest Surgical Hospital,hospital,35.5640895,-97.5665693,466837211,way
Oklahoma Heart Hospital - South Campus,hospital,35.3891765,-97.4265915,497383718,way
Surgical Hospital of Oklahoma,hospital,35.4056331,-97.5094755,497524650,way
INTEGRIS Mental Health Spencer,hospital,35.4958248,-97.3820729,497803326,way
McBride Orthopedic Hospital,hospital,35.5680717,-97.5112084,584322708,way
Lakeside Women's Hospital,hospital,35.584016,-97.5838186,593742472,way
Community Hospital,hospital,35.3754468,-97.5710513,593753455,way
Oklahoma Spine Hospital,hospital,35.6145065,-97.583191,593755379,way
Cedar Ridge Hospital,hospital,35.5229086,-97.4119273,692957512,way
Bethany Behavioral Health,hospital,35.4923505,-97.6484082,692959490,way
INTEGRIS Community Hospital - Council Crossing,hospital,35.5651904,-97.6574772,723172227,way
SSM Health St. Anthony Healthplex,hospital,35.3330581,-97.591097,735015120,way
SSM Health St. Anthony Healthplex,hospital,35.6058669,-97.5328243,788064182,way
hospital facility,hospital,35.4632572,-97.6358478,1053054930,way
OCCHD Sequoyah Learning and Wellness Academy,hospital,35.5067669,-97.55504,1106083654,way
Mercy Rehabilitation Hospital Oklahoma City South,hospital,35.3878386,-97.4115613,1173553998,way
INTEGRIS Health Community Hospital - Del City,hospital,35.4501219,-97.4286687,1230952065,way
Oklahoma City - County Health Department Campus North,hospital,35.5345788,-97.4666955,1262773878,way
SSM Health Primary Care Moore,hospital,35.333795,-97.5063325,1444625383,way
AllianceHealth Midwest,hospital,35.4672504,-97.3911309,7303934,relation
SSM Health St. Anthony Hospital - Oklahoma City,hospital,35.4784211,-97.5238257,17958883,relation
Wiley Post Airport,aerodrome,35.534144,-97.6455232,27851523,way
Tinker Air Force Base,aerodrome,35.4121619,-97.3973012,523031498,way
Will Rogers International Airport,aerodrome,35.3872547,-97.6033273,19728595,relation
fire_station facility,fire_station,35.542594,-97.5980723,2365860751,node
Nichols Hills Fire Department,fire_station,35.5373478,-97.5303529,4612331185,node
Oklahoma City Fire Department Station 13,fire_station,35.3914971,-97.4054842,4654630828,node
fire_station facility,fire_station,35.5425712,-97.5982878,11234901008,node
fire_station facility,fire_station,35.5207931,-97.6226687,13030817245,node
fire_station facility,fire_station,35.4718418,-97.5530159,132580099,way
Oklahoma City Fire Station 10,fire_station,35.4863123,-97.5473377,133295505,way
Oklahoma City Fire Station 14,fire_station,35.493482,-97.5714896,139894316,way
Oklahoma City Fire Station 1,fire_station,35.4729075,-97.5264916,140048864,way
Oklahoma City Firefighters Association Local 157,fire_station,35.4743076,-97.5158036,142434990,way
Oklahoma City Fire Department Station 5,fire_station,35.4918585,-97.5136377,184518170,way
Midwest City Fire Department Headquarters,fire_station,35.4645947,-97.3851212,247779709,way
fire_station facility,fire_station,35.5220629,-97.5279799,268515758,way
fire_station facility,fire_station,35.5220186,-97.5279146,268515766,way
fire_station facility,fire_station,35.4845708,-97.6006974,284760596,way
Oklahoma City Fire Station 17,fire_station,35.5217973,-97.5623872,318315905,way
fire_station facility,fire_station,35.5593296,-97.6567131,323890067,way
fire_station facility,fire_station,35.587568,-97.6211177,324886921,way
fire_station facility,fire_station,35.5111656,-97.6370773,325081007,way
fire_station facility,fire_station,35.3965277,-97.601514,404708988,way
fire_station facility,fire_station,35.397029,-97.6019543,404708993,way
OKC Fire Station No. 18,fire_station,35.5950558,-97.5652621,463976917,way
fire_station facility,fire_station,35.4751442,-97.4059283,480501195,way
fire_station facility,fire_station,35.4504691,-97.4368358,480944061,way
fire_station facility,fire_station,35.4418625,-97.4083519,481137257,way
fire_station facility,fire_station,35.4493601,-97.3745148,491011356,way
Midwest City Fire Station,fire_station,35.4782679,-97.3757344,501247296,way
Oklahoma City Fire Department Station 16,fire_station,35.3992714,-97.5033794,503072144,way
fire_station facility,fire_station,35.3914885,-97.4054762,552425737,way
Oklahoma City Fire Station 31,fire_station,35.4737023,-97.63617,591140375,way
Oklahoma City Fire Station 6,fire_station,35.4674391,-97.5028375,788073844,way
Bethany Municipal Court,police,35.5075172,-97.6313442,518945430,node
Warr Acres Police Department,police,35.5153942,-97.6193405,859696403,node
OU Police Department,police,35.4755149,-97.4954696,1044219447,node
Oklahoma City Police Department,police,35.5941828,-97.5903815,1482830031,node
Bricktown Police Substation,police,35.467526,-97.5074882,158957636,way
Midwest City Police Department,police,35.4650095,-97.3861404,490625176,way
Oklahoma City Police Deparment Santa Fe Division,police,35.3766757,-97.5113172,530917974,way
Oklahoma City Police Department - Southwest Briefing Facility,police,35.4108011,-97.5842994,685513846,way
Valley Brook Police Station,police,35.405994,-97.4830104,733333248,way
Oklahoma City Police Department,police,35.4683303,-97.5252205,768572943,way
Oklahoma Highway Patrol Troop YE,police,35.5798258,-97.6870851,963331943,way
police facility,police,35.5126444,-97.4848335,1385679562,way
police facility,police,35.5155483,-97.6193368,1417984107,way
Frontier Power Plant,power_plant,35.4420673,-97.6482212,174360068,way
Mustang power plant,power_plant,35.4738956,-97.6764903,636021170,way
Tinker Power Plant,power_plant,35.4147181,-97.3731701,1070460937,way
South Mustang Solar Farm,power_plant,35.4653964,-97.6748944,1070460994,way
Warr Acres City Hall,government,35.5154309,-97.6105119,859696398,node
Midwest City City Hall,government,35.4648726,-97.3868468,1559871000,node
Oklahoma Governor's Mansion,government,35.4927285,-97.4975409,5035990132,node
Oklahoma Department of Human Services,government,35.4945734,-97.4953104,9435131833,node
Oklahoma Department of Emergency Management,government,35.4942662,-97.5041666,10681244833,node
Express Tag Agency,government,35.5554571,-97.6338725,11380283383,node
USCIS Oklahoma City Field Office,government,35.4237707,-97.5976263,11380706537,node
USCIS Oklahoma City Application Support Center,government,35.4237838,-97.5975428,11380706538,node
Internal Revenue Service,government,35.4673507,-97.5166972,12132962751,node
Oklahoma Office of Management and Enterprise Services,government,35.4943242,-97.5042124,12781090175,node
