name,facility_type,lat,lon,osm_id,osm_type
Lenox Health Greenwich Village,hospital,40.7377778,-74.0008333,357620244,node
Essex County Isolation Hospital,hospital,40.7957041,-74.1718258,357744420,node
Back to health,hospital,40.5996696,-73.9965176,5916175885,node
Girling Health Care,hospital,40.6165652,-74.024444,6157505385,node
North Hudson Community Action Corporation,hospital,40.8640182,-74.1184489,7011939647,node
Willowbrook Pediatrics,hospital,40.8890355,-74.2492247,9058036347,node
Hudson County Meadowview Psychiatric Hospital,hospital,40.7852797,-74.0574789,10897792586,node
Alantic Health Patient Transport Center,hospital,40.8105244,-74.3431285,12408384319,node
Liberty Endoscopy Center,hospital,40.7100546,-74.0058746,12723835209,node
Hospital for Special Surgery,hospital,40.6555782,-74.011705,12766117165,node
Urgent Care West Orange,hospital,40.8034411,-74.2499855,13619239388,node
Hoboken University Medical Center,hospital,40.7413556,-74.0340099,27080832,way
VA New York Harbor Healthcare System Brooklyn Campus,hospital,40.6078957,-74.0241204,167481919,way
Hackensack University Medical Center,hospital,40.8837197,-74.0553081,245391851,way
Holy Name Medical Center,hospital,40.8829907,-74.0100249,245394269,way
St Joseph Hospital,hospital,40.8890675,-74.2492063,274201776,way
Jersey City Medical Center,hospital,40.7152504,-74.0508589,405835399,way
Saint Michael's Medical Center,hospital,40.7440252,-74.1742477,414494633,way
VA New Jersey Health Care System,hospital,40.7524397,-74.2353624,425525335,way
Kessler Institute for Rehabilitation,hospital,40.7848135,-74.2777203,427302931,way
Newark Beth Israel Medical Center,hospital,40.7101311,-74.2125408,431043330,way
Clara Maass Medical Center,hospital,40.7857786,-74.1768918,445321962,way
Columbus Hospital,hospital,40.7726544,-74.1866481,446140444,way
Richmond University Medical Center,hospital,40.6360988,-74.1054784,447327109,way
Bayley Seton Hospital,hospital,40.6223928,-74.0757452,447778011,way
Hudson Regional Hospital,hospital,40.7914091,-74.0735619,451720059,way
Palisades Medical Center,hospital,40.7941183,-73.9957172,458950443,way
Trinitas Regional Medical Center Williamson Campus,hospital,40.6589363,-74.214259,469743982,way
St. Mary's General Hospital,hospital,40.859386,-74.1379855,484426637,way
Mountainside Hospital,hospital,40.8112526,-74.2045728,484447465,way
Christ Hospital,hospital,40.7340193,-74.0499478,484453822,way
East Orange General Hospital,hospital,40.7545101,-74.2135441,484561010,way
Saint Barnabas Medical Center,hospital,40.7634762,-74.3051113,484587179,way
Bayonne Medical Center,hospital,40.6681264,-74.1126258,484604257,way
Trinitas Regional Medical Center New Point Campus,hospital,40.6592513,-74.1976156,484615941,way
Robert Wood Johnson University Hospital At Rahway,hospital,40.6131367,-74.2909063,484637464,way
Maimonides Medical Center,hospital,40.6394641,-73.9987799,526963278,way
University Hospital,hospital,40.7403602,-74.1904339,591394791,way
NYU Langone Hospital – Brooklyn,hospital,40.6466837,-74.0211159,723006150,way
NewYork-Presbyterian Lower Manhattan Hospital,hospital,40.7103064,-74.0049658,799488173,way
Carmel Richmond,hospital,40.5954576,-74.0905932,1307534086,way
Alantic Health Transport Center,hospital,40.8105464,-74.3432092,1341423559,way
Essex County Hospital Center,hospital,40.8519669,-74.2348099,8635611,relation
Passaic River Seaplane Base,aerodrome,40.8296014,-74.1209809,1042011748,node
Newark Liberty International Airport,aerodrome,40.6891397,-74.1726854,141207228,way
West 30th Street Heliport,aerodrome,40.754999,-74.0070654,160756588,way
Teterboro Airport,aerodrome,40.8491329,-74.0646776,267542255,way
Linden Airport,aerodrome,40.6164665,-74.2446381,274648000,way
Essex County Airport,aerodrome,40.872623,-74.282597,412198597,way
Hoboken Fire Dept Ladder 2 Engine 5,fire_station,40.7369253,-74.0396118,296377486,node
Bayonne Hazardous Materials Company 1,fire_station,40.6686541,-74.1171496,367683164,node
Carteret Fire Company Number 3,fire_station,40.5926244,-74.2432312,367684326,node
Washington Park Hose Company Number 2,fire_station,40.8408423,-74.0473178,367684560,node
East Rutherford Engine Company Number 2,fire_station,40.8462707,-74.1138624,367684583,node
Passaic Truck Company Number 2,fire_station,40.8640626,-74.1159228,367684602,node
Passaic Engine Company Number 2,fire_station,40.8640647,-74.1159148,367684608,node
Rahway Engine Company Number 5,fire_station,40.6071274,-74.2906984,367684665,node
East Orange Fire Company Number 1,fire_station,40.7651008,-74.214868,367684676,node
Elizabeth Engine Company Number 7,fire_station,40.6720469,-74.2184787,367684689,node
Elizabeth Engine Company Number 4,fire_station,40.6481587,-74.1912556,367684709,node
Elizabeth Engine Company Number 5,fire_station,40.6531863,-74.1893861,367684718,node
