name,facility_type,lat,lon,osm_id,osm_type
Westchester County Airport,aerodrome,41.0678,-73.7077244,224512238,way
Fortyseventh Precinct Police Station,police,40.8875,-73.8475,368051738,node
Jerome Avenue Gate House and Police Station,police,40.8875,-73.8772222,368051753,node
Mount Vernon Police Station,police,40.912877,-73.8384675,368051832,node
Scarsdale Police Department,police,41.0052573,-73.7847964,1931498921,node
Irvington Police Department,police,41.0394007,-73.8680935,2553792534,node
Town of Mamaroneck Police Department,police,40.9430098,-73.741799,2622870997,node
police facility,police,41.0849498,-73.8596276,5175541423,node
police facility,police,40.9171328,-73.9019341,7367372422,node
police facility,police,40.9198277,-73.8958052,7369879697,node
Braircliff Manor Police Department,police,41.1488867,-73.8287231,12284201765,node
Greenburgh Police Department,police,41.0411792,-73.7885705,12288699419,node
Port Chester Police Department,police,41.0068176,-73.6589274,229119002,way
NYPD 50th Precinct,police,40.8835028,-73.9023604,276414619,way
Harrison Police Department,police,40.9977851,-73.7241568,307969471,way
police facility,police,41.099034,-73.8001581,321826806,way
Westchester County Police,police,41.1083386,-73.8071823,322130181,way
Greenwich Poilce Department,police,41.0256509,-73.6246736,504883761,way
police facility,police,40.9388789,-73.8966722,802059166,way
Pelham Police Dept,police,40.9117442,-73.8091609,885649889,way
police facility,police,40.9648038,-73.6754271,1393093315,way
Cos Cob Jet,power_plant,41.0290966,-73.5987305,564477926,way
power_plant facility,power_plant,41.0164183,-73.7139213,962783901,way
power_plant facility,power_plant,41.0283864,-73.7159574,972919952,way
power_plant facility,power_plant,41.0982514,-73.7277912,1008182789,way
power_plant facility,power_plant,41.1396964,-73.8537462,1433692448,way
White Plains_RFP-Gedney Way Landfill,power_plant,41.0067631,-73.7573818,1454131635,way
Mt Pleasant Community Center,power_plant,41.0999648,-73.7715051,15728648,relation
Robert W Cacace Justice Center,government,40.9304161,-73.8968652,368046209,node
Westchester County Courthouse,government,41.0297157,-73.769643,368046223,node
Police Court Facility of Mount Vernon,government,40.9132186,-73.8384882,368051729,node
Harrison Town Hall,government,40.9699586,-73.712158,368052257,node
Irvington Justice Court,government,41.0394659,-73.8680818,2553792535,node
Town of Mamaroneck Town Court,government,40.9428883,-73.7418205,2622870998,node
Department of Motor Vehicles,government,40.9360206,-73.9009117,6703310686,node
Weinberg Nature Center,government,40.9755416,-73.7544187,9335658496,node
Village of Upper Nyack,government,41.101186,-73.9173231,9740413130,node
Village of Nyack,government,41.0914042,-73.9179631,9740448637,node
Village of Grand View-on-Hudson,government,41.0634836,-73.9210813,9741907040,node
