name,facility_type,lat,lon,osm_id,osm_type
Womack Army Medical Center,hospital,35.1459947,-79.0024331,10832193884,node
Cape Fear Valley Medical Center,hospital,35.0314279,-78.9341577,32786331,way
VA Medical Center,hospital,35.0879477,-78.8766464,32786367,way
Highsmith-Rainey Specialty Hospital,hospital,35.0543009,-78.8884894,466280234,way
Fayetteville VA Medical Center,hospital,35.0319432,-79.0288007,544057060,way
E T Field,aerodrome,34.9182,-79.0524,367908132,node
Coates Airport,aerodrome,35.1196091,-78.7316871,369030318,node
Eastover Air Ranch Airport,aerodrome,35.0864782,-78.7716696,1042015721,node
Fayetteville Regional Airport,aerodrome,34.9921919,-78.8779314,38108891,way
Pope Army Airfield,aerodrome,35.1730081,-79.0143937,222784159,way
Simmons Army Air Field,aerodrome,35.1313847,-78.937595,720562344,way
Cape Fear Valley Medical Center Heliport,aerodrome,35.0326039,-78.9320422,862889234,way
Valley Heliport,aerodrome,35.081073,-78.9456888,862889242,way
Fayetteville Fire Station 3,fire_station,35.101789,-78.8978606,9061361103,node
Fayetteville Fire Station 7,fire_station,35.1314139,-78.8850243,9061361104,node
Spring Lake Fire Department Station 11,fire_station,35.2073137,-78.9506661,10683487838,node
Eastover Volunteer Fire Department,fire_station,35.0906893,-78.789063,10683644753,node
Fire station no.5,fire_station,35.0299371,-78.9267603,13064813639,node
Fayetteville Fire Station 14,fire_station,35.0780258,-78.8944987,543863582,way
fire_station facility,fire_station,35.0310133,-79.0521531,545369574,way
fire_station facility,fire_station,35.1703928,-78.9842624,546940227,way
fire_station facility,fire_station,35.0878859,-78.9856973,548269419,way
Stoney Point FIre Department,fire_station,34.9841192,-79.0218451,978605157,way
WADE VOLUNTEER FIRE DEPARTMENT,fire_station,35.1620532,-78.7406914,1058389015,way
Lake UpChurch FIre Department,fire_station,34.9482399,-79.0084301,1188660617,way
Hope Mills Fire Department,fire_station,34.9732015,-78.9589628,1280882866,way
Fayetteville Police Department,police,35.0541635,-78.8843859,269403733,way
University Police & Public Safety Department,police,35.0740451,-78.8935066,543863586,way
Hope Mills Police Department,police,34.9730507,-78.9585542,1205481590,way
Innovative Solar 46,power_plant,34.9162692,-78.9316515,795007458,way
Butler-Warner Generation Plant,power_plant,35.098458,-78.8297421,825415933,way
Boykin PV1,power_plant,35.110901,-78.7518012,1103544001,way
Quincy Solar,power_plant,35.0721708,-78.8078621,1103544002,way
