name,facility_type,lat,lon,osm_id,osm_type
"Cosmetic Surgeons of Michigan, PC",hospital,42.4604021,-82.900778,11042343299,node
Windsor Metropolitan Hospital,hospital,42.3003281,-82.997185,23394311,way
Kresge Eye Institute,hospital,42.3578437,-83.0573256,155058504,way
Corewell Health Dearborn Hospital,hospital,42.2898947,-83.2147461,327574095,way
DMC Sinai-Grace Hospital,hospital,42.4185226,-83.1823876,328562414,way
St. John Hospital and Medical Center,hospital,42.4201354,-82.9138531,328735388,way
Henry Ford Hospital,hospital,42.3678045,-83.0854852,469341318,way
St. John Providence Hospital,hospital,42.4426205,-83.0202355,560388892,way
Corewell Health Beaumont Hospital,hospital,42.383479,-82.9138248,562624138,way
John D. Dingell VA Medical Center,hospital,42.3556713,-83.0592626,568335379,way
Windsor Regional Hospital,hospital,42.3084425,-83.0319668,570758275,way
Michigan Surgical Hospital,hospital,42.4516225,-83.0819857,580580903,way
Henry Ford Wyandotte Hospital,hospital,42.2103082,-83.1464408,582940633,way
Henry Ford Medical Center - Fairlane,hospital,42.3199128,-83.2272291,582960883,way
Oakland Regional Hospital,hospital,42.4576101,-83.2033736,589839385,way
"Ascension Providence Hospital, Southfield Campus",hospital,42.4571759,-83.2039228,589839386,way
Riverview Health and Rehab Center,hospital,42.3508844,-82.9993142,591909272,way
hospital facility,hospital,42.4202129,-83.214917,612346459,way
Team Wellness Center – East,hospital,42.3619603,-83.0213136,638522295,way
Henry Ford Kingswood Hospital,hospital,42.4471337,-83.1643954,648740992,way
StoneCrest Center,hospital,42.4434663,-82.9713931,679124880,way
Maryvale,hospital,42.2911614,-83.0731832,781424139,way
Hotel-Dieu Grace Healthcare,hospital,42.2849607,-83.0642202,781424161,way
James-Martin Chevrolet,hospital,42.3672192,-83.0707641,910657910,way
Henry Ford Medical Center-Cottage,hospital,42.3966109,-82.9029034,8032727,relation
Detroit Medical Center,hospital,42.3537703,-83.0559901,11104116,relation
Windsor Airport,aerodrome,42.2762682,-82.9450488,23348851,way
Coleman A. Young Municipal Airport,aerodrome,42.411217,-83.0083767,292217307,way
Walter P. Harris Regional Training Center,fire_station,42.4041198,-83.0179536,354013834,node
Engine Number 38 Fire Station,fire_station,42.3725,-82.9506,367813266,node
"DFD Engine 51 firehouse (Squad 5, Medic 18)",fire_station,42.4250376,-83.1408027,367813271,node
Engine Number 47 Fire Station,fire_station,42.4226685,-83.0388204,367813277,node
Grosse Point Shore Fire Station,fire_station,42.4369965,-82.8772267,367813298,node
Grosse Point Fire Station,fire_station,42.3861,-82.9124,367813304,node
Engine Number 8 Fire Station (Closed),fire_station,42.3244769,-83.0640149,367813324,node
Engine Number 9 Fire Station,fire_station,42.3472,-83.0131,367813325,node
River Rouge Fire Station,fire_station,42.2729275,-83.1349166,367813376,node
Engine House #11,fire_station,42.35448,-83.0311687,633874554,node
Tecumseh Fire Hall No. 1,fire_station,42.3145615,-82.8877317,1801699187,node
Detroit Fire Department HQ,fire_station,42.3302408,-83.0578873,2365998223,node
LaSalle Fire and Rescue,fire_station,42.2452038,-83.0573,5378220116,node
Ecorse Fire Station,fire_station,42.2542807,-83.1390016,10731625281,node
Windsor Fire Station 7,fire_station,42.3215999,-82.9385557,12892157167,node
DFD Ladder No. 5/3rd battalion/Engine No. 6,fire_station,42.3501337,-83.0420026,59449689,way
Engine Number 1 Fire Station,fire_station,42.3378734,-83.0540795,69134329,way
Engine Co. 17 Fire Station,fire_station,42.3647957,-83.0736267,69287494,way
Windsor Fire Station Number 7,fire_station,42.3215423,-82.9386306,181946669,way
fire_station facility,fire_station,42.2692483,-82.9662764,206185367,way
Dearborn Fire Department,fire_station,42.3115016,-83.1905635,229354307,way
Engine Number 44 Fire Station,fire_station,42.4320152,-83.1031419,288580740,way
Squad 6 Medic 13,fire_station,42.3896906,-82.994327,288731576,way
Engine Number 55 Fire Station,fire_station,42.3581461,-83.2173658,317241411,way
Engine Number 53 Fire Station,fire_station,42.4011144,-83.199117,327007809,way
Engine Number 40 Fire Station,fire_station,42.3934598,-83.1338724,327173249,way
Engine Number 21 Fire Station (closed),fire_station,42.3799025,-83.1133456,327698878,way
Engine Number 39 Fire Station,fire_station,42.3722243,-83.1004154,327698882,way
Engine Number 42 Fire Station,fire_station,42.3667925,-83.1393638,327698884,way
Allen Park Fire Station,fire_station,42.2584621,-83.2136756,361259711,way
Melvindale Fire Station,fire_station,42.2826163,-83.1764675,362055788,way
Detroit Fire Department - Engine 16 (Fire Boat),fire_station,42.3131889,-83.0782154,369215516,way
Engine Number 27 Fire Station,fire_station,42.3146821,-83.0999311,378389188,way
Engine Number 23 Fire Station,fire_station,42.3755396,-83.0363407,380156588,way
Engine Number 26 Fire Station,fire_station,42.3627386,-82.99226,385386946,way
Engine Number 32 Fire Station,fire_station,42.3682233,-82.9667363,385386947,way
Engine Number 41 Fire Station,fire_station,42.3799449,-83.0032181,409618208,way
Engine Number 37 Fire Station,fire_station,42.3175449,-83.1275713,439636151,way
Engine Number 48 Fire Station,fire_station,42.27302,-83.1588142,441544381,way
Engine Number 33 Fire Station,fire_station,42.3004911,-83.126856,442984842,way
fire_station facility,fire_station,42.3544888,-83.0311396,456081071,way
Engine Number 60 Fire Station,fire_station,42.4402345,-83.0052439,466081675,way
Southgate Fire Station,fire_station,42.2026954,-83.2077244,470843854,way
Hamtramck Fire Department,fire_station,42.3990327,-83.0627543,518065227,way
Engine Number 35 Fire Station,fire_station,42.385366,-83.0808478,559557628,way
Windsor Fire Station Number 1,fire_station,42.3119919,-83.0335025,631309513,way
fire_station facility,fire_station,42.4606601,-83.120401,664516691,way
Lincoln Park Fire Station,fire_station,42.2499019,-83.1796842,671858421,way
Windsor Fire Station Number 3,fire_station,42.282155,-83.0157395,752058217,way
Windsor Fire Station Number 6,fire_station,42.2575862,-82.9774017,783462565,way
Windsor Fire Station 2,fire_station,42.3068758,-82.9866604,783677083,way
Windsor Fire Station Number 5,fire_station,42.2762675,-83.049,787828835,way
Windsor Fire Station Number 4,fire_station,42.2998341,-83.0630576,787836865,way
fire_station facility,fire_station,42.3067467,-82.9866798,790242803,way
Detroit Engine No. 5,fire_station,42.3488897,-83.0636068,806272156,way
Fire Department Headquarters City of Highland Park,fire_station,42.4060976,-83.0961066,810144781,way
fire_station facility,fire_station,42.4250398,-83.1407854,840653737,way
Engine Number 59 Fire Station,fire_station,42.4230865,-83.2182195,857581282,way
Engine Number 10 Fire Station,fire_station,42.3335476,-83.0980687,912953731,way
fire_station facility,fire_station,42.4666959,-83.0642212,981318433,way
Engine Number 56 Fire Station,fire_station,42.4299468,-83.0632245,1026269138,way
Detroit Fire Engine 50 Ladder 23 Chief 3;Engine Number 50 Fire Station,fire_station,42.4206798,-82.9858706,1051702773,way
Engine Number 64 Fire Station,fire_station,42.3901523,-83.0297522,1053183394,way
Engine Number 66 Fire Station,fire_station,42.338572,-83.1337401,1069305443,way
DFD Engine 30,fire_station,42.4126969,-83.1702131,1104207745,way
Engine Number 34 Fire Station,fire_station,42.3464615,-83.1320655,1138078719,way
Engine Number 31 Fire Station,fire_station,42.3484131,-83.1109378,1138078778,way
