name,facility_type,lat,lon,osm_id,osm_type
Ridgeview Institute - Smyrna,hospital,33.8579171,-84.5130825,358778710,node
Georgia Regional Hospital Atlanta,hospital,33.696701,-84.2765161,358779826,node
Charter BHC at Laurel Heights,hospital,33.7798758,-84.3449199,358785137,node
Atlanta VA Medical Center,hospital,33.8018044,-84.3117,7211662360,node
hospital facility,hospital,33.8941311,-84.3288595,9120011784,node
Emory Wesley Woods Hospital,hospital,33.804819,-84.331172,10834410890,node
Select Specialty Hospital - Midtown Atlanta,hospital,33.7737772,-84.3827544,10834436435,node
Ridgeview Institute,hospital,33.8564433,-84.5110548,10834460762,node
Emory Musculoskeletal Institute,hospital,33.828492,-84.3351295,12800526801,node
Inspire Hospice Atlanta,hospital,33.8466883,-84.3669099,12811236173,node
Emory Decatur,hospital,33.7909177,-84.2825914,34845332,way
Piedmont Atlanta Hospital,hospital,33.8091461,-84.3954735,34845384,way
DeKalb Medical L-TAC,hospital,33.7774402,-84.2929202,51291333,way
Emory University Hospital,hospital,33.7921377,-84.3221736,61494982,way
Hughes Spalding Hospital,hospital,33.7537959,-84.3818488,494947781,way
WellStar Windy Hill Hospital,hospital,33.8993363,-84.4804331,581374034,way
Laurel Heights Hospital,hospital,33.7804316,-84.3456849,692240855,way
Anchor Hospital,hospital,33.6093545,-84.4518769,692241977,way
Talbott Recovery Campus,hospital,33.6139703,-84.542401,787488969,way
Emory University Orthopaedic and Spine Hospital,hospital,33.8260369,-84.2481384,854266721,way
Children's Healthcare of Atlanta,hospital,33.8346214,-84.3272884,902148551,way
Children's Healthcare of Atlanta Arthur M. Blank Hospital,hospital,33.8317764,-84.3304304,933073925,way
VA Medical Center,hospital,33.8016254,-84.3113223,1221469441,way
Emory University Hospital Midtown,hospital,33.7689876,-84.3863016,3612501,relation
Grady Health System,hospital,33.7520549,-84.381856,5675786,relation
DeKalb-Peachtree Airport,aerodrome,33.8757978,-84.3018842,34847193,way
Hartsfield–Jackson Atlanta International Airport,aerodrome,33.6373889,-84.4272776,208889095,way
Fulton County Airport-Brown Field,aerodrome,33.7764628,-84.5202996,1008838834,way
Dobbins Air Reserve Base,aerodrome,33.913965,-84.518798,4844952,relation
Hapeville Station 2 Fire Station,fire_station,33.6631,-84.418,367913028,node
Henry County Station 6 Fire Station,fire_station,33.6069,-84.2219,367913031,node
DeKalb County Fire Rescue - Station 24,fire_station,33.7642284,-84.2206196,367913038,node
DeKalb County Fire Rescue - Station 23,fire_station,33.819921,-84.2305934,367913039,node
Hapeville Station 1 Fire Station,fire_station,33.659499,-84.4080884,367913060,node
Atlanta Fire Rescue Department - Fire Station 9,fire_station,33.7578332,-84.5019973,367913072,node
DeKalb County Station 3 Fire Station,fire_station,33.77722,-84.2673489,367913107,node
DeKalb County Fire Rescue - Station 9,fire_station,33.8115652,-84.2755853,367913109,node
Decatur Fire Station Two,fire_station,33.759413,-84.3025675,367913112,node
DeKalb County Fire Rescue - Station 2,fire_station,33.8605995,-84.3352929,367913113,node
DeKalb County Fire Rescue - Station 19,fire_station,33.8753415,-84.2562262,367913115,node
Fulton County Station 19 Fire Station,fire_station,33.7745,-84.5162,367913116,node
Smyrna Fire Station #4,fire_station,33.8421557,-84.4978965,367913124,node
Fulton County Headquarters Fire Station,fire_station,33.7739,-84.5188,367913139,node
Smyrna Fire Station #1,fire_station,33.8893478,-84.5168629,367913150,node
Atlanta Fire Rescue Department - Fire Station 8,fire_station,33.8021266,-84.4356801,367913209,node
Smyrna Station 4 Fire Station,fire_station,33.8489,-84.4942,367913216,node
Atlanta Fire Rescue Department - Fire Station 16,fire_station,33.7631523,-84.4219064,367913219,node
Atlanta Station 26 Fire Station,fire_station,33.8373,-84.4211,367913232,node
