bin,pred_mean,obs_rate,n,variant
"(0.369, 0.408]",0.39194656747397194,0.3705140640155189,1031,no_nlcd
"(0.408, 0.427]",0.41869284773826176,0.40252182347235693,1031,no_nlcd
"(0.427, 0.46]",0.4425168977899226,0.4446601941747573,1030,no_nlcd
"(0.46, 0.503]",0.4797592228295964,0.527643064985451,1031,no_nlcd
"(0.503, 0.633]",0.5640781612983943,0.48349514563106794,1030,no_nlcd
"(0.633, 0.648]",0.6406517340189404,0.7158098933074685,1031,no_nlcd
"(0.648, 0.702]",0.6628159481530889,0.6854368932038835,1030,no_nlcd
"(0.702, 0.726]",0.711178871339264,0.7400581959262852,1031,no_nlcd
"(0.726, 0.989]",0.8197727027696267,0.7572815533980582,1030,no_nlcd
"(0.989, 0.992]",0.9903030346684786,0.9941804073714839,1031,no_nlcd
