term,dy/dx,Std. Err.,z,Pr(>|z|),Conf. Int. Low,Cont. Int. Hi.,model,variant
C(event_id)[T.ida_neworleans],-0.1708184057716543,0.013868234653721032,-12.317242247254697,7.31533210189234e-35,-0.19799964622209784,-0.14363716532121076,Logit,no_nlcd
C(event_id)[T.irma_miami],-0.20546335169644414,0.014119684414961422,-14.551554104051519,5.70911368378392e-48,-0.23313742462284004,-0.17778927877004824,Logit,no_nlcd
C(event_id)[T.laura_lakecharles],0.009913525783303795,0.015908193352909328,0.6231710643302425,0.5331721143534023,-0.021265960247497974,0.04109301181410556,Logit,no_nlcd
C(event_id)[T.maria_sanjuan],0.804302224301755,0.0547032564828186,14.703004464722738,6.1661996241030195e-49,0.6970858117583734,0.9115186368451367,Logit,no_nlcd
C(event_id)[T.michael_panamacity],0.02421880243801845,0.01732138917804015,1.3982020835097195,0.16205239129726168,-0.0097304965131421,0.058168101389178994,Logit,no_nlcd
in_buffer,-0.07697812658513692,0.014379973481827284,-5.353148020920773,8.643708366310193e-08,-0.10516235670815943,-0.048793896462114406,Logit,no_nlcd
pre_mean_ntl,5.156744402789839e-05,0.003232411428234228,0.015953242702173027,0.9872716938604319,-0.006283842538526867,0.006386977426582664,Logit,no_nlcd
in_buffer:pre_mean_ntl,0.0037464542209867412,0.003412864780509272,1.0977446989352126,0.2723159854479743,-0.002942637832916629,0.010435546274890111,Logit,no_nlcd
C(event_id)[T.ida_neworleans],-0.29286082566428695,0.015763439607600002,-18.57848495978571,4.798620127799544e-77,-0.3237565995676552,-0.2619650517609187,Logit,with_nlcd
C(event_id)[T.irma_miami],-0.3047989306387469,0.016200782093785202,-18.813840521666613,5.816711791146377e-79,-0.3365518800639473,-0.2730459812135465,Logit,with_nlcd
C(event_id)[T.laura_lakecharles],-0.059158232703727345,0.019769093133486012,-2.992460620437959,0.002767383672878757,-0.097904943252378,-0.020411522155076682,Logit,with_nlcd
C(event_id)[T.maria_sanjuan],0.7946001311046258,0.08078779574287782,9.835645641745053,7.905885898667654e-23,0.636258961058207,0.9529413011510446,Logit,with_nlcd
C(event_id)[T.michael_panamacity],-0.022998702527790054,0.021101092822533474,-1.0899294515794062,0.27574422194638815,-0.0643560844943923,0.018358679438812187,Logit,with_nlcd
C(land_use)[T.22.0],-0.042439334550072004,0.018023879098741633,-2.354617134168137,0.01854179888426078,-0.07776548844530985,-0.007113180654834156,Logit,with_nlcd
C(land_use)[T.23.0],-0.03730447565778552,0.018277792556365798,-2.040972701859071,0.04125354052933349,-0.07312829078515676,-0.0014806605304142698,Logit,with_nlcd
C(land_use)[T.24.0],-0.03824224660026153,0.02260841070477504,-1.691505303032403,0.09074033582192985,-0.08255391732931042,0.0060694241287873665,Logit,with_nlcd
in_buffer,0.031910887137855004,0.019662546253378186,1.6229275052498582,0.10460490296289329,-0.006626995363119219,0.07044876963882923,Logit,with_nlcd
pre_mean_ntl,0.01906038276562741,0.00398904743073972,4.778179025585789,1.7688985466082399e-06,0.011241993468755523,0.026878772062499296,Logit,with_nlcd
in_buffer:pre_mean_ntl,-0.014837332922395141,0.0040506965033087275,-3.6629090602753314,0.0002493670865948317,-0.02277655218118258,-0.006898113663607703,Logit,with_nlcd
