scenario_type,scenario_value,model,term,coef,p_value,n_obs,odds_ratio,hazard_ratio
pre_threshold,0.3,OLS,in_buffer,0.028273370126764914,0.07014730044047286,10306,,
pre_threshold,0.5,OLS,in_buffer,0.028273370126764914,0.07014730044047286,10306,,
pre_threshold,1.0,OLS,in_buffer,0.008862169298440484,0.6864140979258471,8737,,
damage_threshold,-0.05,Logit,in_buffer,-0.33034944861451027,1.2376583375168788e-05,10306,0.7186725504196737,
damage_threshold,-0.1,Logit,in_buffer,-0.3811255546402059,1.022281241240984e-07,10306,0.6830921188503436,
damage_threshold,-0.15,Logit,in_buffer,-0.48541519251520243,8.328121773380397e-12,10306,0.6154416169576403,
damage_threshold,-0.2,Logit,in_buffer,-0.514439045912765,1.3642099854015396e-11,10306,0.5978358590440974,
exclude_facility_types,"clinic,public_building,townhall",OLS,in_buffer,0.037636138630590836,0.015028999599212126,8849,,
recovery_threshold,0.8,Cox,in_buffer,0.124836231441008,7.259856807892069e-08,10306,,1.1329628941723147
recovery_threshold,0.9,Cox,in_buffer,0.11879115542389708,4.527028943130977e-07,10306,,1.1261347066024303
recovery_threshold,0.95,Cox,in_buffer,0.11564404938971318,1.0746332440732473e-06,10306,,1.1225962122010376
