"target","scenario","iteration","cache","navigationKind","domContentLoadedMs","loadEventEndMs","signalMs","networkQuietMs","quietTimedOut","failedRequests","resourceTransferBytes","mapViewResponseEndMs","maplibreResponseEndMs","maplibreDurationMs","maplibreTransferBytes","longTaskCount","longTaskTotalMs","scriptDurationMs","taskDurationMs"
"local","home-direct-cold","1","cold","direct","135.6","305.8","141","1153","False","0","955815",,,, ,"0","0","2.612","113.6"
"local","home-direct-warm","1","warm","direct","13.1","17.5","20.2","810","False","0","1800",,,, ,"0","0","2.714","88.877"
"local","map-direct-cold","1","cold","direct","68.8","92.3","110.4","1527","False","0","296863","72.5","86","17.5","218171","0","0","14.496","350.924"
"local","map-direct-warm","1","warm","direct","16.2","20.3","48","2786","False","10","2400","17.1","19.2","3.3","300","0","0","22.312","652.231"
"local","home-to-map-spa-cold","1","cold","spa",,,"45.1","5897","False","15","232440","8.5","22.3","18.9","218171","0","0","26.395","976.211"
"local","home-to-map-spa-warm","1","warm","spa",,,"13.1","3712","False","12","300",,,, ,"0","0","17.671","701.721"
"local","home-direct-cold","2","cold","direct","87.1","130.2","92.3","904","False","0","955815",,,, ,"0","0","3.72","92.34"
"local","home-direct-warm","2","warm","direct","12.4","17.3","20.1","811","False","0","1800",,,, ,"0","0","2.759","95.858"
"local","map-direct-cold","2","cold","direct","73.9","138.5","117.8","5293","False","13","296863","77.9","96.3","22.7","218171","0","0","31.181","994.352"
"local","map-direct-warm","2","warm","direct","17.4","22","52.3","2772","False","12","2400","18.6","21.2","4.1","300","0","0","22.276","641.502"
"local","home-to-map-spa-cold","2","cold","spa",,,"43.3","3488","False","13","232440","6.2","19.4","17.2","218171","0","0","18.21","620.331"
"local","home-to-map-spa-warm","2","warm","spa",,,"8.9","2732","False","12","300",,,, ,"0","0","10.961","519.227"
"local","home-direct-cold","3","cold","direct","159.8","340.1","164.7","1188","False","0","955815",,,, ,"0","0","2.911","111.204"
"local","home-direct-warm","3","warm","direct","14.5","19.4","21.7","823","False","0","1800",,,, ,"0","0","3.247","97.5"
"local","map-direct-cold","3","cold","direct","71.3","93.8","118.3","5585","False","14","296863","76.4","93.2","22.2","218171","0","0","28.767","935.633"
"local","map-direct-warm","3","warm","direct","16.7","21.1","47.5","940","False","0","2400","17.7","20.1","3.8","300","0","0","12.917","275.919"
"local","home-to-map-spa-cold","3","cold","spa",,,"44.9","5307","False","14","232440","7.4","21.3","18.9","218171","0","0","24.964","871.494"
"local","home-to-map-spa-warm","3","warm","spa",,,"12.2","2700","False","12","300",,,, ,"0","0","10.935","476.829"
"local","home-direct-cold","4","cold","direct","166","195.7","170.9","971","False","0","955815",,,, ,"0","0","3.307","85.959"
"local","home-direct-warm","4","warm","direct","11.2","15.9","18","810","False","0","1800",,,, ,"0","0","2.516","80.931"
"local","map-direct-cold","4","cold","direct","78.6","98.3","122.5","5066","False","13","296863","83.4","99.3","21","218171","0","0","26.865","881.475"
"local","map-direct-warm","4","warm","direct","19.2","31","54.2","941","False","0","2400","20.4","23.2","4.3","300","0","0","13.191","292.152"
"local","home-to-map-spa-cold","4","cold","spa",,,"43","1568","False","0","232440","6.9","19.5","17.4","218171","0","0","11.989","305.7"
"local","home-to-map-spa-warm","4","warm","spa",,,"11.3","2736","False","12","300",,,, ,"0","0","11.683","561.45"
"local","home-direct-cold","5","cold","direct","69.2","200.7","75.7","987","False","0","955815",,,, ,"0","0","2.928","98.41"
"local","home-direct-warm","5","warm","direct","13.1","18","20","825","False","0","1800",,,, ,"0","0","2.894","93.902"
"local","map-direct-cold","5","cold","direct","69.2","94.5","111.8","4969","False","13","296863","74.4","88.3","19.4","218171","0","0","28.978","893.073"
"local","map-direct-warm","5","warm","direct","18.1","31.6","52","939","False","0","2400","19.2","22.5","4.7","300","0","0","12.079","257.341"
"local","home-to-map-spa-cold","5","cold","spa",,,"46.9","4891","False","12","232440","8.3","22.2","19.7","218171","0","0","25.208","833.811"
"local","home-to-map-spa-warm","5","warm","spa",,,"11.7","2729","False","11","300",,,, ,"0","0","11.859","591.128"
"local","home-direct-cold","6","cold","direct","71.1","145.2","76.3","989","False","0","955815",,,, ,"0","0","3.139","96.501"
